date,value
1855,18.945
1873,19.662
1874,19.577
1875,19.069
1880,19.258
1881,19.544
1882,19.314
1883,19.187
1884,19.075
1886,19.111
1887,19.388
1888,19.094
1891,19.279
1892,19.204
1893,19.089
1894,19.359
1895,19.578
1896,19.754
1897,19.619
1898,19.264
1899,19.495
1900,20.013
1901,19.715
1902,19.714
1903,19.486
1904,19.483
1905,19.945
1906,19.615
1907,19.372
1908,19.282
1909,19.248
1910,19.133
1911,19.581
1912,19.788
1913,19.688
1914,19.868
1915,20.069
1916,19.176
1917,19.162
1918,19.611
1919,20.048
1920,19.673
1921,19.392
1922,19.654
1923,19.655
1924,19.592
1925,19.668
1926,20.171
1927,19.808
1928,19.971
1929,19.493
1930,19.860
1931,19.919
1932,19.879
1933,19.584
1934,19.553
1935,19.725
1936,20.008
1937,20.072
1938,19.703
1939,20.353
1940,20.372
1941,20.600
1942,20.069
1943,20.011
1944,20.049
1945,20.093
1946,20.023
1947,20.018
1948,20.060
1949,19.851
1950,19.584
1951,20.007
1952,20.023
1953,20.261
1954,19.800
1955,19.697
1956,19.511
1957,20.265
1958,20.374
1959,20.145
1960,19.969
1961,20.088
1962,19.954
1963,20.149
1964,19.953
1965,20.265
1966,20.241
1967,19.964
1968,19.953
1969,20.589
1970,20.141
1971,19.803
1972,20.532
1973,20.150
1974,19.729
1975,19.780
1976,19.878
1977,20.181
1978,20.083
1979,20.233
1980,20.333
1981,20.043
1982,20.271
1983,21.089
1984,20.125
1985,20.032
1986,20.135
1987,20.867
1988,20.250
1989,20.017
1990,20.233
1991,20.504
1992,20.837
1993,20.503
1994,20.531
1995,20.686
1996,20.115
1997,20.937
1998,21.182
1999,20.068
2000,20.232
2001,20.226
2002,20.536
2003,20.486
2004,20.443
2005,20.451
2006,20.541
2007,20.192
2008,20.226
2009,20.523
2010,20.585
2011,20.284
2012,20.460
2013,19.976
