date,value
1882,23.925
1883,23.863
1884,23.751
1885,23.705
1886,23.879
1887,23.620
1888,23.976
1889,24.426
1890,23.844
1891,23.839
1892,24.073
1893,24.156
1894,23.864
1895,23.918
1896,23.695
1897,24.271
1898,23.966
1899,23.839
1900,24.537
1901,24.324
1902,23.609
1903,24.202
1904,23.675
1905,24.058
1906,24.275
1907,23.735
1908,23.796
1909,24.582
1910,24.529
1911,24.159
1912,24.474
1913,24.273
1914,24.081
1915,24.556
1916,24.564
1917,24.444
1918,23.730
1919,23.842
1920,24.415
1921,24.193
1922,24.233
1923,23.786
1924,24.460
1925,24.089
1926,24.767
1927,24.344
1928,24.341
1929,24.084
1930,24.189
1931,24.287
1932,24.483
1933,24.523
1934,24.626
1935,24.417
1936,24.330
1937,24.518
1938,24.263
1939,24.102
1940,24.350
1941,24.160
1942,24.975
1943,24.326
1944,24.351
1945,24.398
1946,24.150
1947,24.796
1948,24.670
1949,24.742
1950,24.594
1951,24.426
1952,24.665
1953,24.387
1954,24.445
1955,24.436
1956,24.552
1957,24.449
1958,24.737
1959,24.514
1960,24.461
1961,24.233
1962,24.550
1963,24.472
1964,24.600
1965,24.034
1966,24.481
1967,24.334
1968,24.485
1969,24.698
1970,24.769
1971,24.564
1972,24.286
1973,24.799
1974,24.586
1975,24.638
1976,24.364
1977,24.468
1978,24.743
1979,24.705
1980,24.745
1981,24.870
1982,24.518
1983,24.970
1984,24.744
1985,24.722
1986,24.875
1987,24.951
1988,25.167
1989,24.892
1990,24.937
1991,24.726
1992,24.831
1993,24.674
1994,24.695
1995,24.984
1996,25.042
1997,24.768
1998,25.420
1999,24.920
2000,24.942
2001,25.055
2002,25.096
2003,25.067
2004,24.909
2005,25.034
2006,24.739
2007,24.883
2008,24.776
2009,24.783
2010,25.342
2011,24.830
2012,24.844
2013,25.069
