date,value
1743,3.937
1744,10.985
1745,3.173
1750,10.779
1751,12.749
1752,5.654
1753,11.263
1754,12.166
1755,11.212
1756,10.074
1757,11.519
1758,10.141
1759,12.213
1760,12.143
1761,11.821
1762,11.887
1763,11.438
1764,9.587
1765,10.809
1766,11.480
1767,10.932
1768,11.493
1769,10.239
1770,10.646
1771,12.901
1772,10.005
1773,10.467
1774,12.793
1775,10.927
1776,9.774
1777,10.388
1778,10.417
1779,10.094
1780,11.151
1781,12.148
1782,10.520
1783,10.626
1784,12.124
1785,11.225
1786,10.905
1787,10.968
1788,11.035
1789,12.077
1790,8.594
1791,10.170
1792,10.833
1793,9.844
1794,10.712
1795,10.070
1796,10.897
1797,11.081
1798,11.790
1799,11.355
1800,12.593
1801,12.007
1802,11.577
1803,11.044
1804,13.743
1805,10.482
1806,10.020
1807,11.298
1808,12.366
1809,10.515
1810,10.168
1811,12.467
1812,10.038
1813,9.314
1814,11.193
1815,10.312
1816,9.912
1817,9.336
1818,10.741
1819,11.344
1820,10.658
1821,10.848
1822,10.845
1823,11.273
1824,10.163
1825,10.945
1826,11.662
1827,11.725
1828,10.981
1829,12.887
1830,11.155
1831,11.019
1832,9.633
1833,8.803
1834,12.005
1835,10.409
1836,10.841
1837,11.458
1838,9.934
1839,12.303
1840,11.265
1841,10.758
1842,10.281
1843,8.704
1844,11.363
1845,12.095
1846,11.997
1847,10.393
1848,11.720
1849,9.995
1850,12.099
1851,10.758
1852,10.768
1853,11.510
1854,10.461
1855,10.683
1856,13.042
1857,9.978
1858,13.806
1859,10.502
1860,11.675
1861,9.963
1862,11.022
1863,9.476
1864,9.452
1865,12.365
1866,9.818
1867,9.872
1868,10.717
1869,9.906
1870,11.533
1871,9.556
1872,12.214
1873,10.997
1874,10.575
1875,11.395
1876,12.079
1877,10.025
1878,11.272
1879,12.958
1880,10.875
1881,10.936
1882,11.224
1883,11.778
1884,8.341
1885,10.600
1886,12.317
1887,10.218
1888,11.009
1889,12.441
1890,11.205
1891,10.663
1892,10.581
1893,10.529
1894,10.918
1895,12.446
1896,12.365
1897,11.087
1898,9.823
1899,10.676
1900,10.889
1901,11.309
1902,9.210
1903,10.071
1904,10.188
1905,10.837
1906,11.340
1907,10.418
1908,11.348
1909,10.298
1910,9.031
1911,11.486
1912,9.122
1913,10.021
1914,9.102
1915,10.057
1916,8.819
1917,12.632
1918,11.117
1919,11.061
1920,11.216
1921,11.493
1922,9.886
1923,10.643
1924,11.913
1925,8.930
1926,10.158
1927,10.984
1928,10.561
1929,10.781
1930,11.523
1931,11.548
1932,12.949
1933,10.371
1934,11.309
1935,11.014
1936,9.225
1937,12.113
1938,11.966
1939,10.400
1940,11.888
1941,10.568
1942,10.744
1943,10.455
1944,9.947
1945,11.303
1946,11.393
1947,11.668
1948,11.627
1949,10.479
1950,10.555
1951,10.425
1952,11.844
1953,11.532
1954,10.237
1955,12.167
1956,11.478
1957,10.414
1958,10.871
1959,11.580
1960,10.313
1961,11.067
1962,11.954
1963,13.568
1964,12.719
1965,12.676
1966,11.546
1967,12.334
1968,11.884
1969,12.778
1970,12.000
1971,11.101
1972,11.284
1973,9.980
1974,9.366
1975,10.822
1976,11.903
1977,10.106
1978,10.669
1979,9.876
1980,9.961
1981,11.556
1982,10.825
1983,11.174
1984,11.034
1985,9.941
1986,11.317
1987,10.620
1988,10.027
1989,9.423
1990,10.139
1991,11.248
1992,10.796
1993,10.825
1994,9.985
1995,10.630
1996,12.424
1997,10.094
1998,10.344
1999,11.034
2000,10.674
2001,11.732
2002,11.673
2003,10.859
2004,10.609
2005,10.513
2006,12.955
2007,11.364
2008,9.469
2009,12.196
2010,11.888
2011,11.253
2012,12.542
2013,15.935
