date,value
1832,22.391
1833,23.075
1834,22.864
1835,22.071
1836,22.442
1837,22.112
1838,22.254
1839,22.310
1840,22.632
1841,22.457
1842,22.848
1843,22.969
1851,22.930
1852,22.910
1853,22.887
1854,23.053
1855,22.815
1856,22.376
1857,22.640
1858,22.326
1859,23.088
1860,23.040
1861,22.629
1862,22.709
1863,22.593
1864,22.634
1865,22.921
1866,22.902
1867,22.851
1868,23.274
1869,23.066
1870,23.020
1871,22.798
1872,22.897
1873,23.416
1874,22.401
1875,22.266
1876,22.891
1877,23.787
1878,22.959
1879,22.539
1880,22.723
1881,22.870
1882,22.518
1883,22.606
1884,22.729
1885,22.656
1886,22.520
1887,23.073
1888,23.219
1889,22.879
1890,22.466
1891,22.900
1892,22.588
1893,22.326
1894,22.737
1895,23.310
1896,23.692
1897,23.260
1898,22.684
1899,23.311
1900,23.743
1901,23.413
1902,23.594
1903,22.933
1904,22.781
1905,23.035
1906,23.561
1907,22.855
1908,22.740
1909,22.643
1910,22.965
1911,22.349
1912,23.022
1913,23.550
1914,23.737
1915,23.754
1916,23.052
1917,22.643
1918,22.987
1919,23.526
1920,22.809
1921,22.935
1922,22.927
1923,22.978
1924,22.748
1925,23.513
1926,24.085
1927,23.420
1928,23.342
1929,23.287
1930,23.834
1931,22.772
1932,23.467
1933,23.409
1934,23.272
1935,23.463
1936,23.788
1937,23.510
1938,23.274
1939,23.422
1940,23.473
1941,23.074
1942,22.685
1943,22.929
1944,24.147
1945,23.850
1946,23.200
1947,23.020
1948,23.749
1949,23.330
1950,23.434
1951,23.429
1952,23.254
1953,23.838
1954,23.446
1955,23.246
1956,22.416
1957,23.052
1958,23.258
1959,23.535
1960,23.073
1961,24.013
1962,22.896
1963,24.331
1964,23.098
1965,23.478
1966,23.542
1967,23.923
1968,23.507
1969,23.689
1970,23.751
1971,22.979
1972,23.782
1973,23.589
1974,23.212
1975,23.409
1976,22.964
1977,24.150
1978,24.082
1979,23.408
1980,23.600
1981,23.692
1982,23.810
1983,23.200
1984,23.673
1985,24.014
1986,24.115
1987,23.522
1988,23.544
1989,23.372
1990,23.599
1991,24.116
1992,23.091
1993,23.734
1994,24.471
1995,23.964
1996,23.415
1997,24.407
1998,23.417
1999,23.698
2000,23.626
2001,24.288
2002,24.759
2003,24.264
2004,23.805
2005,23.820
2006,24.377
2007,23.727
2008,23.818
2009,24.189
2010,23.615
2011,23.992
2012,24.466
2013,22.818
