date,value
1812,9.302
1813,11.349
1814,8.295
1816,8.465
1817,7.993
1818,9.501
1819,8.686
1820,9.116
1821,8.714
1822,8.982
1823,9.456
1824,9.431
1825,9.205
1826,9.897
1827,9.883
1828,9.457
1829,9.243
1830,8.911
1831,8.429
1832,8.005
1833,8.675
1834,9.339
1835,7.779
1836,8.380
1837,8.315
1838,9.266
1839,9.812
1840,9.661
1841,9.728
1842,8.980
1843,9.153
1844,9.521
1845,9.335
1846,9.800
1847,9.447
1848,9.358
1849,9.140
1850,9.110
1851,10.223
1852,9.383
1853,9.638
1854,9.767
1855,9.564
1856,9.149
1857,8.661
1858,9.482
1859,9.234
1860,9.827
1861,9.754
1862,8.831
1863,9.530
1864,9.664
1865,9.372
1866,9.663
1867,9.268
1868,9.766
1869,10.040
1870,9.828
1871,9.309
1872,9.803
1873,9.366
1874,10.221
1875,9.602
1876,9.320
1877,9.765
1878,10.090
1879,9.400
1880,9.756
1881,8.905
1882,9.485
1883,9.078
1884,8.332
1885,8.477
1886,8.876
1887,9.624
1888,9.514
1889,9.474
1890,9.465
1891,9.229
1892,9.824
1893,9.680
1894,9.700
1895,9.664
1896,9.967
1897,10.250
1898,9.650
1899,9.465
1900,9.568
1901,9.563
1902,8.916
1903,9.345
1904,9.098
1905,9.169
1906,10.144
1907,9.563
1908,10.042
1909,9.633
1910,9.872
1911,9.326
1912,8.776
1913,9.163
1914,9.678
1915,9.825
1916,9.001
1917,9.846
1918,9.189
1919,9.548
1920,10.010
1921,10.037
1922,9.877
1923,9.545
1924,9.809
1925,9.131
1926,8.992
1927,9.978
1928,9.387
1929,9.181
1930,9.319
1931,10.057
1932,10.015
1933,9.067
1934,9.685
1935,9.827
1936,10.167
1937,9.892
1938,10.325
1939,9.926
1940,9.921
1941,9.800
1942,9.762
1943,10.610
1944,10.072
1945,10.260
1946,9.429
1947,9.707
1948,10.359
1949,9.759
1950,9.468
1951,10.006
1952,10.113
1953,10.506
1954,10.268
1955,9.896
1956,9.570
1957,10.328
1958,9.092
1959,10.371
1960,9.665
1961,9.769
1962,9.933
1963,9.638
1964,9.731
1965,9.659
1966,9.987
1967,10.207
1968,9.486
1969,9.336
1970,9.731
1971,10.131
1972,9.385
1973,9.988
1974,10.071
1975,10.296
1976,9.585
1977,10.254
1978,9.181
1979,9.916
1980,9.822
1981,10.279
1982,9.877
1983,10.083
1984,10.357
1985,9.679
1986,9.749
1987,9.574
1988,10.555
1989,10.213
1990,10.437
1991,10.931
1992,9.666
1993,9.996
1994,10.275
1995,10.618
1996,9.771
1997,10.266
1998,10.405
1999,10.241
2000,10.701
2001,11.012
2002,10.706
2003,10.950
2004,10.411
2005,11.327
2006,10.822
2007,11.205
2008,10.758
2009,10.740
2010,11.358
2011,11.223
2012,11.712
2013,12.378
