date,value
1850,18.551
1856,18.478
1857,18.213
1858,18.733
1859,18.870
1860,18.711
1861,18.443
1862,18.122
1864,18.610
1875,18.764
1876,18.580
1877,19.151
1878,19.289
1880,18.639
1881,18.570
1882,18.708
1883,18.610
1884,18.407
1885,18.698
1886,18.665
1887,18.502
1888,18.521
1889,19.130
1890,18.599
1891,18.615
1892,18.921
1893,18.565
1894,19.059
1895,18.966
1896,18.975
1897,19.093
1898,19.268
1899,19.050
1900,19.236
1901,19.877
1902,19.364
1903,19.396
1904,18.319
1905,19.005
1906,18.879
1907,18.860
1908,18.622
1909,18.361
1910,18.663
1911,19.403
1912,19.706
1913,19.299
1914,19.072
1915,19.156
1916,18.843
1917,18.642
1918,18.853
1919,19.043
1920,18.932
1921,19.295
1922,18.686
1923,18.717
1924,19.255
1925,19.029
1926,19.070
1927,19.425
1928,19.414
1929,19.165
1930,19.114
1931,19.511
1932,19.187
1933,19.132
1934,19.229
1935,19.376
1936,19.315
1937,19.112
1938,19.223
1939,19.192
1940,19.414
1941,19.824
1942,19.289
1943,19.322
1944,19.368
1945,19.209
1946,19.356
1947,19.150
1948,19.254
1949,19.648
1950,19.260
1951,19.062
1952,19.443
1953,19.304
1954,19.212
1955,19.104
1956,18.878
1957,19.301
1958,19.532
1959,19.336
1960,19.243
1961,19.230
1962,19.015
1963,18.965
1964,19.142
1965,19.264
1966,19.268
1967,19.103
1968,19.058
1969,19.466
1970,19.225
1971,18.911
1972,19.452
1973,19.540
1974,19.143
1975,19.149
1976,19.282
1977,19.593
1978,19.519
1979,19.565
1980,19.771
1981,19.582
1982,19.547
1983,19.969
1984,19.498
1985,19.462
1986,19.633
1987,20.166
1988,19.785
1989,19.187
1990,19.546
1991,19.381
1992,19.692
1993,19.694
1994,19.712
1995,19.964
1996,19.477
1997,19.956
1998,19.952
1999,19.509
2000,19.753
2001,19.661
2002,19.947
2003,20.094
2004,20.085
2005,20.433
2006,20.163
2007,19.763
2008,19.731
2009,20.023
2010,20.267
2011,19.774
2012,19.959
2013,20.104
