date,value
1843,25.039
1844,25.143
1845,21.563
1848,24.865
1849,25.057
1850,24.645
1851,25.290
1852,25.101
1853,25.229
1855,25.185
1856,15.915
1857,24.549
1858,25.248
1859,25.224
1860,25.244
1861,24.438
1862,24.105
1863,24.653
1864,25.271
1865,25.474
1866,25.254
1867,25.485
1868,25.243
1869,25.568
1870,25.285
1871,24.948
1872,25.158
1873,25.496
1874,25.234
1875,24.586
1876,25.152
1877,25.717
1878,25.782
1879,25.473
1880,25.141
1881,25.834
1882,24.984
1883,25.322
1884,25.010
1885,25.269
1886,25.181
1887,25.081
1888,25.294
1889,25.704
1890,25.383
1891,25.630
1892,25.429
1893,25.347
1894,24.947
1895,24.931
1896,25.138
1897,25.105
1898,25.203
1899,25.401
1900,25.489
1901,25.760
1902,25.537
1903,24.934
1904,25.286
1905,25.143
1906,25.225
1907,24.820
1908,25.169
1909,25.787
1910,25.044
1911,24.690
1912,25.191
1913,24.893
1914,25.231
1915,25.719
1916,25.201
1917,25.251
1918,25.012
1919,25.611
1920,25.160
1921,25.069
1922,25.596
1923,25.395
1924,25.886
1925,25.329
1926,25.500
1927,25.588
1928,25.724
1929,25.708
1930,25.671
1931,25.679
1932,25.317
1933,25.055
1934,25.346
1935,25.822
1936,25.559
1937,25.443
1938,25.293
1939,25.459
1940,25.800
1941,25.769
1942,25.836
1943,25.296
1944,25.801
1945,25.503
1946,25.650
1947,26.121
1948,25.198
1949,25.096
1950,25.359
1951,26.036
1952,25.927
1953,25.739
1954,26.012
1955,25.647
1956,25.408
1957,25.296
1958,25.963
1959,24.953
1960,26.074
1961,25.533
1962,26.232
1963,25.952
1964,25.275
1965,25.763
1966,26.199
1967,25.173
1968,25.426
1969,26.199
1970,25.978
1971,25.226
1972,25.270
1973,25.778
1974,25.537
1975,25.275
1976,25.334
1977,26.095
1978,26.043
1979,26.415
1980,26.117
1981,26.070
1982,25.007
1983,25.149
1984,25.160
1985,25.445
1986,25.648
1987,26.316
1988,26.142
1989,25.479
1990,26.019
1991,25.776
1992,24.771
1993,25.741
1994,26.298
1995,25.989
1996,26.433
1997,25.868
1998,26.854
1999,26.941
2000,26.643
2001,26.770
2002,26.627
2003,26.817
2004,26.519
2005,26.496
2006,26.559
2007,26.683
2008,26.478
2009,26.828
2010,27.530
2011,26.635
2012,26.989
2013,27.741
