date,value
1856,25.723
1857,26.481
1858,26.704
1859,27.046
1860,26.485
1861,25.959
1862,24.315
1864,26.649
1873,27.824
1874,26.509
1875,26.170
1876,26.437
1877,26.997
1878,27.245
1879,26.677
1880,26.844
1881,27.119
1882,26.557
1883,26.456
1884,26.249
1885,26.510
1886,26.342
1887,26.413
1888,26.398
1889,26.981
1890,26.996
1891,26.876
1892,26.664
1893,26.458
1894,26.549
1895,26.564
1896,26.734
1897,26.849
1898,27.201
1899,26.991
1900,26.888
1901,27.634
1902,26.865
1903,26.684
1904,26.510
1905,26.775
1906,26.616
1907,26.741
1908,26.682
1909,26.864
1910,26.476
1911,26.617
1912,26.552
1913,26.431
1914,27.477
1915,27.365
1916,26.629
1917,26.265
1918,26.745
1919,27.488
1920,26.300
1921,26.825
1922,26.596
1923,26.705
1924,27.251
1925,27.028
1926,27.011
1927,27.356
1928,27.594
1929,26.930
1930,26.960
1931,27.510
1932,27.070
1933,27.466
1934,27.046
1935,27.136
1936,27.386
1937,27.178
1938,27.094
1939,27.341
1940,27.421
1941,27.640
1942,27.612
1943,26.879
1944,27.241
1945,26.883
1946,26.990
1947,27.261
1948,26.758
1949,26.758
1950,26.820
1951,26.874
1952,27.485
1953,27.035
1954,27.114
1955,27.086
1956,26.946
1957,27.143
1958,27.570
1959,26.884
1960,27.482
1961,26.546
1962,27.281
1963,27.511
1964,26.671
1965,27.055
1966,27.383
1967,26.627
1968,26.869
1969,27.700
1970,27.078
1971,26.762
1972,27.301
1973,27.603
1974,26.838
1975,27.023
1976,27.446
1977,26.863
1978,27.159
1979,27.690
1980,27.676
1981,27.314
1982,27.114
1983,27.037
1984,27.567
1985,27.414
1986,27.243
1987,27.707
1988,27.392
1989,26.732
1990,27.644
1991,27.515
1992,26.880
1993,27.680
1994,27.257
1995,27.499
1996,27.751
1997,27.694
1998,27.803
1999,27.720
2000,27.457
2001,27.726
2002,27.905
2003,27.854
2004,27.893
2005,28.033
2006,27.729
2007,27.648
2008,27.842
2009,28.348
2010,28.648
2011,27.808
2012,27.869
2013,28.572
