date,value
1850,26.282
1859,26.227
1864,26.236
1875,26.340
1876,26.214
1877,26.771
1878,26.937
1880,26.667
1881,26.711
1882,26.454
1883,26.330
1884,26.207
1885,26.435
1886,26.542
1887,26.159
1888,26.430
1889,26.571
1890,26.323
1891,26.406
1892,26.385
1893,26.558
1894,26.581
1895,26.618
1896,26.679
1897,26.875
1898,26.822
1899,26.604
1900,26.709
1901,26.485
1902,26.591
1903,26.461
1904,26.532
1905,26.643
1906,26.416
1907,26.234
1908,26.264
1909,26.461
1910,27.079
1911,26.653
1912,26.319
1913,26.458
1914,26.781
1915,27.023
1916,26.534
1917,26.614
1918,26.446
1919,26.887
1920,26.651
1921,26.536
1922,26.437
1923,26.312
1924,26.663
1925,26.494
1926,26.950
1927,26.431
1928,26.638
1929,27.019
1930,26.911
1931,27.111
1932,26.671
1933,26.884
1934,26.630
1935,26.733
1936,26.806
1937,26.479
1938,26.445
1939,26.741
1940,27.141
1941,27.264
1942,27.053
1943,26.930
1944,27.010
1945,27.087
1946,26.867
1947,26.898
1948,26.898
1949,26.983
1950,26.570
1951,26.927
1952,27.044
1953,27.111
1954,26.844
1955,26.681
1956,26.568
1957,26.725
1958,27.230
1959,27.109
1960,26.796
1961,27.046
1962,26.829
1963,26.535
1964,26.781
1965,26.500
1966,26.806
1967,26.941
1968,26.608
1969,27.125
1970,26.956
1971,26.856
1972,27.344
1973,27.234
1974,26.770
1975,26.333
1976,26.621
1977,27.192
1978,27.325
1979,27.206
1980,27.434
1981,27.058
1982,27.103
1983,27.428
1984,26.815
1985,26.800
1986,27.035
1987,27.433
1988,27.483
1989,26.858
1990,27.143
1991,27.256
1992,27.258
1993,26.910
1994,27.265
1995,27.163
1996,27.126
1997,27.222
1998,27.550
1999,27.500
2000,27.710
2001,27.478
2002,27.516
2003,27.787
2004,27.684
2005,27.832
2006,27.653
2007,27.873
2008,27.451
2009,27.945
2010,27.821
2011,27.924
2012,27.939
2013,27.976
