date,value
1824,26.073
1825,26.198
1826,26.049
1827,26.326
1828,25.811
1829,25.675
1845,25.522
1846,26.170
1847,25.553
1848,25.749
1849,25.626
1850,25.792
1851,25.603
1852,25.687
1853,25.795
1854,25.656
1855,25.838
1856,25.497
1857,25.362
1858,25.731
1859,25.747
1860,25.720
1861,25.632
1862,25.377
1863,25.587
1864,25.699
1865,25.814
1866,25.916
1867,26.067
1868,25.767
1869,26.122
1870,25.738
1871,25.843
1872,25.844
1873,25.948
1874,25.957
1875,25.458
1876,25.698
1877,26.313
1878,26.533
1879,25.762
1880,25.484
1881,25.991
1882,25.713
1883,25.537
1884,25.456
1885,24.621
1886,25.422
1887,25.578
1888,25.938
1889,25.935
1890,25.224
1891,25.620
1892,25.590
1893,25.444
1894,25.540
1895,25.915
1896,25.957
1897,25.972
1898,25.634
1899,25.900
1900,26.138
1901,26.385
1902,25.966
1903,25.967
1904,25.470
1905,25.999
1906,25.853
1907,25.719
1908,25.815
1909,25.946
1910,25.721
1911,25.770
1912,26.035
1913,25.770
1914,26.200
1915,26.399
1916,25.980
1917,25.430
1918,25.549
1919,26.095
1920,25.816
1921,25.696
1922,25.801
1923,25.789
1924,25.811
1925,25.898
1926,26.389
1927,26.086
1928,26.234
1929,25.899
1930,26.094
1931,26.547
1932,26.443
1933,26.057
1934,25.873
1935,26.199
1936,26.240
1937,26.413
1938,26.208
1939,26.108
1940,26.681
1941,26.659
1942,26.532
1943,26.055
1944,26.291
1945,26.191
1946,26.219
1947,26.320
1948,26.164
1949,25.999
1950,26.284
1951,26.486
1952,26.586
1953,26.576
1954,26.209
1955,26.272
1956,26.131
1957,26.552
1958,26.955
1959,26.502
1960,26.403
1961,26.423
1962,26.511
1963,26.475
1964,26.514
1965,26.485
1966,26.641
1967,26.285
1968,26.197
1969,26.992
1970,26.522
1971,25.954
1972,26.311
1973,26.390
1974,26.051
1975,26.042
1976,26.229
1977,26.434
1978,26.513
1979,26.696
1980,26.763
1981,26.488
1982,26.547
1983,26.771
1984,26.104
1985,26.200
1986,26.491
1987,27.167
1988,26.625
1989,26.359
1990,26.677
1991,26.676
1992,26.806
1993,26.590
1994,26.566
1995,27.045
1996,26.822
1997,27.047
1998,27.400
1999,26.723
2000,26.586
2001,26.804
2002,26.904
2003,27.196
2004,27.150
2005,27.484
2006,27.046
2007,26.909
2008,26.920
2009,27.233
2010,27.413
2011,27.061
2012,27.189
2013,26.957
