date,value
1743,5.668
1744,11.235
1745,6.207
1750,11.441
1751,14.645
1752,6.526
1753,13.279
1754,11.772
1755,11.987
1756,10.915
1757,11.979
1758,10.010
1759,10.862
1760,11.921
1761,12.446
1762,10.703
1763,10.407
1764,9.880
1765,11.664
1766,13.210
1767,11.596
1768,12.187
1769,9.417
1770,10.412
1771,10.132
1772,10.915
1773,10.669
1774,11.879
1775,12.357
1776,11.423
1777,11.472
1778,10.410
1779,11.780
1780,13.415
1781,11.440
1782,11.315
1783,11.242
1784,12.722
1785,12.014
1786,10.771
1787,10.899
1788,11.133
1789,11.788
1790,10.948
1791,10.250
1792,13.134
1793,10.882
1794,11.511
1795,12.085
1796,10.823
1797,11.743
1798,11.224
1799,12.409
1800,10.057
1801,10.486
1802,11.479
1803,11.463
1804,11.646
1805,10.007
1806,10.128
1807,11.214
1808,13.700
1809,10.345
1810,11.923
1811,13.054
1812,11.088
1813,10.215
1814,10.882
1815,11.332
1816,11.601
1817,10.263
1818,11.715
1819,12.017
1820,11.676
1821,10.393
1822,12.987
1823,10.522
1824,10.895
1825,9.838
1826,10.880
1827,11.759
1828,11.797
1829,11.787
1830,11.976
1831,10.724
1832,11.115
1833,10.583
1834,10.662
1835,10.956
1836,10.614
1837,10.532
1838,11.933
1839,11.747
1840,10.848
1841,12.575
1842,11.355
1843,9.553
1844,11.363
1845,10.211
1846,11.670
1847,10.995
1848,12.104
1849,11.436
1850,10.014
1851,9.809
1852,9.686
1853,10.188
1854,11.097
1855,12.719
1856,10.198
1857,11.667
1858,11.296
1859,12.325
1860,11.820
1861,12.122
1862,12.433
1863,10.692
1864,11.761
1865,11.937
1866,9.887
1867,10.785
1868,11.543
1869,10.864
1870,12.089
1871,10.807
1872,11.532
1873,9.938
1874,11.096
1875,12.193
1876,10.462
1877,10.452
1878,11.668
1879,11.085
1880,12.024
1881,10.120
1882,10.046
1883,11.011
1884,9.391
1885,11.968
1886,10.677
1887,12.353
1888,10.883
1889,12.407
1890,11.213
1891,11.346
1892,11.379
1893,10.432
1894,11.734
1895,11.401
1896,11.049
1897,11.607
1898,10.276
1899,10.690
1900,10.141
1901,11.551
1902,10.053
1903,10.660
1904,11.028
1905,11.490
1906,11.395
1907,11.618
1908,10.903
1909,11.390
1910,9.737
1911,12.206
1912,9.949
1913,10.389
1914,10.220
1915,9.383
1916,10.289
1917,12.856
1918,9.605
1919,9.020
1920,10.273
1921,11.070
1922,11.267
1923,10.073
1924,11.446
1925,10.571
1926,11.297
1927,11.226
1928,10.987
1929,11.974
1930,10.389
1931,10.284
1932,11.799
1933,11.159
1934,11.724
1935,10.805
1936,10.171
1937,11.031
1938,11.798
1939,10.811
1940,12.371
1941,10.697
1942,12.078
1943,11.559
1944,10.329
1945,11.540
1946,12.840
1947,12.927
1948,11.119
1949,10.286
1950,11.801
1951,10.678
1952,12.036
1953,10.976
1954,11.742
1955,9.462
1956,10.128
1957,11.071
1958,11.194
1959,10.119
1960,11.022
1961,12.755
1962,9.988
1963,13.579
1964,10.788
1965,10.176
1966,11.447
1967,12.353
1968,12.172
1969,12.995
1970,9.541
1971,10.572
1972,10.674
1973,10.435
1974,10.141
1975,10.366
1976,9.531
1977,10.263
1978,9.058
1979,11.039
1980,11.130
1981,10.992
1982,12.517
1983,11.384
1984,9.483
1985,12.010
1986,11.922
1987,10.899
1988,10.416
1989,10.528
1990,10.726
1991,11.940
1992,10.925
1993,10.350
1994,11.502
1995,10.290
1996,12.816
1997,10.383
1998,11.712
1999,10.687
2000,12.795
2001,12.082
2002,12.377
2003,13.471
2004,11.260
2005,11.917
2006,11.885
2007,11.463
2008,11.248
2009,12.354
2010,12.442
2011,11.208
2012,12.510
2013,11.745
