date,value
1744,7.228
1750,10.039
1751,9.613
1752,1.936
1753,8.643
1754,8.559
1755,8.749
1756,8.127
1757,10.831
1758,10.590
1759,8.285
1760,9.588
1761,10.640
1762,9.154
1763,9.694
1764,7.908
1765,7.382
1766,9.358
1767,9.647
1768,11.074
1769,9.533
1770,10.605
1771,9.934
1772,8.219
1773,9.427
1774,9.076
1775,10.042
1776,8.921
1777,9.344
1778,9.962
1779,9.829
1780,8.586
1781,9.100
1782,9.293
1783,9.551
1784,8.882
1785,9.073
1786,8.310
1787,9.678
1788,9.269
1789,11.507
1790,9.017
1791,8.218
1792,8.767
1793,8.727
1794,9.343
1795,8.502
1796,9.055
1797,9.014
1798,10.047
1799,7.697
1800,7.866
1801,8.832
1802,8.041
1803,8.765
1804,9.272
1805,10.391
1806,9.510
1807,9.417
1808,10.757
1809,9.919
1810,8.875
1811,10.161
1812,8.629
1813,9.449
1814,8.165
1815,8.308
1816,7.543
1817,10.832
1818,9.958
1819,9.466
1820,8.629
1821,8.144
1822,8.907
1823,8.685
1824,8.525
1825,8.585
1826,9.910
1827,8.839
1828,8.873
1829,9.526
1830,8.196
1831,9.367
1832,7.970
1833,9.935
1834,8.996
1835,9.208
1836,7.164
1837,8.805
1838,8.879
1839,10.053
1840,7.656
1841,8.309
1842,8.531
1843,9.210
1844,8.233
1845,9.429
1846,9.636
1847,8.298
1848,8.122
1849,8.806
1850,8.236
1851,8.197
1852,12.363
1853,10.347
1854,9.054
1855,8.258
1856,7.151
1857,9.677
1858,9.372
1859,9.883
1860,8.098
1861,8.668
1862,7.930
1863,8.489
1864,8.179
1865,7.964
1866,8.498
1867,8.201
1868,8.967
1869,7.689
1870,8.299
1871,8.505
1872,8.916
1873,9.715
1874,8.133
1875,9.295
1876,8.274
1877,6.959
1878,8.814
1879,9.683
1880,9.645
1881,8.374
1882,9.056
1883,8.811
1884,8.396
1885,6.900
1886,7.510
1887,7.833
1888,8.198
1889,8.924
1890,8.261
1891,8.223
1892,8.350
1893,7.881
1894,8.587
1895,8.669
1896,8.770
1897,9.100
1898,7.839
1899,8.826
1900,8.934
1901,10.049
1902,7.422
1903,8.649
1904,7.922
1905,11.120
1906,8.610
1907,7.831
1908,8.223
1909,9.109
1910,8.514
1911,8.481
1912,8.006
1913,7.553
1914,9.120
1915,7.317
1916,7.666
1917,10.047
1918,7.424
1919,8.262
1920,7.726
1921,8.610
1922,9.181
1923,8.425
1924,10.014
1925,8.919
1926,9.420
1927,8.057
1928,7.348
1929,9.094
1930,9.412
1931,6.599
1932,8.063
1933,8.971
1934,9.729
1935,7.185
1936,8.895
1937,10.511
1938,8.410
1939,8.648
1940,9.957
1941,9.480
1942,8.086
1943,9.142
1944,9.907
1945,8.963
1946,9.052
1947,9.691
1948,8.887
1949,7.978
1950,9.366
1951,8.567
1952,7.669
1953,8.472
1954,8.555
1955,9.707
1956,9.248
1957,8.182
1958,8.605
1959,9.224
1960,8.909
1961,9.398
1962,7.886
1963,9.355
1964,8.516
1965,8.270
1966,9.643
1967,7.852
1968,8.129
1969,9.223
1970,10.211
1971,8.282
1972,9.036
1973,8.307
1974,8.724
1975,8.949
1976,8.156
1977,9.218
1978,8.165
1979,8.304
1980,9.148
1981,8.556
1982,8.637
1983,9.125
1984,9.192
1985,9.887
1986,8.492
1987,8.033
1988,10.729
1989,9.176
1990,7.305
1991,8.713
1992,12.038
1993,7.958
1994,9.021
1995,8.837
1996,8.692
1997,10.815
1998,8.359
1999,8.502
2000,8.530
2001,9.399
2002,10.166
2003,9.397
2004,9.418
2005,8.501
2006,9.112
2007,8.492
2008,9.224
2009,8.392
2010,9.212
2011,9.525
2012,7.380
2013,10.955
