date,value
1856,26.059
1857,26.446
1858,26.681
1859,27.066
1860,26.626
1861,26.071
1862,24.952
1873,27.890
1874,26.410
1875,26.393
1876,25.891
1877,26.918
1878,27.247
1879,26.600
1880,26.726
1881,27.056
1882,26.431
1883,26.474
1884,26.151
1885,26.357
1886,26.158
1887,26.307
1888,26.495
1889,26.742
1890,26.301
1891,26.539
1892,26.658
1893,26.388
1894,26.694
1895,26.743
1896,26.741
1897,26.928
1898,26.782
1899,26.825
1900,26.848
1901,27.386
1902,26.752
1903,26.553
1904,26.194
1905,26.746
1906,26.716
1907,26.503
1908,26.606
1909,26.772
1910,26.043
1911,26.511
1912,26.517
1913,26.912
1914,27.869
1915,27.494
1916,26.736
1917,26.779
1918,27.085
1919,27.571
1920,26.177
1921,26.921
1922,26.692
1923,26.784
1924,27.323
1925,27.221
1926,27.440
1927,27.149
1928,27.596
1929,26.873
1930,27.119
1931,27.968
1932,27.509
1933,27.816
1934,27.107
1935,27.173
1936,27.270
1937,27.210
1938,27.383
1939,27.413
1940,27.465
1941,28.066
1942,27.887
1943,27.149
1944,27.115
1945,26.940
1946,27.079
1947,27.447
1948,26.895
1949,26.930
1950,26.593
1951,27.030
1952,27.556
1953,27.228
1954,27.168
1955,26.994
1956,27.051
1957,27.174
1958,27.505
1959,26.968
1960,27.524
1961,26.237
1962,27.104
1963,27.548
1964,26.980
1965,26.886
1966,27.008
1967,26.953
1968,27.059
1969,27.898
1970,27.021
1971,26.913
1972,27.452
1973,27.710
1974,26.890
1975,26.988
1976,27.488
1977,26.827
1978,27.110
1979,27.551
1980,27.481
1981,27.195
1982,27.260
1983,27.139
1984,27.563
1985,27.412
1986,27.556
1987,27.660
1988,27.320
1989,26.840
1990,27.619
1991,27.554
1992,26.920
1993,27.612
1994,27.261
1995,27.462
1996,27.784
1997,27.797
1998,27.896
1999,27.780
2000,27.448
2001,27.635
2002,27.773
2003,27.878
2004,28.017
2005,28.211
2006,28.048
2007,27.860
2008,27.703
2009,28.324
2010,28.697
2011,27.785
2012,27.701
2013,28.356
