date,value
1849,26.286
1850,26.193
1851,26.402
1856,27.537
1857,25.485
1858,26.298
1859,26.224
1860,26.190
1861,26.357
1862,27.223
1873,26.409
1874,26.435
1875,26.036
1876,25.972
1877,26.610
1878,26.643
1879,26.095
1880,26.496
1881,26.786
1882,26.378
1883,26.807
1884,26.947
1885,26.285
1886,26.131
1887,25.547
1888,25.690
1889,25.821
1890,25.292
1891,25.677
1892,25.816
1893,26.038
1894,25.801
1895,26.255
1896,26.104
1897,26.571
1898,26.086
1899,26.735
1900,26.764
1901,26.620
1902,26.410
1903,25.955
1904,25.813
1905,26.346
1906,26.620
1907,26.217
1908,26.497
1909,26.281
1910,26.351
1911,25.992
1912,26.589
1913,27.086
1914,27.184
1915,27.077
1916,26.751
1917,27.301
1918,26.779
1919,26.991
1920,26.938
1921,27.117
1922,27.038
1923,26.967
1924,27.114
1925,26.867
1926,27.352
1927,26.932
1928,26.910
1929,26.815
1930,27.270
1931,27.299
1932,26.835
1933,27.162
1934,27.080
1935,27.034
1936,26.924
1937,27.322
1938,27.268
1939,26.692
1940,27.288
1941,27.642
1942,27.305
1943,26.893
1944,27.335
1945,27.342
1946,27.088
1947,27.342
1948,26.899
1949,27.315
1950,26.941
1951,27.197
1952,27.006
1953,26.903
1954,26.596
1955,26.556
1956,26.596
1957,26.816
1958,27.022
1959,26.999
1960,26.946
1961,26.783
1962,26.771
1963,27.033
1964,26.722
1965,26.797
1966,27.036
1967,26.704
1968,26.848
1969,27.235
1970,27.264
1971,26.771
1972,27.056
1973,27.561
1974,26.861
1975,26.715
1976,26.571
1977,27.195
1978,26.949
1979,27.278
1980,27.266
1981,27.228
1982,26.987
1983,27.472
1984,27.294
1985,27.173
1986,27.032
1987,27.917
1988,27.353
1989,27.073
1990,27.517
1991,27.057
1992,26.976
1993,27.237
1994,27.082
1995,27.311
1996,27.306
1997,27.225
1998,27.806
1999,27.280
2000,27.442
2001,27.411
2002,27.497
2003,27.667
2004,27.535
2005,27.767
2006,27.769
2007,27.864
2008,27.465
2009,27.710
2010,28.059
2011,27.772
2012,27.420
2013,27.718
