date,value
1816,24.933
1817,24.648
1818,25.315
1819,24.706
1820,25.314
1821,25.632
1822,25.758
1823,25.638
1825,25.938
1833,25.654
1834,25.637
1835,24.695
1836,25.159
1837,24.815
1838,26.196
1839,25.614
1840,25.607
1841,26.195
1842,25.681
1843,25.725
1844,25.216
1845,25.024
1846,25.493
1847,25.085
1848,25.307
1849,25.426
1850,25.548
1851,25.678
1852,25.504
1853,25.790
1854,25.785
1855,25.645
1856,25.351
1857,25.626
1858,25.722
1859,25.706
1860,25.498
1861,25.415
1862,23.519
1863,25.448
1864,25.319
1865,25.773
1866,25.823
1867,25.719
1868,25.761
1869,25.285
1870,25.345
1871,25.596
1872,25.751
1873,25.805
1874,25.768
1875,25.373
1876,25.319
1877,25.871
1878,26.372
1879,25.813
1880,25.616
1881,25.814
1882,25.685
1883,25.491
1884,25.269
1885,25.712
1886,25.655
1887,25.438
1888,25.928
1889,26.035
1890,25.676
1891,25.934
1892,25.376
1893,25.190
1894,25.557
1895,25.851
1896,25.942
1897,26.105
1898,25.741
1899,25.609
1900,26.100
1901,26.056
1902,26.118
1903,25.882
1904,25.416
1905,25.982
1906,26.146
1907,25.568
1908,25.698
1909,25.878
1910,25.798
1911,26.006
1912,25.917
1913,25.717
1914,26.129
1915,26.150
1916,25.609
1917,25.513
1918,25.607
1919,26.303
1920,26.053
1921,25.784
1922,26.027
1923,25.931
1924,26.020
1925,25.702
1926,26.238
1927,25.937
1928,25.979
1929,25.847
1930,25.941
1931,26.509
1932,25.932
1933,26.035
1934,25.714
1935,26.487
1936,25.986
1937,26.411
1938,25.993
1939,25.976
1940,26.264
1941,26.900
1942,26.384
1943,25.925
1944,26.443
1945,26.183
1946,26.436
1947,26.525
1948,26.117
1949,26.250
1950,26.087
1951,26.257
1952,26.317
1953,26.406
1954,26.385
1955,25.868
1956,25.935
1957,26.511
1958,26.488
1959,26.603
1960,26.591
1961,26.292
1962,26.136
1963,26.129
1964,26.244
1965,26.338
1966,26.816
1967,26.098
1968,26.356
1969,26.574
1970,26.402
1971,25.670
1972,26.396
1973,26.440
1974,26.008
1975,26.156
1976,25.956
1977,26.369
1978,26.499
1979,26.829
1980,26.806
1981,26.213
1982,26.187
1983,26.465
1984,26.130
1985,26.266
1986,26.149
1987,26.651
1988,26.400
1989,26.321
1990,26.591
1991,26.653
1992,26.291
1993,26.297
1994,26.477
1995,26.530
1996,26.186
1997,26.635
1998,27.380
1999,26.222
2000,26.302
2001,26.680
2002,26.786
2003,26.649
2004,26.500
2005,26.833
2006,26.745
2007,26.637
2008,26.222
2009,26.648
2010,27.390
2011,26.252
2012,27.289
2013,27.865
