date,value
1819,14.430
1820,13.695
1821,11.606
1831,3.693
1832,16.670
1833,14.312
1834,15.630
1835,13.677
1836,15.433
1837,13.853
1838,15.273
1839,15.274
1840,15.352
1841,15.085
1842,15.961
1843,14.772
1844,15.366
1845,15.487
1846,14.729
1847,17.497
1848,17.075
1849,14.439
1850,15.582
1851,16.069
1852,15.788
1853,15.629
1854,15.805
1855,14.983
1856,14.459
1857,15.076
1858,15.766
1859,16.296
1860,17.154
1861,16.865
1862,16.529
1863,14.401
1864,18.980
1865,15.599
1866,15.486
1867,14.784
1868,14.403
1869,15.998
1870,16.142
1871,15.846
1872,18.055
1873,14.967
1874,14.749
1875,14.895
1876,15.866
1877,17.766
1878,16.509
1879,15.199
1880,15.731
1881,16.483
1882,17.185
1883,17.919
1884,14.004
1885,15.613
1886,16.566
1887,16.258
1888,15.690
1889,17.575
1890,17.668
1891,17.391
1892,14.497
1893,18.104
1894,17.293
1895,16.451
1896,14.318
1897,15.899
1898,15.244
1899,17.035
1900,17.584
1901,16.361
1902,15.154
1903,16.855
1904,16.244
1905,17.438
1906,16.037
1907,13.808
1908,15.572
1909,16.891
1910,16.080
1911,16.551
1912,14.648
1913,16.059
1914,16.896
1915,16.116
1916,14.052
1917,15.339
1918,15.478
1919,16.416
1920,16.523
1921,14.489
1922,15.492
1923,15.753
1924,15.818
1925,18.697
1926,14.755
1927,16.355
1928,15.222
1929,18.934
1930,19.242
1931,17.089
1932,17.424
1933,16.053
1934,15.263
1935,16.176
1936,16.287
1937,16.004
1938,15.330
1939,15.332
1940,15.878
1941,16.183
1942,15.177
1943,16.994
1944,17.540
1945,17.379
1946,16.626
1947,15.714
1948,16.711
1949,15.090
1950,18.880
1951,17.789
1952,16.052
1953,15.068
1954,15.540
1955,16.074
1956,15.959
1957,15.894
1958,15.440
1959,15.632
1960,14.836
1961,15.841
1962,15.142
1963,15.903
1964,17.471
1965,16.746
1966,15.860
1967,14.948
1968,15.132
1969,17.389
1970,17.024
1971,17.397
1972,19.172
1973,16.981
1974,17.406
1975,15.440
1976,17.232
1977,17.336
1978,15.024
1979,17.120
1980,18.695
1981,15.982
1982,14.535
1983,16.315
1984,18.158
1985,16.957
1986,15.517
1987,15.439
1988,15.955
1989,17.109
1990,15.926
1991,15.521
1992,15.037
1993,14.735
1994,15.356
1995,16.521
1996,16.774
1997,16.335
1998,16.163
1999,16.379
2000,16.398
2001,16.574
2002,18.054
2003,15.642
2004,16.664
2005,16.579
2006,18.335
2007,16.302
2008,18.067
2009,16.355
2010,17.044
2011,15.786
2012,17.385
2013,18.614
