date,value
1753,19.961
1754,20.038
1755,19.765
1756,20.229
1757,20.017
1758,18.685
1759,19.793
1760,19.304
1761,20.135
1762,20.085
1763,19.368
1764,20.131
1765,20.077
1766,20.090
1767,19.798
1768,18.907
1769,19.796
1770,19.686
1771,20.155
1772,20.979
1773,19.828
1774,20.341
1775,20.501
1776,19.819
1777,19.633
1778,20.150
1779,20.224
1780,20.716
1781,20.106
1782,19.564
1783,19.745
1784,19.796
1785,19.505
1786,19.920
1787,20.030
1788,20.475
1789,19.544
1790,20.037
1791,20.182
1792,19.921
1793,19.523
1794,19.737
1795,19.969
1796,20.027
1797,19.841
1798,20.084
1799,20.226
1800,20.468
1801,20.415
1802,20.560
1803,20.216
1804,20.545
1805,19.674
1806,19.941
1807,20.013
1808,18.958
1809,19.020
1810,19.100
1811,19.456
1812,18.831
1813,19.130
1814,18.707
1815,19.292
1816,18.671
1817,19.304
1818,19.809
1819,19.483
1820,19.755
1821,19.505
1822,20.156
1823,19.432
1824,19.708
1825,19.678
1826,19.546
1827,19.700
1828,20.093
1829,19.539
1830,19.957
1831,19.810
1832,19.638
1833,19.552
1834,19.783
1835,19.045
1836,19.322
1837,18.964
1838,19.626
1839,19.596
1840,19.788
1841,20.011
1842,19.716
1843,19.778
1844,19.806
1845,19.681
1846,20.432
1847,19.634
1848,19.527
1849,19.739
1850,19.296
1851,19.344
1852,20.018
1853,19.848
1854,19.251
1855,19.644
1856,19.550
1857,19.390
1858,19.742
1859,19.682
1860,19.401
1861,19.547
1862,20.156
1863,19.844
1864,19.819
1865,19.849
1866,19.997
1867,20.194
1868,19.591
1869,19.708
1870,19.714
1871,19.539
1872,20.006
1873,19.765
1874,19.497
1875,19.497
1876,19.916
1877,19.832
1878,20.408
1879,19.707
1880,19.856
1881,20.154
1882,19.525
1883,19.192
1884,18.998
1885,19.506
1886,19.407
1887,19.630
1888,19.498
1889,19.428
1890,18.945
1891,19.222
1892,19.970
1893,20.220
1894,19.804
1895,20.418
1896,19.464
1897,20.159
1898,19.809
1899,20.274
1900,19.841
1901,19.704
1902,19.975
1903,19.298
1904,19.855
1905,19.588
1906,19.299
1907,19.090
1908,19.711
1909,19.307
1910,19.389
1911,19.781
1912,19.752
1913,20.228
1914,19.799
1915,19.836
1916,20.000
1917,19.563
1918,19.417
1919,19.680
1920,20.246
1921,19.918
1922,20.134
1923,19.315
1924,20.532
1925,19.821
1926,20.418
1927,20.644
1928,20.254
1929,19.286
1930,20.440
1931,20.862
1932,20.497
1933,20.150
1934,19.910
1935,19.845
1936,19.943
1937,20.580
1938,19.429
1939,20.042
1940,19.737
1941,19.885
1942,20.426
1943,20.499
1944,19.877
1945,20.504
1946,20.722
1947,20.968
1948,20.141
1949,20.146
1950,20.122
1951,20.233
1952,20.712
1953,19.929
1954,19.589
1955,20.986
1956,19.474
1957,19.650
1958,20.300
1959,20.029
1960,20.641
1961,20.383
1962,20.020
1963,20.226
1964,20.096
1965,19.973
1966,20.223
1967,19.946
1968,20.251
1969,19.996
1970,20.105
1971,19.738
1972,19.752
1973,19.972
1974,19.674
1975,19.744
1976,19.328
1977,20.630
1978,19.776
1979,20.177
1980,19.496
1981,20.267
1982,20.507
1983,20.277
1984,19.833
1985,20.486
1986,20.276
1987,20.803
1988,20.929
1989,20.746
1990,20.929
1991,19.925
1992,20.033
1993,20.568
1994,21.266
1995,20.683
1996,20.528
1997,21.084
1998,20.761
1999,21.657
2000,21.141
2001,21.701
2002,21.328
2003,21.478
2004,20.945
2005,20.846
2006,21.310
2007,21.155
2008,21.205
2009,21.093
2010,21.610
2011,20.995
2012,21.479
2013,21.887
