date,value
1777,12.689
1778,11.931
1779,13.241
1780,12.248
1781,11.669
1782,13.717
1783,12.480
1784,12.601
1785,11.813
1786,13.773
1787,11.660
1788,14.318
1789,11.809
1790,11.579
1791,12.046
1792,12.604
1793,12.566
1794,11.849
1795,12.910
1796,11.668
1797,12.124
1798,12.023
1799,14.127
1800,11.801
1801,12.340
1802,12.460
1803,14.223
1804,11.905
1805,11.524
1806,11.903
1807,13.017
1808,12.021
1809,11.445
1810,11.535
1811,12.808
1812,14.178
1813,13.398
1814,10.974
1815,12.733
1816,11.317
1817,11.571
1818,12.420
1819,12.096
1820,12.016
1821,11.014
1822,11.885
1823,12.450
1824,12.291
1825,12.199
1826,12.243
1827,12.235
1828,13.690
1829,12.067
1830,12.534
1831,10.918
1832,11.908
1833,12.264
1834,12.146
1835,10.631
1836,12.380
1837,10.658
1838,11.723
1839,10.782
1840,12.732
1841,11.475
1842,12.181
1843,11.274
1844,12.026
1845,12.526
1846,11.853
1847,13.844
1848,12.820
1849,12.468
1850,11.925
1851,13.011
1852,11.416
1853,12.228
1854,11.022
1855,12.738
1856,11.083
1857,11.528
1858,13.700
1859,12.786
1860,11.914
1861,11.683
1862,14.465
1863,13.487
1864,12.576
1865,11.503
1866,12.487
1867,11.230
1868,12.362
1869,12.970
1870,11.488
1871,11.312
1872,13.402
1873,12.090
1874,13.740
1875,11.734
1876,12.969
1877,11.834
1878,13.229
1879,12.240
1880,13.045
1881,11.097
1882,13.448
1883,13.872
1884,11.954
1885,12.879
1886,11.389
1887,14.121
1888,12.507
1889,12.791
1890,13.906
1891,13.694
1892,11.873
1893,12.019
1894,13.223
1895,11.517
1896,13.499
1897,11.164
1898,12.559
1899,11.797
1900,11.914
1901,13.662
1902,11.625
1903,12.451
1904,12.398
1905,13.819
1906,12.442
1907,11.814
1908,11.875
1909,13.129
1910,11.492
1911,13.246
1912,11.606
1913,13.363
1914,11.192
1915,11.993
1916,12.392
1917,12.065
1918,11.833
1919,11.990
1920,11.781
1921,11.951
1922,12.082
1923,12.261
1924,11.834
1925,13.134
1926,12.050
1927,13.437
1928,12.631
1929,14.003
1930,12.420
1931,11.724
1932,14.019
1933,11.915
1934,14.220
1935,12.256
1936,12.045
1937,14.103
1938,11.852
1939,12.209
1940,13.118
1941,12.916
1942,12.789
1943,12.565
1944,13.059
1945,12.337
1946,12.035
1947,12.680
1948,12.392
1949,13.455
1950,14.226
1951,12.063
1952,12.527
1953,12.250
1954,14.619
1955,12.968
1956,11.136
1957,13.400
1958,12.268
1959,12.417
1960,12.581
1961,12.084
1962,13.118
1963,12.284
1964,12.601
1965,11.671
1966,13.413
1967,12.169
1968,13.075
1969,11.969
1970,12.555
1971,11.945
1972,13.891
1973,12.644
1974,12.890
1975,12.766
1976,13.479
1977,13.083
1978,12.140
1979,12.871
1980,13.103
1981,12.576
1982,11.499
1983,12.785
1984,12.058
1985,13.195
1986,12.261
1987,11.614
1988,11.622
1989,13.454
1990,13.258
1991,11.751
1992,13.069
1993,13.702
1994,12.745
1995,12.189
1996,12.406
1997,11.568
1998,12.883
1999,13.087
2000,13.400
2001,13.283
2002,13.577
2003,12.331
2004,12.310
2005,12.433
2006,13.621
2007,12.815
2008,14.022
2009,12.815
2010,14.282
2011,11.915
2012,14.092
2013,14.027
