date,value
1841,21.125
1842,21.468
1843,21.561
1844,21.191
1845,21.268
1846,21.837
1847,21.544
1848,21.082
1849,21.405
1850,21.589
1851,21.612
1852,21.633
1853,21.977
1854,21.951
1855,21.578
1856,21.192
1857,21.617
1858,21.391
1859,21.598
1860,21.471
1861,21.377
1862,20.615
1863,21.179
1864,21.000
1865,21.452
1866,21.592
1867,21.470
1868,21.942
1869,21.948
1870,22.034
1871,22.017
1872,22.012
1873,21.642
1874,21.808
1875,21.521
1876,21.289
1877,21.754
1878,21.817
1879,21.895
1880,21.252
1881,21.529
1882,21.393
1883,21.310
1884,20.873
1885,21.035
1886,20.886
1887,21.462
1888,21.928
1889,21.631
1890,21.847
1891,21.578
1892,21.451
1893,21.159
1894,21.678
1895,21.387
1896,21.764
1897,22.029
1898,21.861
1899,21.393
1900,21.743
1901,21.364
1902,21.959
1903,21.396
1904,21.245
1905,21.616
1906,21.855
1907,21.642
1908,21.720
1909,22.038
1910,21.644
1911,21.646
1912,21.728
1913,21.692
1914,22.006
1915,22.329
1916,21.835
1917,20.961
1918,21.285
1919,21.757
1920,21.726
1921,21.660
1922,21.893
1923,21.642
1924,21.703
1925,21.326
1926,21.600
1927,21.453
1928,21.881
1929,21.776
1930,22.116
1931,22.151
1932,21.616
1933,21.969
1934,21.571
1935,22.034
1936,21.761
1937,22.361
1938,22.244
1939,21.680
1940,21.819
1941,22.566
1942,22.376
1943,21.915
1944,22.038
1945,21.688
1946,22.595
1947,21.783
1948,22.330
1949,22.365
1950,22.038
1951,22.157
1952,22.580
1953,22.440
1954,22.615
1955,22.018
1956,22.159
1957,22.096
1958,22.229
1959,22.545
1960,22.498
1961,22.470
1962,22.001
1963,22.033
1964,22.399
1965,22.247
1966,22.719
1967,21.998
1968,21.725
1969,22.091
1970,22.160
1971,21.948
1972,22.090
1973,22.485
1974,22.218
1975,22.371
1976,21.931
1977,22.528
1978,22.261
1979,22.357
1980,22.484
1981,22.198
1982,22.192
1983,22.477
1984,21.961
1985,22.101
1986,21.911
1987,22.506
1988,22.321
1989,22.184
1990,22.473
1991,22.613
1992,22.125
1993,22.489
1994,22.825
1995,22.170
1996,22.348
1997,22.489
1998,23.446
1999,22.693
2000,22.705
2001,22.796
2002,23.136
2003,22.886
2004,22.638
2005,22.529
2006,23.121
2007,23.054
2008,22.714
2009,22.885
2010,22.745
2011,22.272
2012,22.558
2013,23.015
