date,value
1850,21.496
1859,22.100
1864,21.663
1875,21.588
1876,21.614
1877,22.223
1878,22.318
1880,21.775
1881,22.250
1885,22.078
1886,20.244
1889,22.103
1890,21.549
1891,21.626
1892,22.064
1893,21.621
1894,22.115
1895,22.105
1896,22.162
1897,22.270
1898,22.419
1899,21.971
1900,22.399
1901,22.314
1902,22.457
1903,22.347
1904,21.569
1905,22.100
1906,21.820
1907,21.734
1908,22.096
1909,21.845
1910,21.698
1911,21.945
1912,22.339
1913,22.117
1914,22.400
1915,22.389
1916,21.966
1917,21.825
1918,21.896
1919,22.212
1920,22.008
1921,22.095
1922,22.068
1923,21.991
1924,22.281
1925,22.087
1926,22.338
1927,22.078
1928,22.258
1929,22.206
1930,21.974
1931,22.604
1932,22.234
1933,22.250
1934,22.265
1935,22.232
1936,22.116
1937,22.073
1938,22.290
1939,22.288
1940,22.391
1941,22.743
1942,22.238
1943,22.228
1944,22.315
1945,22.181
1946,22.390
1947,22.102
1948,22.347
1949,22.724
1950,22.074
1951,22.229
1952,22.428
1953,22.521
1954,22.387
1955,22.255
1956,21.947
1957,22.282
1958,22.644
1959,22.545
1960,22.318
1961,22.521
1962,22.217
1963,22.032
1964,22.076
1965,22.117
1966,22.469
1967,22.353
1968,21.966
1969,22.685
1970,22.371
1971,21.967
1972,22.404
1973,22.443
1974,22.137
1975,22.278
1976,22.432
1977,22.587
1978,22.361
1979,22.402
1980,22.653
1981,22.478
1982,22.564
1983,23.116
1984,22.411
1985,22.370
1986,22.578
1987,23.094
1988,22.922
1989,22.308
1990,22.714
1991,22.691
1992,22.803
1993,22.690
1994,22.862
1995,23.006
1996,22.757
1997,22.949
1998,23.058
1999,22.648
2000,22.792
2001,22.748
2002,23.002
2003,23.281
2004,23.046
2005,23.723
2006,23.045
2007,22.926
2008,22.706
2009,23.150
2010,23.268
2011,23.069
2012,23.069
2013,22.773
