date,value
1850,22.301
1856,22.956
1857,21.813
1858,22.677
1859,22.657
1860,22.422
1861,22.369
1862,22.740
1864,22.395
1875,22.106
1876,22.370
1877,22.935
1878,23.100
1880,22.503
1881,22.703
1882,22.540
1883,22.412
1884,22.229
1885,22.488
1886,22.483
1887,22.298
1888,22.391
1889,22.898
1890,22.564
1891,22.483
1892,22.672
1893,22.418
1894,22.753
1895,22.711
1896,22.713
1897,22.880
1898,23.198
1899,22.894
1900,22.974
1901,23.834
1902,23.151
1903,23.075
1904,22.284
1905,22.685
1906,22.577
1907,22.634
1908,22.492
1909,22.233
1910,22.560
1911,23.104
1912,23.224
1913,22.800
1914,23.002
1915,23.026
1916,22.720
1917,22.333
1918,22.820
1919,22.871
1920,22.674
1921,22.753
1922,22.342
1923,22.451
1924,22.906
1925,22.881
1926,22.657
1927,23.297
1928,23.173
1929,22.997
1930,23.135
1931,23.360
1932,22.862
1933,22.967
1934,23.070
1935,23.239
1936,23.080
1937,23.025
1938,22.964
1939,23.054
1940,23.227
1941,23.475
1942,23.153
1943,23.129
1944,23.097
1945,23.079
1946,23.089
1947,22.905
1948,22.979
1949,23.339
1950,22.968
1951,22.889
1952,23.091
1953,23.242
1954,22.959
1955,22.864
1956,22.619
1957,23.103
1958,23.357
1959,23.147
1960,23.047
1961,23.049
1962,22.873
1963,22.879
1964,22.810
1965,23.030
1966,23.108
1967,22.927
1968,22.758
1969,23.205
1970,23.050
1971,22.883
1972,23.337
1973,23.302
1974,22.984
1975,23.050
1976,23.162
1977,23.280
1978,23.197
1979,23.290
1980,23.633
1981,23.369
1982,23.306
1983,23.592
1984,23.394
1985,23.202
1986,23.453
1987,23.968
1988,23.514
1989,22.961
1990,23.267
1991,23.176
1992,23.295
1993,23.391
1994,23.416
1995,23.572
1996,23.301
1997,23.814
1998,23.744
1999,23.284
2000,23.561
2001,23.406
2002,23.831
2003,23.844
2004,23.812
2005,24.030
2006,23.770
2007,23.491
2008,23.496
2009,24.047
2010,23.922
2011,23.727
2012,23.806
2013,24.025
