date,value
1743,1.898
1744,11.867
1745,7.077
1750,12.877
1751,13.756
1752,5.177
1753,12.113
1754,13.530
1755,13.716
1756,11.957
1757,12.625
1758,11.732
1759,12.653
1760,12.393
1761,12.602
1762,12.762
1763,12.235
1764,11.302
1765,11.649
1766,12.142
1767,12.022
1768,12.258
1769,12.768
1770,11.440
1771,12.614
1772,12.105
1773,12.358
1774,14.430
1775,12.713
1776,11.437
1777,10.822
1778,11.873
1779,12.388
1780,12.214
1781,12.305
1782,13.131
1783,15.417
1784,13.144
1785,12.380
1786,12.752
1787,11.666
1788,11.933
1789,14.126
1790,9.941
1791,11.812
1792,12.962
1793,13.176
1794,12.275
1795,11.871
1796,13.223
1797,14.127
1798,12.435
1799,13.463
1800,13.343
1801,12.625
1802,12.493
1803,13.744
1804,13.369
1805,12.253
1806,11.564
1807,13.381
1808,13.050
1809,13.986
1810,10.066
1811,11.595
1812,12.441
1813,12.789
1814,10.605
1815,12.237
1816,10.783
1817,10.573
1818,11.502
1819,11.656
1820,11.226
1821,12.340
1822,11.691
1823,11.995
1824,11.207
1825,12.622
1826,11.744
1827,12.151
1828,11.585
1829,14.298
1830,11.651
1831,12.243
1832,12.527
1833,12.576
1834,12.074
1835,12.142
1836,11.528
1837,10.853
1838,10.803
1839,13.288
1840,12.167
1841,14.348
1842,12.006
1843,10.870
1844,11.990
1845,12.719
1846,13.251
1847,12.859
1848,13.015
1849,12.997
1850,13.454
1851,14.392
1852,12.147
1853,11.565
1854,11.460
1855,12.193
1856,12.332
1857,11.097
1858,14.731
1859,12.291
1860,13.223
1861,11.256
1862,13.202
1863,12.063
1864,12.301
1865,12.588
1866,11.657
1867,13.879
1868,13.182
1869,10.939
1870,12.343
1871,10.689
1872,12.966
1873,11.638
1874,11.412
1875,12.198
1876,13.183
1877,10.969
1878,12.221
1879,12.807
1880,12.783
1881,11.756
1882,12.039
1883,13.395
1884,10.403
1885,11.804
1886,11.573
1887,12.936
1888,14.361
1889,13.489
1890,12.443
1891,13.200
1892,15.448
1893,10.820
1894,10.966
1895,12.958
1896,14.761
1897,14.008
1898,11.100
1899,11.450
1900,12.894
1901,10.928
1902,11.609
1903,12.237
1904,12.021
1905,13.777
1906,12.244
1907,14.443
1908,13.764
1909,13.483
1910,11.753
1911,12.873
1912,9.251
1913,10.618
1914,11.292
1915,12.301
1916,11.204
1917,13.407
1918,11.692
1919,12.250
1920,13.421
1921,13.362
1922,11.368
1923,12.397
1924,13.603
1925,10.725
1926,13.262
1927,12.487
1928,12.611
1929,13.311
1930,12.359
1931,12.703
1932,13.907
1933,11.812
1934,13.046
1935,15.010
1936,11.170
1937,12.912
1938,13.309
1939,13.711
1940,12.911
1941,13.398
1942,14.168
1943,11.961
1944,11.878
1945,12.348
1946,12.434
1947,10.852
1948,13.407
1949,11.772
1950,11.093
1951,12.395
1952,13.464
1953,15.135
1954,12.620
1955,12.979
1956,14.204
1957,12.363
1958,12.702
1959,11.361
1960,12.385
1961,12.493
1962,13.692
1963,14.457
1964,11.866
1965,10.739
1966,13.046
1967,13.067
1968,12.321
1969,13.141
1970,12.008
1971,11.695
1972,12.934
1973,10.165
1974,10.544
1975,13.038
1976,12.023
1977,10.722
1978,11.321
1979,12.110
1980,12.245
1981,12.270
1982,10.745
1983,12.511
1984,11.863
1985,12.871
1986,12.180
1987,12.353
1988,13.177
1989,11.544
1990,11.508
1991,12.234
1992,12.132
1993,12.425
1994,11.404
1995,11.325
1996,13.985
1997,11.390
1998,13.791
1999,11.670
2000,11.674
2001,12.972
2002,12.385
2003,13.838
2004,11.154
2005,14.197
2006,11.577
2007,12.460
2008,13.254
2009,13.283
2010,14.002
2011,11.524
2012,14.340
2013,18.242
