date,value
1832,16.297
1833,16.959
1834,16.783
1835,15.976
1836,16.358
1837,16.044
1838,16.164
1839,16.240
1840,16.536
1841,16.371
1842,16.758
1843,16.879
1851,16.840
1852,16.806
1853,16.780
1854,16.952
1855,16.762
1856,16.810
1857,17.418
1858,16.574
1859,16.715
1860,16.432
1861,16.613
1862,16.631
1863,16.237
1864,16.792
1865,17.319
1866,17.022
1867,16.820
1868,17.339
1869,16.872
1870,16.994
1871,16.450
1872,16.810
1873,16.960
1874,16.122
1875,16.452
1876,16.560
1877,17.534
1878,16.505
1879,16.642
1880,16.574
1881,16.835
1882,16.349
1883,16.652
1884,16.723
1885,16.127
1886,16.117
1887,16.337
1888,16.946
1889,16.452
1890,16.347
1891,16.903
1892,16.677
1893,16.341
1894,16.586
1895,17.254
1896,17.596
1897,17.263
1898,16.421
1899,17.319
1900,17.781
1901,17.040
1902,17.380
1903,17.224
1904,16.850
1905,16.668
1906,17.477
1907,16.737
1908,16.598
1909,16.409
1910,16.380
1911,15.885
1912,16.862
1913,17.655
1914,17.453
1915,17.133
1916,16.808
1917,16.891
1918,16.974
1919,17.538
1920,17.264
1921,16.820
1922,16.952
1923,16.918
1924,16.082
1925,17.273
1926,17.879
1927,17.515
1928,17.175
1929,17.277
1930,17.385
1931,16.596
1932,17.689
1933,17.343
1934,17.081
1935,17.167
1936,17.297
1937,16.900
1938,17.027
1939,17.305
1940,17.369
1941,16.824
1942,17.101
1943,17.780
1944,17.888
1945,17.794
1946,17.137
1947,17.089
1948,17.168
1949,17.289
1950,17.413
1951,17.339
1952,17.531
1953,17.580
1954,17.240
1955,16.708
1956,16.393
1957,17.376
1958,17.627
1959,17.137
1960,17.549
1961,17.792
1962,17.011
1963,17.504
1964,16.531
1965,17.615
1966,16.904
1967,17.698
1968,17.610
1969,17.618
1970,17.576
1971,17.117
1972,17.509
1973,17.277
1974,17.277
1975,17.569
1976,16.900
1977,18.000
1978,17.479
1979,17.381
1980,18.056
1981,17.848
1982,18.016
1983,17.405
1984,17.227
1985,18.008
1986,18.114
1987,17.659
1988,17.114
1989,18.101
1990,17.704
1991,17.974
1992,17.529
1993,17.646
1994,18.132
1995,17.665
1996,17.874
1997,18.366
1998,17.522
1999,17.608
2000,17.757
2001,18.574
2002,17.994
2003,17.605
2004,18.061
2005,18.194
2006,18.240
2007,17.516
2008,18.281
2009,17.871
2010,17.920
2011,17.825
2012,18.509
2013,16.754
