date,value
1824,24.897
1825,25.072
1826,24.872
1827,25.156
1828,24.752
1829,24.656
1845,24.520
1846,25.043
1847,24.466
1848,24.455
1849,24.504
1850,24.539
1851,24.605
1852,24.492
1853,24.623
1854,24.573
1855,24.730
1856,24.747
1857,24.142
1858,24.390
1859,24.431
1860,24.508
1861,24.500
1862,24.304
1863,24.429
1864,24.527
1865,24.610
1866,24.535
1867,24.808
1868,24.763
1869,25.163
1870,24.537
1871,24.642
1872,24.893
1873,24.728
1874,24.665
1875,24.472
1876,24.775
1877,25.309
1878,25.647
1879,24.723
1880,24.206
1881,24.696
1882,24.308
1883,24.330
1884,24.230
1885,24.590
1886,24.379
1887,24.318
1888,24.765
1889,25.099
1890,23.998
1891,24.840
1892,24.505
1893,24.293
1894,24.312
1895,24.622
1896,24.770
1897,24.819
1898,24.394
1899,24.867
1900,25.123
1901,25.008
1902,25.060
1903,25.004
1904,24.457
1905,24.835
1906,24.767
1907,24.512
1908,24.574
1909,24.559
1910,24.632
1911,24.654
1912,24.826
1913,24.501
1914,24.925
1915,25.245
1916,24.671
1917,24.258
1918,24.428
1919,24.955
1920,24.675
1921,24.568
1922,24.678
1923,24.597
1924,24.902
1925,24.821
1926,25.392
1927,24.879
1928,25.026
1929,24.843
1930,24.854
1931,25.376
1932,25.095
1933,24.811
1934,24.906
1935,24.916
1936,25.031
1937,25.192
1938,24.784
1939,24.898
1940,25.626
1941,25.764
1942,25.605
1943,25.055
1944,25.205
1945,24.997
1946,24.927
1947,25.212
1948,25.181
1949,24.964
1950,24.793
1951,25.359
1952,25.561
1953,25.381
1954,25.049
1955,24.920
1956,24.853
1957,25.307
1958,25.918
1959,25.396
1960,25.401
1961,25.387
1962,25.425
1963,25.417
1964,25.364
1965,25.291
1966,25.542
1967,25.059
1968,25.084
1969,25.685
1970,25.342
1971,24.724
1972,25.237
1973,25.482
1974,25.003
1975,25.037
1976,25.023
1977,25.596
1978,25.499
1979,25.609
1980,25.573
1981,25.451
1982,25.387
1983,25.784
1984,25.285
1985,25.050
1986,25.266
1987,25.977
1988,25.548
1989,25.086
1990,25.595
1991,25.507
1992,25.593
1993,25.468
1994,25.507
1995,25.922
1996,25.599
1997,25.753
1998,26.159
1999,25.345
2000,25.388
2001,25.771
2002,25.772
2003,26.008
2004,25.818
2005,26.019
2006,25.850
2007,25.854
2008,25.648
2009,26.085
2010,26.150
2011,25.677
2012,25.689
2013,25.913
