date,value
1857,16.449
1858,16.731
1859,16.767
1860,17.192
1861,16.832
1862,16.411
1863,16.742
1864,16.819
1865,17.199
1866,17.066
1867,17.117
1868,16.744
1869,17.135
1870,16.785
1871,16.946
1872,16.917
1873,16.467
1874,16.863
1875,16.666
1876,16.630
1877,17.098
1878,16.890
1879,16.476
1880,17.114
1881,16.878
1882,16.783
1883,16.909
1884,16.624
1885,17.061
1886,17.102
1887,16.707
1888,16.885
1889,17.242
1890,16.718
1891,16.949
1892,16.711
1893,16.752
1894,16.831
1895,16.833
1896,17.408
1897,17.001
1898,16.475
1899,16.905
1900,17.386
1901,16.909
1902,16.714
1903,16.639
1904,16.596
1905,16.778
1906,16.520
1907,16.483
1908,16.767
1909,16.959
1910,16.625
1911,16.813
1912,17.111
1913,17.306
1914,17.386
1915,17.032
1916,17.049
1917,16.556
1918,16.894
1919,17.332
1920,17.304
1921,16.777
1922,17.374
1923,17.415
1924,16.699
1925,17.023
1926,17.329
1927,17.694
1928,17.267
1929,17.389
1930,17.041
1931,17.390
1932,17.618
1933,17.527
1934,17.520
1935,16.760
1936,17.075
1937,17.445
1938,17.385
1939,17.033
1940,17.599
1941,17.732
1942,17.531
1943,16.880
1944,17.459
1945,17.598
1946,17.510
1947,17.578
1948,17.274
1949,17.667
1950,17.451
1951,17.002
1952,17.518
1953,17.312
1954,17.067
1955,16.602
1956,17.093
1957,17.426
1958,17.423
1959,17.332
1960,17.572
1961,17.545
1962,17.739
1963,17.506
1964,17.262
1965,17.400
1966,17.807
1967,17.308
1968,17.044
1969,17.772
1970,17.720
1971,17.286
1972,17.621
1973,17.584
1974,17.175
1975,17.151
1976,16.964
1977,17.660
1978,17.410
1979,17.790
1980,17.610
1981,17.116
1982,17.752
1983,18.204
1984,17.968
1985,18.056
1986,17.955
1987,18.104
1988,17.629
1989,17.406
1990,17.728
1991,17.752
1992,18.256
1993,18.203
1994,17.615
1995,17.871
1996,17.259
1997,17.615
1998,18.095
1999,18.546
2000,17.586
2001,17.868
2002,17.949
2003,18.262
2004,18.083
2005,18.218
2006,17.598
2007,17.986
2008,17.956
2009,17.886
2010,18.303
2011,17.552
2012,17.847
2013,17.325
