date,value
1850,20.423
1859,21.391
1864,20.666
1875,20.335
1876,20.619
1877,21.162
1878,21.268
1879,20.264
1880,20.468
1881,20.623
1882,20.657
1883,20.652
1884,20.416
1885,20.792
1886,20.840
1887,20.592
1888,20.723
1889,21.261
1890,20.488
1891,20.648
1892,20.879
1893,20.700
1894,20.953
1895,21.045
1896,21.203
1897,21.161
1898,20.850
1899,20.935
1900,21.374
1901,21.056
1902,21.232
1903,21.231
1904,20.215
1905,21.016
1906,20.819
1907,20.436
1908,21.055
1909,20.959
1910,20.659
1911,20.712
1912,21.446
1913,21.307
1914,21.547
1915,21.427
1916,21.153
1917,21.066
1918,20.657
1919,21.048
1920,21.309
1921,21.206
1922,21.708
1923,21.384
1924,21.345
1925,20.837
1926,21.182
1927,21.068
1928,21.326
1929,21.299
1930,21.036
1931,21.527
1932,21.135
1933,21.031
1934,21.231
1935,21.092
1936,20.861
1937,20.871
1938,21.317
1939,20.834
1940,21.195
1941,21.591
1942,21.551
1943,21.318
1944,21.424
1945,21.085
1946,21.326
1947,21.382
1948,21.246
1949,21.685
1950,20.848
1951,21.294
1952,21.523
1953,21.263
1954,21.299
1955,21.218
1956,20.918
1957,21.658
1958,21.535
1959,21.703
1960,21.400
1961,21.541
1962,21.267
1963,21.015
1964,21.130
1965,21.043
1966,21.667
1967,21.249
1968,21.247
1969,21.543
1970,21.631
1971,21.190
1972,21.401
1973,21.479
1974,20.784
1975,21.109
1976,20.826
1977,21.562
1978,21.162
1979,21.379
1980,21.338
1981,21.248
1982,21.600
1983,22.346
1984,21.674
1985,21.332
1986,21.294
1987,22.309
1988,21.885
1989,21.644
1990,22.219
1991,21.629
1992,22.415
1993,21.712
1994,21.847
1995,22.451
1996,22.018
1997,21.950
1998,22.301
1999,21.452
2000,21.559
2001,21.802
2002,22.292
2003,22.157
2004,21.768
2005,22.814
2006,21.784
2007,21.839
2008,21.536
2009,21.670
2010,22.268
2011,21.772
2012,21.698
2013,21.196
