date,value
1850,20.154
1857,20.773
1858,20.850
1859,20.708
1860,20.434
1861,20.158
1864,20.544
1875,19.726
1876,20.476
1877,20.992
1878,21.058
1879,20.368
1880,20.413
1881,20.583
1882,20.494
1883,20.578
1884,20.311
1885,20.644
1886,20.738
1887,20.438
1888,20.658
1889,21.166
1890,20.465
1891,20.593
1892,20.811
1893,20.533
1894,20.684
1895,20.877
1896,21.148
1897,20.989
1898,20.487
1899,20.744
1900,21.276
1901,20.675
1902,20.902
1903,20.994
1904,20.004
1905,20.881
1906,20.566
1907,20.206
1908,21.038
1909,20.920
1910,20.336
1911,20.546
1912,21.386
1913,21.416
1914,21.477
1915,21.130
1916,21.100
1917,20.854
1918,20.413
1919,20.665
1920,21.135
1921,20.768
1922,21.632
1923,21.251
1924,20.944
1925,20.733
1926,21.075
1927,20.811
1928,21.339
1929,21.188
1930,20.711
1931,21.404
1932,20.926
1933,20.819
1934,21.218
1935,20.580
1936,20.696
1937,20.887
1938,21.241
1939,20.416
1940,21.168
1941,21.608
1942,21.609
1943,21.104
1944,21.324
1945,20.700
1946,21.237
1947,21.582
1948,21.111
1949,21.535
1950,21.258
1951,21.102
1952,21.325
1953,20.757
1954,21.176
1955,20.914
1956,20.894
1957,21.821
1958,21.275
1959,21.470
1960,21.179
1961,21.409
1962,21.433
1963,20.757
1964,21.081
1965,20.992
1966,21.415
1967,21.145
1968,21.363
1969,21.345
1970,21.799
1971,21.160
1972,21.032
1973,21.460
1974,20.558
1975,20.834
1976,20.691
1977,21.405
1978,20.925
1979,21.256
1980,21.129
1981,20.804
1982,21.575
1983,22.367
1984,21.715
1985,21.198
1986,21.201
1987,22.324
1988,21.483
1989,21.432
1990,22.130
1991,21.790
1992,22.840
1993,21.852
1994,21.609
1995,22.496
1996,21.553
1997,21.567
1998,22.142
1999,21.486
2000,21.149
2001,21.694
2002,22.081
2003,21.891
2004,21.331
2005,22.510
2006,21.619
2007,21.604
2008,21.546
2009,21.377
2010,21.986
2011,21.602
2012,21.521
2013,20.711
