date,value
1838,18.380
1840,13.413
1841,15.651
1842,15.155
1843,13.756
1844,13.149
1845,13.306
1846,14.031
1847,14.737
1848,14.506
1849,13.444
1850,14.655
1851,14.863
1852,13.541
1853,14.693
1854,14.844
1855,13.924
1856,13.465
1857,13.074
1858,13.664
1859,15.183
1860,14.629
1861,14.631
1862,15.676
1863,13.639
1864,13.176
1865,13.491
1866,13.418
1867,13.975
1868,13.694
1869,13.778
1870,15.116
1871,14.932
1872,15.195
1873,13.996
1874,13.891
1875,14.173
1876,13.565
1877,13.715
1878,15.213
1879,13.928
1880,14.200
1881,14.270
1882,13.434
1883,16.377
1884,13.382
1885,14.337
1886,15.944
1887,15.026
1888,14.243
1889,15.120
1890,13.722
1891,16.134
1892,14.076
1893,16.435
1894,14.887
1895,15.519
1896,14.099
1897,14.866
1898,13.462
1899,15.717
1900,15.311
1901,13.894
1902,14.506
1903,14.293
1904,15.342
1905,16.290
1906,15.162
1907,13.353
1908,13.699
1909,15.303
1910,14.507
1911,14.704
1912,13.903
1913,13.859
1914,14.297
1915,14.915
1916,13.343
1917,13.917
1918,14.710
1919,15.284
1920,14.390
1921,14.172
1922,14.256
1923,13.339
1924,13.629
1925,17.038
1926,13.745
1927,15.276
1928,15.006
1929,16.620
1930,14.905
1931,14.817
1932,15.039
1933,15.349
1934,14.952
1935,14.745
1936,15.385
1937,14.904
1938,14.211
1939,14.162
1940,14.734
1941,15.503
1942,14.451
1943,15.007
1944,15.709
1945,15.219
1946,15.978
1947,15.035
1948,14.335
1949,14.689
1950,15.673
1951,13.968
1952,14.175
1953,14.651
1954,13.691
1955,14.643
1956,14.191
1957,14.092
1958,14.717
1959,14.153
1960,13.985
1961,14.065
1962,13.769
1963,15.033
1964,16.195
1965,14.102
1966,14.343
1967,14.958
1968,13.762
1969,15.210
1970,14.783
1971,16.225
1972,15.513
1973,15.745
1974,16.147
1975,14.789
1976,13.709
1977,16.374
1978,14.330
1979,14.262
1980,14.887
1981,14.860
1982,13.733
1983,14.615
1984,15.631
1985,14.889
1986,14.223
1987,14.984
1988,15.389
1989,15.448
1990,14.993
1991,14.371
1992,14.056
1993,14.439
1994,14.755
1995,14.859
1996,14.426
1997,14.904
1998,15.133
1999,15.389
2000,15.498
2001,15.778
2002,15.538
2003,14.916
2004,15.771
2005,14.980
2006,17.028
2007,15.106
2008,17.014
2009,15.258
2010,15.829
2011,15.518
2012,15.819
2013,16.534
