date,value
1780,13.362
1781,13.528
1788,13.196
1789,12.568
1791,12.498
1792,12.350
1808,6.068
1809,14.342
1810,10.609
1811,10.779
1812,13.286
1813,14.111
1814,10.347
1815,12.908
1816,11.116
1817,10.944
1818,12.612
1819,11.445
1820,11.675
1821,11.513
1822,11.493
1823,11.989
1824,11.683
1825,12.096
1826,10.795
1827,13.064
1828,12.580
1829,12.240
1830,10.998
1831,11.523
1832,12.308
1833,11.924
1834,12.101
1835,11.261
1836,12.037
1837,11.664
1838,11.533
1839,12.960
1840,13.262
1841,13.740
1842,11.977
1843,10.710
1844,10.379
1845,12.162
1846,10.672
1847,12.392
1848,12.956
1849,12.319
1850,11.695
1851,13.273
1852,12.177
1853,12.672
1854,11.502
1855,12.596
1856,13.324
1857,11.293
1858,12.315
1859,12.949
1860,14.350
1861,11.595
1862,11.570
1863,11.994
1864,12.865
1865,12.115
1866,12.122
1867,12.023
1868,12.292
1869,12.870
1870,12.231
1871,12.354
1872,13.544
1873,12.769
1874,12.390
1875,13.603
1876,12.926
1877,13.208
1878,11.869
1879,11.568
1880,13.160
1881,12.075
1882,12.040
1883,13.031
1884,11.659
1885,12.471
1886,11.621
1887,11.352
1888,12.708
1889,11.631
1890,13.096
1891,12.309
1892,12.613
1893,12.556
1894,12.116
1895,11.718
1896,11.744
1897,12.666
1898,13.462
1899,13.782
1900,11.920
1901,11.803
1902,12.122
1903,13.668
1904,12.110
1905,14.361
1906,12.246
1907,11.466
1908,11.954
1909,12.870
1910,12.455
1911,13.023
1912,11.323
1913,12.368
1914,12.012
1915,10.910
1916,11.379
1917,13.340
1918,12.809
1919,12.563
1920,12.956
1921,11.823
1922,13.000
1923,11.205
1924,12.848
1925,11.951
1926,12.195
1927,13.249
1928,13.531
1929,14.186
1930,12.930
1931,12.288
1932,12.568
1933,13.602
1934,12.150
1935,11.639
1936,12.472
1937,12.034
1938,14.146
1939,12.521
1940,11.798
1941,11.713
1942,12.667
1943,14.080
1944,13.216
1945,13.383
1946,12.335
1947,11.972
1948,13.676
1949,13.899
1950,12.796
1951,12.922
1952,12.786
1953,12.169
1954,11.881
1955,12.208
1956,12.989
1957,13.098
1958,12.447
1959,11.831
1960,11.343
1961,11.936
1962,12.497
1963,10.306
1964,12.472
1965,11.148
1966,10.841
1967,11.979
1968,12.935
1969,11.117
1970,12.296
1971,13.381
1972,14.602
1973,12.273
1974,12.583
1975,13.241
1976,11.036
1977,11.563
1978,12.529
1979,12.437
1980,12.048
1981,10.788
1982,12.249
1983,13.003
1984,13.108
1985,14.811
1986,13.118
1987,11.002
1988,12.398
1989,14.311
1990,13.322
1991,13.611
1992,11.700
1993,13.453
1994,13.303
1995,13.671
1996,12.220
1997,12.986
1998,13.306
1999,11.361
2000,13.857
2001,12.856
2002,12.542
2003,13.094
2004,12.278
2005,12.435
2006,14.615
2007,13.731
2008,14.674
2009,11.170
2010,11.510
2011,14.649
2012,14.826
2013,13.309
