date,value
1948,3.437
1949,3.653
1950,3.964
1951,5.426
1952,4.846
1953,4.624
1954,4.838
1955,5.053
1956,4.898
1957,4.580
1958,4.826
1959,4.581
1960,5.114
1961,4.718
1962,4.658
1963,4.397
1964,4.230
1965,4.666
1966,4.575
1967,4.323
1968,5.274
1969,4.708
1970,4.771
1971,4.942
1972,4.620
1973,4.973
1974,4.829
1975,5.064
1976,4.829
1977,4.929
1978,5.204
1979,4.950
1980,5.180
1981,5.090
1982,5.298
1983,4.813
1984,4.865
1985,4.875
1986,4.974
1987,5.294
1988,4.573
1989,5.424
1990,5.008
1991,5.478
1992,5.181
1993,5.380
1994,5.049
1995,5.256
1996,5.092
1997,5.471
1998,5.455
1999,5.121
2000,5.224
2001,5.165
2002,5.199
2003,5.515
2004,5.443
2005,5.456
2006,5.319
2007,5.051
2008,5.447
2009,5.175
2010,5.638
2011,5.330
2012,5.532
2013,5.686
