date,value
1743,2.482
1744,9.315
1745,2.804
1750,9.296
1751,11.103
1752,4.306
1753,10.970
1754,10.735
1755,9.676
1756,10.744
1757,9.629
1758,8.697
1759,10.862
1760,10.817
1761,10.113
1762,10.602
1763,8.697
1764,8.077
1765,9.222
1766,9.697
1767,9.151
1768,9.865
1769,8.817
1770,10.097
1771,11.296
1772,9.210
1773,8.324
1774,10.947
1775,8.951
1776,9.010
1777,9.307
1778,9.035
1779,8.534
1780,9.878
1781,10.429
1782,10.378
1783,8.958
1784,10.258
1785,9.656
1786,9.285
1787,9.334
1788,11.032
1789,10.792
1790,9.317
1791,10.846
1792,9.584
1793,9.446
1794,9.315
1795,11.004
1796,9.316
1797,11.817
1798,9.900
1799,8.712
1800,11.335
1801,10.273
1802,10.242
1803,9.189
1804,11.983
1805,9.956
1806,8.549
1807,11.465
1808,10.423
1809,8.760
1810,9.573
1811,11.218
1812,9.794
1813,8.562
1814,9.516
1815,10.075
1816,7.991
1817,7.704
1818,9.430
1819,9.663
1820,11.715
1821,8.941
1822,10.827
1823,9.101
1824,8.328
1825,9.490
1826,9.741
1827,11.234
1828,9.451
1829,10.694
1830,9.615
1831,9.567
1832,8.711
1833,7.335
1834,9.380
1835,10.103
1836,10.468
1837,9.424
1838,8.423
1839,10.477
1840,9.729
1841,10.134
1842,10.143
1843,7.860
1844,10.230
1845,10.169
1846,9.515
1847,9.715
1848,9.851
1849,11.234
1850,9.787
1851,9.532
1852,9.249
1853,9.842
1854,9.918
1855,9.171
1856,11.587
1857,10.774
1858,11.793
1859,10.162
1860,10.890
1861,9.633
1862,10.476
1863,10.111
1864,8.217
1865,11.451
1866,8.308
1867,9.175
1868,10.318
1869,9.481
1870,9.865
1871,9.580
1872,9.212
1873,9.514
1874,10.320
1875,10.225
1876,10.343
1877,8.698
1878,9.284
1879,9.634
1880,8.583
1881,8.638
1882,9.256
1883,9.801
1884,9.905
1885,9.368
1886,10.817
1887,9.794
1888,9.491
1889,10.256
1890,8.942
1891,8.967
1892,10.251
1893,10.416
1894,9.353
1895,10.567
1896,9.730
1897,10.210
1898,9.657
1899,9.026
1900,9.410
1901,10.436
1902,9.392
1903,8.277
1904,9.520
1905,9.182
1906,9.312
1907,10.350
1908,9.884
1909,11.234
1910,7.833
1911,9.938
1912,8.249
1913,9.154
1914,8.914
1915,8.624
1916,9.201
1917,10.635
1918,9.091
1919,9.210
1920,10.729
1921,9.852
1922,9.757
1923,9.473
1924,8.929
1925,8.840
1926,8.866
1927,9.717
1928,9.657
1929,9.567
1930,9.951
1931,10.003
1932,10.996
1933,8.885
1934,9.509
1935,9.416
1936,9.163
1937,9.756
1938,9.641
1939,10.454
1940,8.943
1941,9.463
1942,9.652
1943,9.036
1944,10.315
1945,9.088
1946,10.308
1947,10.879
1948,9.862
1949,10.998
1950,10.334
1951,9.800
1952,10.671
1953,10.010
1954,8.233
1955,9.740
1956,9.858
1957,8.677
1958,10.798
1959,9.826
1960,9.559
1961,9.461
1962,9.875
1963,10.069
1964,10.953
1965,8.588
1966,10.099
1967,10.025
1968,9.722
1969,9.622
1970,10.245
1971,10.654
1972,8.188
1973,9.212
1974,7.576
1975,8.665
1976,10.603
1977,8.807
1978,8.670
1979,8.485
1980,8.539
1981,10.055
1982,10.212
1983,9.333
1984,8.989
1985,9.470
1986,9.918
1987,10.903
1988,10.968
1989,9.116
1990,9.397
1991,9.700
1992,10.677
1993,11.013
1994,11.147
1995,8.916
1996,10.566
1997,8.881
1998,10.194
1999,10.477
2000,10.174
2001,9.363
2002,9.994
2003,11.184
2004,9.985
2005,10.020
2006,10.737
2007,8.949
2008,9.522
2009,11.116
2010,10.193
2011,10.958
2012,11.237
2013,11.655
