date,value
1808,8.614
1809,11.909
1810,10.675
1811,11.882
1812,13.853
1813,13.246
1814,11.584
1815,13.668
1816,14.490
1817,12.017
1818,13.384
1819,12.429
1820,12.633
1821,10.678
1822,11.411
1823,11.859
1824,11.763
1825,13.150
1826,13.217
1827,11.819
1828,14.796
1829,13.082
1830,12.263
1831,10.405
1832,13.265
1833,11.827
1834,13.052
1835,12.233
1836,13.081
1837,12.486
1838,11.479
1839,11.459
1840,14.023
1841,12.834
1842,12.007
1843,11.059
1844,11.652
1845,13.059
1846,11.160
1847,13.447
1848,14.993
1849,12.065
1850,11.597
1851,12.778
1852,12.078
1853,11.221
1854,11.621
1855,12.391
1856,10.826
1857,12.480
1858,13.277
1859,13.889
1860,13.296
1861,12.527
1862,13.790
1863,12.865
1864,14.967
1865,12.001
1866,11.789
1867,11.923
1868,12.119
1869,12.583
1870,12.196
1871,13.426
1872,14.424
1873,11.619
1874,13.270
1875,13.142
1876,13.851
1877,13.892
1878,14.146
1879,11.685
1880,12.676
1881,11.926
1882,13.200
1883,14.065
1884,12.843
1885,12.172
1886,12.694
1887,13.857
1888,12.599
1889,13.889
1890,15.424
1891,13.384
1892,12.259
1893,13.569
1894,11.755
1895,12.039
1896,12.649
1897,14.957
1898,11.693
1899,13.140
1900,11.788
1901,12.887
1902,11.005
1903,11.874
1904,11.968
1905,13.536
1906,12.265
1907,12.435
1908,12.592
1909,12.696
1910,12.428
1911,12.252
1912,11.316
1913,13.507
1914,11.309
1915,11.676
1916,11.403
1917,11.882
1918,11.221
1919,11.447
1920,12.410
1921,12.870
1922,11.736
1923,11.462
1924,12.482
1925,14.273
1926,11.122
1927,15.474
1928,14.067
1929,14.462
1930,13.595
1931,14.492
1932,14.720
1933,13.042
1934,11.799
1935,12.895
1936,11.428
1937,13.110
1938,11.734
1939,11.638
1940,13.082
1941,12.687
1942,12.303
1943,13.418
1944,12.976
1945,12.811
1946,13.488
1947,12.987
1948,12.450
1949,13.177
1950,13.827
1951,13.738
1952,11.676
1953,12.283
1954,14.221
1955,12.425
1956,11.529
1957,12.980
1958,11.647
1959,11.685
1960,11.738
1961,12.292
1962,12.500
1963,11.788
1964,12.208
1965,12.352
1966,13.203
1967,12.196
1968,11.696
1969,13.238
1970,12.261
1971,13.107
1972,15.447
1973,12.394
1974,13.641
1975,12.010
1976,12.241
1977,12.805
1978,11.501
1979,12.489
1980,13.027
1981,12.391
1982,11.980
1983,13.011
1984,13.936
1985,11.611
1986,11.872
1987,11.520
1988,12.663
1989,13.696
1990,13.197
1991,11.956
1992,11.783
1993,12.843
1994,13.895
1995,12.732
1996,13.317
1997,11.894
1998,14.164
1999,12.852
2000,12.632
2001,13.097
2002,13.795
2003,11.985
2004,12.620
2005,12.687
2006,13.998
2007,12.515
2008,13.920
2009,13.759
2010,13.963
2011,11.809
2012,14.439
2013,14.174
