date,value
1850,19.386
1856,19.265
1857,19.144
1858,19.595
1859,19.698
1860,19.530
1861,19.204
1862,18.874
1864,19.437
1875,19.625
1876,19.406
1877,19.980
1878,20.114
1880,19.455
1881,19.360
1882,19.525
1883,19.432
1884,19.226
1885,19.521
1886,19.495
1887,19.334
1888,19.336
1889,19.961
1890,19.391
1891,19.424
1892,19.760
1893,19.372
1894,19.897
1895,19.821
1896,19.822
1897,19.923
1898,20.058
1899,19.852
1900,20.081
1901,20.572
1902,20.209
1903,20.187
1904,19.180
1905,19.854
1906,19.690
1907,19.620
1908,19.517
1909,19.271
1910,19.482
1911,20.107
1912,20.490
1913,20.100
1914,19.962
1915,20.037
1916,19.694
1917,19.517
1918,19.680
1919,19.885
1920,19.796
1921,20.112
1922,19.621
1923,19.572
1924,20.122
1925,19.843
1926,19.938
1927,20.197
1928,20.205
1929,19.973
1930,19.869
1931,20.354
1932,20.022
1933,19.962
1934,19.999
1935,20.167
1936,20.172
1937,19.865
1938,20.056
1939,20.013
1940,20.242
1941,20.646
1942,20.110
1943,20.103
1944,20.197
1945,20.038
1946,20.156
1947,19.991
1948,20.074
1949,20.453
1950,20.043
1951,19.904
1952,20.279
1953,20.188
1954,20.061
1955,19.962
1956,19.718
1957,20.104
1958,20.385
1959,20.154
1960,20.025
1961,20.134
1962,19.813
1963,19.778
1964,19.996
1965,20.076
1966,20.117
1967,19.938
1968,19.926
1969,20.363
1970,20.055
1971,19.659
1972,20.260
1973,20.334
1974,19.940
1975,19.928
1976,20.092
1977,20.419
1978,20.314
1979,20.376
1980,20.577
1981,20.411
1982,20.370
1983,20.846
1984,20.309
1985,20.280
1986,20.390
1987,20.970
1988,20.639
1989,20.011
1990,20.409
1991,20.238
1992,20.568
1993,20.483
1994,20.539
1995,20.824
1996,20.396
1997,20.784
1998,20.814
1999,20.314
2000,20.596
2001,20.510
2002,20.750
2003,20.931
2004,20.960
2005,21.442
2006,21.066
2007,20.581
2008,20.568
2009,20.764
2010,21.069
2011,20.546
2012,20.754
2013,20.863
