date,value
1849,27.539
1850,27.491
1851,27.708
1856,27.454
1857,27.237
1858,27.473
1859,27.882
1860,27.585
1861,27.444
1862,27.183
1863,27.485
1864,27.608
1865,27.427
1868,27.249
1869,27.359
1870,27.532
1873,27.982
1874,27.616
1875,27.207
1876,27.310
1877,27.826
1878,28.014
1879,27.451
1880,27.716
1881,28.158
1882,27.648
1883,28.117
1884,28.367
1885,25.990
1886,27.331
1887,27.070
1888,27.103
1889,27.067
1890,26.731
1891,27.114
1892,27.315
1893,27.475
1894,27.188
1895,27.641
1896,27.403
1897,27.873
1898,27.535
1899,28.018
1900,27.981
1901,27.779
1902,27.863
1903,27.377
1904,27.080
1905,27.478
1906,27.824
1907,27.231
1908,27.593
1909,27.350
1910,28.092
1911,27.242
1912,28.240
1913,28.436
1914,28.411
1915,28.248
1916,27.753
1917,28.045
1918,27.875
1919,28.309
1920,28.107
1921,28.121
1922,28.227
1923,28.113
1924,28.282
1925,28.294
1926,28.539
1927,27.850
1928,28.017
1929,28.089
1930,28.379
1931,28.657
1932,28.376
1933,28.181
1934,28.005
1935,28.144
1936,27.984
1937,28.612
1938,28.532
1939,28.098
1940,28.615
1941,28.772
1942,28.467
1943,28.060
1944,28.552
1945,28.135
1946,28.085
1947,28.715
1948,28.110
1949,28.597
1950,27.772
1951,28.247
1952,27.980
1953,28.000
1954,27.908
1955,27.819
1956,27.978
1957,27.950
1958,28.492
1959,28.381
1960,28.132
1961,27.818
1962,27.975
1963,28.361
1964,28.024
1965,27.892
1966,28.203
1967,27.918
1968,28.123
1969,28.733
1970,28.501
1971,28.229
1972,28.333
1973,28.820
1974,28.016
1975,27.903
1976,27.771
1977,28.350
1978,28.446
1979,28.482
1980,28.767
1981,28.406
1982,28.093
1983,28.715
1984,28.629
1985,28.437
1986,28.298
1987,29.164
1988,28.436
1989,28.198
1990,28.806
1991,28.459
1992,28.132
1993,28.621
1994,28.039
1995,28.470
1996,28.739
1997,28.569
1998,28.993
1999,28.451
2000,28.591
2001,28.732
2002,28.978
2003,28.883
2004,28.989
2005,29.238
2006,28.920
2007,28.983
2008,28.490
2009,29.083
2010,29.289
2011,29.061
2012,28.630
2013,29.386
