date,value
1743,6.391
1744,12.020
1745,4.758
1750,11.030
1751,15.365
1752,7.379
1753,12.649
1754,12.674
1755,12.787
1756,11.757
1757,12.895
1758,10.638
1759,11.491
1760,11.295
1761,13.200
1762,11.492
1763,11.050
1764,10.668
1765,10.483
1766,11.591
1767,12.423
1768,11.596
1769,10.186
1770,11.193
1771,11.028
1772,11.606
1773,10.538
1774,12.835
1775,12.000
1776,11.082
1777,11.024
1778,11.105
1779,12.396
1780,14.166
1781,12.052
1782,12.188
1783,11.797
1784,12.312
1785,12.945
1786,10.729
1787,11.629
1788,11.871
1789,12.604
1790,11.710
1791,11.067
1792,10.420
1793,11.433
1794,11.108
1795,11.714
1796,11.553
1797,11.438
1798,11.946
1799,12.147
1800,10.794
1801,11.278
1802,12.356
1803,12.367
1804,10.401
1805,10.075
1806,10.853
1807,12.006
1808,12.867
1809,10.945
1810,11.349
1811,12.257
1812,11.817
1813,10.964
1814,10.571
1815,11.937
1816,11.246
1817,10.107
1818,11.402
1819,11.477
1820,11.346
1821,11.145
1822,11.290
1823,11.376
1824,10.827
1825,10.465
1826,11.391
1827,11.502
1828,11.468
1829,12.701
1830,12.705
1831,11.307
1832,11.599
1833,11.314
1834,11.091
1835,10.611
1836,11.409
1837,11.168
1838,11.457
1839,11.250
1840,11.629
1841,13.339
1842,12.112
1843,10.347
1844,12.073
1845,11.169
1846,11.328
1847,10.761
1848,11.870
1849,12.206
1850,10.841
1851,10.947
1852,10.535
1853,11.263
1854,10.776
1855,12.341
1856,9.951
1857,10.991
1858,11.959
1859,12.927
1860,10.020
1861,12.700
1862,13.090
1863,11.246
1864,10.474
1865,11.348
1866,10.639
1867,11.471
1868,11.905
1869,11.529
1870,11.534
1871,11.570
1872,11.254
1873,10.706
1874,11.843
1875,12.730
1876,11.398
1877,10.203
1878,11.351
1879,12.071
1880,11.452
1881,10.657
1882,10.785
1883,11.789
1884,9.868
1885,12.761
1886,10.541
1887,12.068
1888,11.724
1889,13.263
1890,12.049
1891,12.390
1892,11.237
1893,10.810
1894,11.335
1895,11.091
1896,11.048
1897,11.102
1898,10.988
1899,11.201
1900,10.910
1901,12.438
1902,11.131
1903,11.438
1904,10.610
1905,12.514
1906,10.928
1907,12.424
1908,10.686
1909,12.433
1910,10.618
1911,12.737
1912,10.688
1913,10.117
1914,10.841
1915,10.301
1916,11.232
1917,12.499
1918,10.389
1919,9.912
1920,10.767
1921,10.528
1922,12.199
1923,11.130
1924,11.100
1925,11.389
1926,11.103
1927,12.411
1928,10.907
1929,12.575
1930,11.268
1931,11.309
1932,12.672
1933,11.853
1934,12.528
1935,11.757
1936,11.001
1937,12.050
1938,11.296
1939,10.828
1940,13.038
1941,10.495
1942,12.765
1943,12.373
1944,10.251
1945,12.141
1946,13.736
1947,12.572
1948,11.830
1949,10.651
1950,12.927
1951,11.706
1952,11.241
1953,10.667
1954,12.689
1955,10.585
1956,10.921
1957,11.890
1958,11.030
1959,10.532
1960,12.081
1961,11.250
1962,11.183
1963,14.424
1964,11.422
1965,11.242
1966,12.227
1967,11.809
1968,12.965
1969,12.421
1970,10.406
1971,10.445
1972,10.643
1973,10.280
1974,10.671
1975,10.862
1976,9.901
1977,11.032
1978,9.909
1979,11.922
1980,10.793
1981,11.600
1982,12.018
1983,10.844
1984,10.263
1985,12.882
1986,11.659
1987,11.703
1988,10.977
1989,11.030
1990,11.564
1991,12.520
1992,11.444
1993,11.963
1994,12.079
1995,10.759
1996,11.227
1997,10.789
1998,12.224
1999,11.376
2000,13.389
2001,12.586
2002,12.947
2003,12.708
2004,12.028
2005,11.374
2006,12.169
2007,12.002
2008,12.057
2009,11.861
2010,11.271
2011,11.740
2012,13.377
2013,12.880
