date,value
1743,3.572
1744,9.706
1745,3.621
1750,9.871
1751,11.414
1752,4.018
1753,10.172
1754,11.206
1755,10.040
1756,9.536
1757,9.705
1758,9.076
1759,10.154
1760,9.318
1761,9.400
1762,11.188
1763,7.738
1764,7.784
1765,8.820
1766,10.194
1767,8.775
1768,9.508
1769,9.425
1770,9.510
1771,8.485
1772,9.060
1773,8.659
1774,11.078
1775,9.288
1776,8.821
1777,9.936
1778,9.289
1779,8.999
1780,10.719
1781,8.803
1782,10.530
1783,9.317
1784,9.723
1785,10.507
1786,8.986
1787,9.142
1788,10.389
1789,9.496
1790,9.112
1791,9.045
1792,10.122
1793,9.252
1794,9.827
1795,9.280
1796,8.768
1797,9.259
1798,9.108
1799,8.930
1800,11.392
1801,10.228
1802,10.786
1803,9.779
1804,9.211
1805,9.473
1806,8.349
1807,10.354
1808,10.481
1809,8.169
1810,8.939
1811,10.189
1812,7.975
1813,8.166
1814,7.959
1815,8.708
1816,8.092
1817,8.178
1818,8.890
1819,10.039
1820,10.394
1821,8.641
1822,10.377
1823,8.416
1824,8.094
1825,9.241
1826,9.235
1827,10.135
1828,9.129
1829,9.953
1830,10.139
1831,10.012
1832,9.424
1833,7.989
1834,9.802
1835,9.294
1836,9.484
1837,9.852
1838,9.107
1839,8.845
1840,10.441
1841,9.219
1842,9.470
1843,8.297
1844,9.712
1845,10.300
1846,9.875
1847,9.281
1848,8.979
1849,8.657
1850,8.025
1851,9.824
1852,8.768
1853,9.102
1854,10.558
1855,9.324
1856,9.334
1857,9.936
1858,10.702
1859,10.623
1860,8.416
1861,9.152
1862,10.674
1863,10.219
1864,9.143
1865,12.016
1866,7.370
1867,8.856
1868,8.750
1869,9.812
1870,9.510
1871,10.480
1872,8.372
1873,9.974
1874,9.595
1875,9.713
1876,8.728
1877,7.805
1878,8.653
1879,8.795
1880,9.206
1881,9.579
1882,9.455
1883,9.071
1884,7.670
1885,8.698
1886,9.849
1887,8.723
1888,8.813
1889,10.198
1890,8.931
1891,9.095
1892,10.885
1893,9.271
1894,8.825
1895,9.999
1896,8.828
1897,8.938
1898,9.011
1899,8.220
1900,8.894
1901,9.511
1902,9.228
1903,8.601
1904,10.197
1905,9.464
1906,9.987
1907,8.797
1908,9.240
1909,8.149
1910,7.440
1911,9.528
1912,7.890
1913,9.643
1914,7.802
1915,8.301
1916,8.445
1917,10.728
1918,8.521
1919,8.817
1920,8.325
1921,9.534
1922,9.092
1923,9.059
1924,9.592
1925,8.315
1926,9.334
1927,10.052
1928,9.249
1929,9.281
1930,9.207
1931,9.281
1932,9.703
1933,9.771
1934,9.628
1935,9.930
1936,8.693
1937,9.179
1938,10.106
1939,9.334
1940,9.462
1941,8.985
1942,10.433
1943,9.750
1944,10.830
1945,9.977
1946,9.480
1947,11.704
1948,9.476
1949,8.805
1950,9.816
1951,8.965
1952,10.309
1953,9.644
1954,8.757
1955,8.566
1956,9.070
1957,9.213
1958,9.018
1959,8.799
1960,9.965
1961,10.021
1962,10.488
1963,10.154
1964,9.403
1965,8.263
1966,9.370
1967,9.401
1968,8.980
1969,10.059
1970,9.660
1971,10.137
1972,8.539
1973,9.828
1974,7.470
1975,8.256
1976,9.159
1977,8.980
1978,9.170
1979,8.133
1980,8.351
1981,10.296
1982,9.549
1983,9.700
1984,8.514
1985,10.072
1986,10.342
1987,10.165
1988,8.651
1989,8.905
1990,10.173
1991,10.447
1992,9.859
1993,8.421
1994,8.821
1995,9.594
1996,9.773
1997,9.137
1998,9.633
1999,9.734
2000,9.506
2001,9.846
2002,9.370
2003,10.891
2004,9.608
2005,10.907
2006,10.480
2007,9.421
2008,8.949
2009,11.668
2010,10.457
2011,9.741
2012,11.390
2013,11.460
