date,value
1855,7.070
1856,8.664
1857,8.646
1858,8.810
1859,9.246
1860,8.941
1861,8.718
1862,8.538
1863,8.524
1864,8.770
1865,9.145
1866,9.075
1867,9.018
1868,8.984
1869,8.916
1870,8.761
1871,8.682
1872,8.584
1873,9.229
1874,8.791
1875,8.707
1876,9.129
1877,9.632
1878,9.235
1879,9.205
1880,9.160
1881,8.942
1882,9.044
1883,8.877
1884,8.673
1885,8.503
1886,8.749
1887,8.855
1888,9.026
1889,8.494
1890,8.850
1891,9.013
1892,8.755
1893,8.889
1894,9.057
1895,9.216
1896,9.716
1897,9.119
1898,8.614
1899,9.379
1900,9.305
1901,9.476
1902,9.182
1903,8.997
1904,9.392
1905,9.317
1906,9.210
1907,8.870
1908,9.166
1909,9.031
1910,8.906
1911,9.115
1912,9.377
1913,9.600
1914,9.273
1915,9.364
1916,8.971
1917,9.328
1918,9.068
1919,9.635
1920,9.320
1921,9.049
1922,9.116
1923,8.884
1924,9.132
1925,9.294
1926,9.499
1927,9.341
1928,9.096
1929,9.231
1930,9.646
1931,9.364
1932,9.526
1933,9.263
1934,9.292
1935,9.496
1936,9.535
1937,9.377
1938,9.134
1939,9.525
1940,9.626
1941,9.573
1942,9.350
1943,9.739
1944,9.906
1945,10.027
1946,9.491
1947,9.564
1948,9.389
1949,9.369
1950,9.292
1951,9.575
1952,9.830
1953,9.712
1954,9.250
1955,9.028
1956,9.174
1957,9.636
1958,9.661
1959,9.357
1960,9.754
1961,9.495
1962,9.834
1963,9.629
1964,9.436
1965,9.707
1966,9.498
1967,9.569
1968,9.877
1969,9.863
1970,9.654
1971,9.160
1972,9.586
1973,9.413
1974,9.292
1975,9.418
1976,9.345
1977,10.015
1978,9.958
1979,9.797
1980,9.904
1981,9.955
1982,10.050
1983,10.310
1984,9.443
1985,10.040
1986,9.838
1987,10.272
1988,9.725
1989,10.025
1990,9.831
1991,9.725
1992,9.738
1993,9.945
1994,10.054
1995,9.785
1996,9.758
1997,10.337
1998,10.292
1999,9.830
2000,9.564
2001,9.820
2002,9.742
2003,10.078
2004,10.206
2005,9.892
2006,10.174
2007,9.490
2008,10.163
2009,9.994
2010,9.713
2011,10.032
2012,10.273
2013,9.877
