date,value
1849,25.392
1850,25.354
1851,25.471
1856,25.356
1857,25.000
1858,25.278
1859,25.774
1860,25.372
1861,25.305
1862,25.011
1863,25.387
1864,25.428
1865,25.570
1868,25.393
1869,25.481
1870,25.454
1873,25.502
1874,25.411
1875,24.982
1876,24.957
1877,25.604
1878,25.709
1879,25.250
1880,25.801
1881,25.942
1882,25.562
1883,26.013
1884,26.377
1885,25.240
1886,25.247
1887,24.863
1888,24.884
1889,24.805
1890,24.773
1891,25.056
1892,25.172
1893,25.241
1894,24.966
1895,25.236
1896,25.342
1897,25.614
1898,25.356
1899,26.140
1900,25.900
1901,25.756
1902,25.545
1903,25.371
1904,25.077
1905,25.597
1906,25.842
1907,25.392
1908,25.544
1909,25.315
1910,25.807
1911,25.250
1912,26.217
1913,26.178
1914,26.116
1915,26.130
1916,25.853
1917,25.921
1918,25.755
1919,26.054
1920,26.113
1921,26.064
1922,25.960
1923,25.718
1924,25.965
1925,25.942
1926,26.369
1927,26.032
1928,25.835
1929,26.074
1930,26.163
1931,26.129
1932,25.692
1933,26.119
1934,26.136
1935,25.919
1936,25.774
1937,26.288
1938,26.228
1939,25.853
1940,26.468
1941,26.535
1942,26.036
1943,25.893
1944,26.309
1945,26.177
1946,26.015
1947,26.339
1948,25.952
1949,26.176
1950,25.881
1951,26.058
1952,26.033
1953,26.085
1954,25.841
1955,25.823
1956,25.769
1957,26.033
1958,26.133
1959,26.191
1960,26.143
1961,26.068
1962,26.009
1963,26.299
1964,25.871
1965,25.863
1966,26.187
1967,25.806
1968,26.059
1969,26.420
1970,26.318
1971,25.868
1972,26.143
1973,26.578
1974,25.945
1975,25.846
1976,25.676
1977,26.284
1978,26.134
1979,26.414
1980,26.328
1981,26.342
1982,26.024
1983,26.601
1984,26.360
1985,26.141
1986,26.122
1987,27.002
1988,26.494
1989,26.393
1990,26.499
1991,26.335
1992,26.177
1993,26.323
1994,26.248
1995,26.465
1996,26.423
1997,26.461
1998,27.041
1999,26.415
2000,26.402
2001,26.673
2002,26.770
2003,26.939
2004,26.829
2005,26.915
2006,26.792
2007,26.945
2008,26.758
2009,26.934
2010,27.147
2011,26.837
2012,26.552
2013,27.061
