date,value
1850,23.061
1856,23.438
1857,22.729
1858,23.285
1859,23.405
1860,23.248
1861,22.994
1862,23.245
1864,23.146
1875,23.032
1876,23.111
1877,23.669
1878,23.780
1879,23.030
1880,22.903
1881,23.128
1882,23.183
1883,23.155
1884,22.930
1885,23.311
1886,23.262
1887,22.976
1888,23.172
1889,23.706
1890,22.938
1891,23.062
1892,23.312
1893,23.175
1894,23.490
1895,23.436
1896,23.487
1897,23.633
1898,23.510
1899,23.554
1900,23.696
1901,24.170
1902,23.744
1903,23.745
1904,22.778
1905,23.526
1906,23.328
1907,23.307
1908,23.247
1909,23.140
1910,23.188
1911,23.429
1912,24.137
1913,23.778
1914,23.903
1915,23.813
1916,23.542
1917,23.358
1918,23.196
1919,23.588
1920,23.508
1921,23.805
1922,23.433
1923,23.412
1924,23.964
1925,23.559
1926,23.674
1927,23.915
1928,23.985
1929,23.619
1930,23.635
1931,24.140
1932,23.715
1933,23.750
1934,23.865
1935,23.967
1936,23.841
1937,23.770
1938,23.864
1939,23.635
1940,23.808
1941,24.267
1942,24.077
1943,23.806
1944,24.042
1945,23.993
1946,23.916
1947,23.940
1948,23.854
1949,24.078
1950,23.758
1951,23.883
1952,23.996
1953,23.915
1954,23.638
1955,23.564
1956,23.456
1957,23.786
1958,24.071
1959,23.951
1960,23.767
1961,23.792
1962,23.730
1963,23.756
1964,23.672
1965,23.691
1966,23.876
1967,23.641
1968,23.625
1969,24.005
1970,23.965
1971,23.570
1972,23.952
1973,24.169
1974,23.660
1975,23.681
1976,23.676
1977,24.085
1978,24.007
1979,24.170
1980,24.204
1981,24.068
1982,23.931
1983,24.370
1984,23.997
1985,23.858
1986,23.981
1987,24.583
1988,24.322
1989,23.915
1990,24.207
1991,24.063
1992,24.133
1993,24.086
1994,24.225
1995,24.470
1996,24.198
1997,24.536
1998,24.737
1999,24.013
2000,24.206
2001,24.256
2002,24.563
2003,24.567
2004,24.548
2005,24.982
2006,24.527
2007,24.385
2008,24.341
2009,24.542
2010,24.759
2011,24.163
2012,24.206
2013,24.560
