date,value
1824,24.668
1825,24.685
1826,24.574
1827,24.952
1828,24.407
1829,24.262
1846,24.767
1847,24.181
1848,24.104
1849,24.225
1850,24.141
1851,24.338
1852,24.150
1853,24.233
1854,24.322
1855,24.408
1856,24.407
1857,23.854
1858,24.144
1859,24.191
1860,24.142
1861,24.137
1862,23.904
1863,24.231
1864,24.184
1865,24.288
1866,24.113
1867,24.486
1868,24.452
1869,24.929
1870,24.266
1871,24.220
1872,24.585
1873,24.408
1874,24.382
1875,24.161
1876,24.467
1877,24.905
1878,25.361
1879,24.466
1880,24.037
1881,24.466
1882,24.020
1883,23.938
1884,23.910
1885,24.221
1886,24.175
1887,23.988
1888,24.250
1889,24.700
1890,23.785
1891,24.495
1892,24.133
1893,23.870
1894,24.036
1895,24.375
1896,24.519
1897,24.590
1898,24.129
1899,24.460
1900,24.873
1901,24.559
1902,24.663
1903,24.651
1904,24.183
1905,24.589
1906,24.534
1907,24.206
1908,24.207
1909,24.111
1910,24.086
1911,24.399
1912,24.673
1913,24.283
1914,24.754
1915,25.019
1916,24.363
1917,23.896
1918,24.134
1919,24.673
1920,24.525
1921,24.350
1922,24.521
1923,24.423
1924,24.555
1925,24.438
1926,25.078
1927,24.545
1928,24.675
1929,24.612
1930,24.698
1931,25.012
1932,24.648
1933,24.462
1934,24.444
1935,24.544
1936,24.824
1937,24.879
1938,24.524
1939,24.821
1940,25.335
1941,25.545
1942,25.158
1943,24.614
1944,24.789
1945,24.891
1946,24.878
1947,24.988
1948,25.074
1949,24.754
1950,24.426
1951,24.811
1952,25.066
1953,25.113
1954,24.741
1955,24.545
1956,24.452
1957,25.070
1958,25.534
1959,25.018
1960,24.947
1961,25.050
1962,25.001
1963,25.050
1964,24.979
1965,25.053
1966,25.206
1967,24.844
1968,24.815
1969,25.181
1970,24.931
1971,24.557
1972,25.040
1973,25.179
1974,24.657
1975,24.606
1976,24.774
1977,25.295
1978,25.122
1979,25.205
1980,25.433
1981,25.145
1982,25.191
1983,25.635
1984,24.884
1985,25.013
1986,25.013
1987,25.632
1988,25.213
1989,24.864
1990,25.219
1991,25.342
1992,25.534
1993,25.206
1994,25.162
1995,25.493
1996,25.150
1997,25.580
1998,25.879
1999,24.871
2000,25.030
2001,25.412
2002,25.571
2003,25.655
2004,25.554
2005,25.671
2006,25.477
2007,25.494
2008,25.154
2009,25.618
2010,25.688
2011,25.247
2012,25.381
2013,25.580
