date,value
1851,25.186
1852,24.992
1853,24.992
1854,24.996
1855,25.105
1856,25.269
1857,24.876
1858,25.121
1859,24.963
1860,24.806
1861,25.106
1862,24.870
1863,25.226
1864,24.966
1865,25.202
1866,24.851
1867,25.360
1868,25.157
1869,26.051
1870,25.230
1871,24.986
1872,25.519
1873,25.152
1874,25.236
1875,25.334
1876,25.390
1877,25.589
1878,26.177
1879,25.264
1880,25.313
1881,25.369
1882,25.131
1883,25.069
1884,24.880
1885,25.032
1886,25.183
1887,24.825
1888,24.896
1889,25.408
1890,24.661
1891,25.488
1892,24.984
1893,24.978
1894,25.076
1895,25.319
1896,25.503
1897,25.888
1898,25.277
1899,25.217
1900,25.416
1901,24.890
1902,25.265
1903,25.378
1904,24.928
1905,25.207
1906,25.282
1907,25.133
1908,25.076
1909,25.197
1910,24.635
1911,25.489
1912,25.750
1913,25.202
1914,25.557
1915,25.862
1916,25.279
1917,24.783
1918,25.208
1919,25.640
1920,25.585
1921,25.614
1922,25.658
1923,25.542
1924,25.546
1925,25.461
1926,25.889
1927,25.556
1928,25.609
1929,25.612
1930,25.951
1931,25.901
1932,25.679
1933,25.519
1934,25.705
1935,25.400
1936,25.698
1937,25.558
1938,25.227
1939,25.606
1940,25.985
1941,26.340
1942,25.817
1943,25.540
1944,25.455
1945,25.646
1946,25.955
1947,26.002
1948,25.964
1949,25.238
1950,25.369
1951,25.950
1952,25.803
1953,25.921
1954,25.650
1955,25.526
1956,25.511
1957,26.243
1958,26.316
1959,25.994
1960,25.896
1961,25.809
1962,25.637
1963,25.784
1964,25.677
1965,25.870
1966,25.931
1967,25.441
1968,25.472
1969,25.951
1970,25.554
1971,25.431
1972,26.052
1973,25.951
1974,25.494
1975,25.481
1976,25.779
1977,26.115
1978,25.899
1979,25.874
1980,25.889
1981,25.778
1982,26.108
1983,26.509
1984,25.612
1985,25.748
1986,26.026
1987,26.755
1988,25.953
1989,25.778
1990,26.290
1991,26.290
1992,26.362
1993,26.319
1994,26.426
1995,26.293
1996,25.963
1997,26.806
1998,26.974
1999,25.864
2000,26.072
2001,26.114
2002,26.307
2003,26.578
2004,26.528
2005,26.404
2006,26.515
2007,26.383
2008,26.056
2009,26.523
2010,26.227
2011,26.113
2012,26.282
2013,26.458
