date,value
1823,24.665
1824,25.632
1825,25.413
1826,25.555
1827,26.089
1828,25.933
1829,24.998
1830,25.796
1831,24.814
1832,24.911
1833,25.214
1834,25.576
1835,24.641
1836,24.842
1837,24.897
1838,24.615
1839,24.946
1840,24.969
1841,24.641
1842,25.086
1843,24.798
1844,24.480
1845,24.411
1846,25.159
1847,25.002
1848,25.091
1849,25.605
1850,25.435
1851,25.077
1852,24.797
1853,24.949
1854,24.912
1855,24.999
1856,25.411
1857,24.507
1858,24.684
1859,25.046
1860,24.847
1861,25.355
1862,25.348
1863,25.167
1864,24.624
1865,25.249
1866,24.989
1867,25.171
1868,25.186
1869,25.700
1870,25.145
1871,25.093
1872,25.113
1873,24.809
1874,25.177
1875,25.398
1876,25.258
1877,25.394
1878,25.645
1879,25.178
1880,25.434
1881,25.187
1882,25.233
1883,25.534
1884,25.015
1885,25.028
1886,24.590
1887,24.719
1888,24.933
1889,25.057
1890,24.967
1891,25.058
1892,24.844
1893,25.043
1894,24.945
1895,24.992
1896,25.136
1897,25.502
1898,25.225
1899,25.362
1900,25.344
1901,24.756
1902,25.152
1903,25.178
1904,24.922
1905,25.334
1906,25.025
1907,25.237
1908,25.227
1909,24.998
1910,24.556
1911,25.404
1912,25.523
1913,25.124
1914,25.221
1915,25.333
1916,25.034
1917,24.776
1918,25.155
1919,25.410
1920,25.268
1921,25.433
1922,25.351
1923,25.360
1924,25.658
1925,25.598
1926,25.530
1927,25.558
1928,25.364
1929,25.574
1930,25.479
1931,25.373
1932,25.597
1933,25.513
1934,25.256
1935,25.231
1936,25.473
1937,25.647
1938,25.451
1939,25.495
1940,25.286
1941,25.756
1942,25.734
1943,25.368
1944,25.487
1945,25.482
1946,25.857
1947,25.851
1948,26.188
1949,25.682
1950,25.144
1951,25.390
1952,25.472
1953,25.835
1954,25.424
1955,25.339
1956,25.324
1957,25.707
1958,25.580
1959,25.926
1960,25.534
1961,25.708
1962,25.435
1963,25.495
1964,25.803
1965,25.563
1966,25.265
1967,25.579
1968,25.238
1969,25.658
1970,25.412
1971,25.480
1972,25.771
1973,25.684
1974,25.550
1975,25.891
1976,25.503
1977,25.657
1978,25.627
1979,25.678
1980,25.848
1981,25.487
1982,26.082
1983,25.866
1984,25.633
1985,25.672
1986,25.873
1987,25.925
1988,25.825
1989,25.903
1990,26.133
1991,26.166
1992,25.860
1993,25.874
1994,26.265
1995,26.127
1996,25.801
1997,26.638
1998,26.407
1999,25.798
2000,25.785
2001,25.856
2002,26.313
2003,26.362
2004,26.269
2005,26.144
2006,26.155
2007,26.280
2008,26.055
2009,26.022
2010,25.627
2011,26.153
2012,26.059
2013,26.250
