date,value
1743,4.167
1744,10.776
1745,3.876
1750,10.741
1751,12.584
1752,4.568
1753,11.145
1754,12.052
1755,11.080
1756,10.045
1757,11.188
1758,10.184
1759,10.933
1760,9.954
1761,10.525
1762,11.921
1763,8.476
1764,9.487
1765,10.674
1766,11.161
1767,9.640
1768,10.138
1769,10.112
1770,10.357
1771,12.592
1772,10.263
1773,10.060
1774,12.493
1775,10.679
1776,9.554
1777,10.515
1778,10.580
1779,10.113
1780,11.101
1781,12.051
1782,11.920
1783,10.575
1784,10.597
1785,11.145
1786,10.582
1787,9.004
1788,10.949
1789,10.122
1790,8.685
1791,10.114
1792,10.880
1793,8.960
1794,10.851
1795,10.180
1796,10.734
1797,9.881
1798,10.405
1799,9.914
1800,12.849
1801,11.799
1802,11.543
1803,10.627
1804,11.822
1805,10.029
1806,8.553
1807,11.407
1808,11.982
1809,8.531
1810,9.614
1811,12.719
1812,10.013
1813,9.145
1814,8.845
1815,9.319
1816,9.553
1817,9.151
1818,10.853
1819,9.996
1820,10.348
1821,9.538
1822,10.952
1823,9.787
1824,9.021
1825,11.042
1826,10.292
1827,11.714
1828,9.884
1829,10.787
1830,11.147
1831,11.085
1832,10.015
1833,8.958
1834,10.857
1835,10.438
1836,9.774
1837,10.916
1838,9.838
1839,11.934
1840,11.146
1841,10.686
1842,9.333
1843,8.568
1844,10.291
1845,10.723
1846,10.981
1847,10.097
1848,10.442
1849,9.059
1850,10.435
1851,10.051
1852,8.924
1853,11.167
1854,9.131
1855,10.467
1856,11.416
1857,11.011
1858,11.617
1859,10.505
1860,9.816
1861,10.052
1862,11.647
1863,8.787
1864,9.467
1865,12.788
1866,8.973
1867,9.391
1868,10.084
1869,9.910
1870,11.354
1871,9.675
1872,10.853
1873,9.948
1874,11.849
1875,11.581
1876,10.629
1877,8.364
1878,9.923
1879,9.893
1880,9.986
1881,9.820
1882,10.833
1883,10.161
1884,7.702
1885,9.679
1886,12.307
1887,10.099
1888,9.784
1889,12.014
1890,9.567
1891,10.422
1892,10.439
1893,9.668
1894,9.746
1895,10.823
1896,10.334
1897,10.536
1898,9.127
1899,8.576
1900,9.742
1901,9.793
1902,9.537
1903,9.946
1904,8.872
1905,10.644
1906,10.973
1907,10.506
1908,11.365
1909,9.173
1910,8.694
1911,10.430
1912,8.066
1913,9.670
1914,9.736
1915,9.037
1916,9.066
1917,12.374
1918,9.887
1919,10.721
1920,9.875
1921,11.433
1922,8.825
1923,10.696
1924,10.360
1925,8.673
1926,10.265
1927,10.918
1928,9.760
1929,9.900
1930,11.451
1931,11.405
1932,12.608
1933,10.391
1934,11.270
1935,10.943
1936,9.697
1937,10.406
1938,11.354
1939,8.965
1940,10.370
1941,9.596
1942,10.853
1943,10.502
1944,10.762
1945,10.516
1946,10.434
1947,12.091
1948,10.415
1949,9.336
1950,10.562
1951,9.399
1952,10.607
1953,10.485
1954,9.857
1955,9.235
1956,10.036
1957,10.139
1958,9.838
1959,10.323
1960,10.049
1961,10.877
1962,11.470
1963,11.593
1964,12.474
1965,8.895
1966,9.610
1967,10.626
1968,10.198
1969,11.126
1970,10.572
1971,8.972
1972,9.724
1973,9.683
1974,8.544
1975,10.409
1976,10.950
1977,10.160
1978,10.244
1979,10.016
1980,8.890
1981,11.512
1982,10.764
1983,10.951
1984,10.492
1985,9.748
1986,11.289
1987,10.770
1988,8.523
1989,8.984
1990,10.873
1991,11.020
1992,11.047
1993,9.096
1994,10.381
1995,10.510
1996,11.930
1997,9.263
1998,9.628
1999,10.800
2000,10.730
2001,10.488
2002,11.389
2003,12.486
2004,10.495
2005,10.388
2006,11.416
2007,10.517
2008,9.415
2009,12.509
2010,11.523
2011,11.232
2012,11.282
2013,15.412
