date,value
1743,6.507
1744,9.130
1745,2.409
1750,8.797
1751,11.486
1752,5.327
1753,10.489
1754,10.092
1755,9.433
1756,8.768
1757,8.960
1758,8.914
1759,9.164
1760,9.624
1761,9.282
1762,8.846
1763,8.219
1764,8.427
1765,8.178
1766,10.917
1767,8.284
1768,9.997
1769,8.203
1770,9.274
1771,9.812
1772,10.381
1773,9.305
1774,10.006
1775,9.605
1776,8.961
1777,9.138
1778,9.880
1779,10.337
1780,9.684
1781,9.601
1782,7.759
1783,10.311
1784,10.737
1785,10.813
1786,10.298
1787,8.640
1788,10.668
1789,10.374
1790,8.063
1791,8.373
1792,9.647
1793,8.779
1794,8.797
1795,10.733
1796,8.954
1797,8.731
1798,9.498
1799,10.282
1800,10.449
1801,9.042
1802,8.555
1803,10.084
1804,10.306
1805,8.209
1806,8.021
1807,8.460
1808,10.305
1809,8.365
1810,8.804
1811,9.640
1812,9.053
1813,8.577
1814,9.781
1815,9.266
1816,7.466
1817,8.520
1818,8.152
1819,9.240
1820,8.818
1821,9.645
1822,9.082
1823,9.498
1824,8.453
1825,8.392
1826,9.814
1827,9.906
1828,9.800
1829,10.196
1830,10.288
1831,9.173
1832,8.382
1833,8.665
1834,9.079
1835,7.827
1836,8.155
1837,8.693
1838,8.398
1839,9.801
1840,8.516
1841,9.576
1842,9.144
1843,8.715
1844,9.687
1845,9.190
1846,9.994
1847,9.256
1848,8.809
1849,8.720
1850,8.336
1851,7.646
1852,8.252
1853,9.964
1854,8.624
1855,10.846
1856,8.484
1857,9.443
1858,8.617
1859,9.402
1860,8.515
1861,8.888
1862,9.246
1863,8.629
1864,8.246
1865,10.829
1866,8.760
1867,9.563
1868,9.756
1869,7.732
1870,8.957
1871,9.345
1872,8.686
1873,8.095
1874,8.918
1875,9.928
1876,9.914
1877,7.154
1878,9.026
1879,9.204
1880,8.719
1881,9.352
1882,9.218
1883,9.408
1884,8.369
1885,7.995
1886,10.139
1887,7.958
1888,9.057
1889,8.638
1890,8.506
1891,8.466
1892,9.517
1893,9.643
1894,9.077
1895,9.349
1896,8.901
1897,9.716
1898,8.185
1899,8.995
1900,9.484
1901,9.862
1902,8.261
1903,7.979
1904,8.544
1905,7.862
1906,9.037
1907,8.075
1908,7.758
1909,8.502
1910,8.581
1911,8.784
1912,9.445
1913,9.290
1914,9.716
1915,8.443
1916,7.855
1917,10.429
1918,8.750
1919,8.439
1920,8.292
1921,8.637
1922,8.572
1923,8.772
1924,10.149
1925,9.039
1926,8.172
1927,8.528
1928,7.621
1929,9.292
1930,8.608
1931,8.866
1932,8.461
1933,9.937
1934,9.439
1935,8.379
1936,9.113
1937,10.026
1938,9.073
1939,8.478
1940,8.904
1941,8.924
1942,10.245
1943,9.634
1944,8.370
1945,9.727
1946,8.710
1947,11.417
1948,8.695
1949,9.237
1950,10.046
1951,8.296
1952,7.383
1953,9.788
1954,9.481
1955,10.487
1956,8.145
1957,8.299
1958,10.397
1959,8.947
1960,9.667
1961,8.757
1962,8.820
1963,10.366
1964,7.815
1965,7.314
1966,9.380
1967,8.712
1968,10.957
1969,10.703
1970,9.347
1971,8.471
1972,9.010
1973,8.478
1974,8.795
1975,9.199
1976,8.779
1977,8.966
1978,9.628
1979,8.936
1980,9.363
1981,9.528
1982,10.462
1983,9.574
1984,8.300
1985,9.123
1986,9.451
1987,9.923
1988,8.850
1989,9.568
1990,9.709
1991,9.418
1992,9.384
1993,8.059
1994,9.875
1995,9.586
1996,10.168
1997,9.790
1998,8.563
1999,9.283
2000,9.583
2001,8.624
2002,10.306
2003,9.891
2004,9.865
2005,9.054
2006,10.627
2007,9.764
2008,9.730
2009,9.130
2010,10.710
2011,9.253
2012,9.389
2013,11.427
