date,value
1787,24.275
1788,10.343
1789,23.520
1790,22.916
1791,23.130
1792,22.907
1793,22.737
1794,22.782
1795,23.074
1796,22.988
1797,22.795
1798,23.183
1799,23.231
1800,23.336
1801,23.319
1802,23.479
1803,23.720
1804,23.545
1805,23.044
1806,22.875
1807,22.825
1808,22.140
1809,21.743
1810,21.657
1811,21.882
1812,21.698
1813,22.236
1814,21.922
1815,22.126
1816,21.680
1817,22.324
1818,22.831
1819,22.247
1820,22.390
1821,22.677
1822,22.854
1823,22.462
1824,22.921
1825,22.810
1826,22.735
1827,22.893
1828,22.900
1829,22.680
1830,23.039
1831,22.678
1832,22.495
1833,22.597
1834,22.905
1835,22.085
1836,22.358
1837,22.245
1838,22.603
1839,22.437
1840,22.735
1841,22.589
1842,22.814
1843,22.841
1844,22.592
1845,22.501
1846,23.227
1847,22.680
1848,22.383
1849,22.704
1850,22.587
1851,22.733
1852,22.857
1853,22.771
1854,22.481
1855,22.660
1856,22.580
1857,22.373
1858,23.032
1859,22.664
1860,22.494
1861,22.560
1862,22.737
1863,22.441
1864,23.012
1865,22.849
1866,22.926
1867,23.350
1868,22.507
1869,22.775
1870,22.867
1871,22.748
1872,22.795
1873,22.794
1874,22.723
1875,22.555
1876,22.852
1877,22.962
1878,23.548
1879,22.688
1880,22.594
1881,23.462
1882,22.586
1883,22.471
1884,22.081
1885,22.206
1886,22.272
1887,22.630
1888,22.510
1889,22.349
1890,21.918
1891,22.246
1892,22.861
1893,23.088
1894,22.665
1895,23.514
1896,22.200
1897,23.207
1898,22.825
1899,23.379
1900,22.864
1901,22.726
1902,23.052
1903,22.556
1904,22.682
1905,22.560
1906,22.469
1907,22.172
1908,22.830
1909,22.570
1910,22.677
1911,22.575
1912,22.867
1913,23.079
1914,23.043
1915,22.821
1916,22.643
1917,22.461
1918,22.411
1919,22.773
1920,23.094
1921,22.724
1922,22.935
1923,22.436
1924,23.418
1925,22.727
1926,23.502
1927,23.335
1928,23.115
1929,22.672
1930,23.455
1931,23.866
1932,23.617
1933,23.168
1934,22.745
1935,22.920
1936,22.941
1937,23.728
1938,22.728
1939,22.841
1940,23.006
1941,23.443
1942,23.610
1943,23.033
1944,22.934
1945,23.366
1946,23.254
1947,23.690
1948,23.071
1949,23.188
1950,22.782
1951,23.322
1952,23.185
1953,22.869
1954,22.652
1955,24.005
1956,22.611
1957,22.620
1958,23.545
1959,23.334
1960,23.504
1961,23.390
1962,23.182
1963,23.318
1964,23.147
1965,22.974
1966,23.301
1967,22.862
1968,23.186
1969,23.458
1970,23.323
1971,22.672
1972,22.698
1973,22.886
1974,22.541
1975,22.716
1976,22.357
1977,23.546
1978,23.162
1979,23.397
1980,23.160
1981,23.579
1982,23.094
1983,23.683
1984,23.063
1985,23.526
1986,23.257
1987,24.248
1988,23.816
1989,23.724
1990,24.014
1991,23.011
1992,22.767
1993,23.451
1994,23.642
1995,23.723
1996,23.734
1997,23.955
1998,23.921
1999,24.299
2000,24.032
2001,24.724
2002,24.263
2003,24.394
2004,23.916
2005,24.223
2006,24.201
2007,24.065
2008,23.950
2009,24.154
2010,25.216
2011,24.144
2012,23.955
2013,25.122
