date,value
1866,21.228
1867,21.575
1868,21.420
1869,22.459
1881,21.554
1882,21.191
1883,20.941
1884,20.944
1886,21.197
1887,21.073
1888,20.973
1891,21.380
1892,21.114
1893,20.867
1894,21.222
1895,21.527
1896,21.640
1897,21.639
1898,21.234
1899,21.424
1900,21.907
1901,21.490
1902,21.578
1903,21.535
1904,21.198
1905,21.714
1906,21.636
1907,21.226
1908,21.164
1909,21.091
1910,20.931
1911,21.438
1912,21.710
1913,21.323
1914,21.855
1915,21.888
1916,21.269
1917,21.012
1918,21.350
1919,21.817
1920,21.706
1921,21.533
1922,21.709
1923,21.705
1924,21.538
1925,21.487
1926,22.052
1927,21.690
1928,21.821
1929,21.567
1930,21.838
1931,21.929
1932,21.734
1933,21.312
1934,21.571
1935,21.459
1936,21.773
1937,21.820
1938,21.546
1939,22.106
1940,22.260
1941,22.536
1942,21.986
1943,21.882
1944,21.944
1945,22.155
1946,21.971
1947,21.913
1948,21.996
1949,21.730
1950,21.334
1951,22.013
1952,21.895
1953,22.169
1954,21.520
1955,21.417
1956,21.442
1957,22.421
1958,22.294
1959,21.996
1960,21.824
1961,21.864
1962,21.889
1963,22.017
1964,21.886
1965,22.208
1966,22.166
1967,21.807
1968,21.894
1969,22.422
1970,21.961
1971,21.573
1972,22.486
1973,22.082
1974,21.696
1975,21.572
1976,21.980
1977,22.193
1978,22.087
1979,22.291
1980,22.336
1981,22.168
1982,22.477
1983,22.947
1984,21.886
1985,21.838
1986,22.072
1987,22.847
1988,22.131
1989,21.876
1990,22.435
1991,22.530
1992,22.612
1993,22.422
1994,22.217
1995,22.574
1996,22.033
1997,23.083
1998,23.121
1999,21.902
2000,22.026
2001,22.236
2002,22.764
2003,22.668
2004,22.648
2005,22.530
2006,22.603
2007,22.360
2008,22.224
2009,22.677
2010,22.640
2011,22.337
2012,22.446
2013,22.264
