date,value
1811,18.866
1819,21.632
1820,21.909
1821,22.051
1822,21.513
1823,19.817
1824,22.745
1825,22.390
1826,22.363
1827,22.976
1828,22.365
1829,22.293
1830,22.652
1831,21.866
1832,21.676
1833,22.216
1834,22.067
1835,21.519
1836,21.943
1837,21.646
1838,21.708
1839,20.304
1840,22.039
1841,22.181
1842,22.341
1843,22.272
1844,22.034
1845,22.217
1846,22.877
1847,22.449
1848,22.171
1849,22.244
1850,21.809
1851,22.359
1852,22.325
1853,22.763
1854,22.156
1855,22.474
1856,21.902
1857,21.696
1858,22.309
1859,22.333
1860,22.719
1861,21.739
1862,21.645
1863,22.117
1864,22.596
1865,22.791
1866,22.706
1867,22.772
1868,22.287
1869,22.721
1870,22.630
1871,22.214
1872,22.513
1873,22.677
1874,22.239
1875,21.522
1876,22.352
1877,22.692
1878,22.909
1879,22.664
1880,22.631
1881,22.930
1882,21.903
1883,22.088
1884,21.731
1885,22.259
1886,21.936
1887,22.457
1888,22.256
1889,22.479
1890,22.545
1891,22.537
1892,22.596
1893,22.047
1894,22.278
1895,22.328
1896,22.525
1897,22.240
1898,22.541
1899,22.480
1900,22.798
1901,23.182
1902,22.625
1903,22.053
1904,21.970
1905,22.391
1906,22.756
1907,21.937
1908,21.986
1909,22.912
1910,22.038
1911,22.184
1912,22.000
1913,21.787
1914,22.509
1915,23.145
1916,23.095
1917,22.391
1918,22.723
1919,22.831
1920,22.089
1921,22.351
1922,22.701
1923,22.670
1924,22.945
1925,22.810
1926,22.517
1927,22.973
1928,23.193
1929,22.553
1930,22.995
1931,23.036
1932,22.675
1933,22.705
1934,22.860
1935,22.827
1936,23.347
1937,23.139
1938,22.525
1939,23.254
1940,22.996
1941,23.228
1942,23.021
1943,22.613
1944,22.785
1945,22.263
1946,23.054
1947,23.319
1948,22.144
1949,21.893
1950,22.681
1951,23.071
1952,23.263
1953,22.674
1954,22.664
1955,23.402
1956,22.980
1957,23.038
1958,23.305
1959,22.285
1960,23.621
1961,22.234
1962,23.497
1963,23.652
1964,22.473
1965,22.763
1966,23.370
1967,22.281
1968,22.739
1969,23.404
1970,22.708
1971,22.680
1972,22.855
1973,22.741
1974,22.690
1975,22.578
1976,22.861
1977,22.668
1978,22.954
1979,23.560
1980,23.065
1981,22.852
1982,22.454
1983,22.094
1984,22.881
1985,23.210
1986,22.902
1987,22.849
1988,23.237
1989,22.790
1990,23.091
1991,23.089
1992,22.555
1993,23.392
1994,23.235
1995,23.169
1996,23.426
1997,22.940
1998,23.682
1999,23.779
2000,22.881
2001,23.616
2002,23.716
2003,23.496
2004,23.511
2005,23.520
2006,23.506
2007,23.584
2008,23.908
2009,23.735
2010,25.152
2011,23.331
2012,23.771
2013,24.505
