date,value
1864,26.349
1875,26.587
1876,26.117
1877,26.749
1878,26.956
1879,26.446
1880,26.551
1881,26.981
1882,26.406
1883,26.265
1884,26.078
1885,26.437
1886,26.366
1887,26.111
1888,25.987
1889,26.936
1890,26.997
1891,26.836
1892,26.350
1893,26.397
1894,26.042
1895,26.149
1896,26.257
1897,26.575
1898,27.164
1899,26.749
1900,26.431
1901,26.615
1902,26.378
1903,26.225
1904,26.680
1905,26.511
1906,26.360
1907,26.166
1908,26.264
1909,26.470
1910,26.423
1911,26.251
1912,25.977
1913,25.967
1914,26.829
1915,27.131
1916,25.920
1917,26.025
1918,26.271
1919,27.241
1920,26.501
1921,26.394
1922,26.405
1923,26.371
1924,26.777
1925,26.646
1926,26.853
1927,26.884
1928,27.197
1929,26.867
1930,26.623
1931,26.998
1932,26.636
1933,26.450
1934,26.656
1935,26.831
1936,26.740
1937,26.574
1938,26.580
1939,26.896
1940,26.984
1941,27.313
1942,27.202
1943,26.425
1944,27.018
1945,26.863
1946,26.763
1947,27.089
1948,26.723
1949,26.691
1950,26.666
1951,26.765
1952,27.101
1953,26.937
1954,26.892
1955,26.814
1956,26.496
1957,26.667
1958,27.297
1959,26.637
1960,27.011
1961,26.544
1962,26.839
1963,27.107
1964,26.313
1965,26.665
1966,27.047
1967,26.371
1968,26.460
1969,27.022
1970,26.865
1971,26.376
1972,26.974
1973,27.163
1974,26.671
1975,26.577
1976,26.801
1977,26.824
1978,26.882
1979,27.170
1980,27.340
1981,26.965
1982,26.635
1983,26.776
1984,27.091
1985,26.694
1986,26.702
1987,27.132
1988,27.238
1989,26.655
1990,27.448
1991,27.257
1992,26.429
1993,26.930
1994,26.891
1995,27.137
1996,27.184
1997,27.146
1998,27.578
1999,27.514
2000,27.517
2001,27.411
2002,27.639
2003,27.730
2004,27.578
2005,27.690
2006,27.492
2007,27.485
2008,27.594
2009,28.093
2010,28.054
2011,27.586
2012,27.880
2013,28.504
