date,value
1860,5.374
1861,5.823
1862,5.174
1863,5.373
1864,5.644
1865,5.999
1866,5.851
1867,6.014
1868,5.710
1869,5.857
1870,5.708
1871,5.559
1872,5.328
1873,5.953
1874,5.978
1875,5.765
1876,5.263
1877,5.694
1878,5.668
1879,5.651
1880,5.524
1881,5.634
1882,5.633
1883,5.722
1884,5.274
1885,5.119
1886,5.152
1887,4.980
1888,5.194
1889,5.377
1890,5.558
1891,5.492
1892,5.605
1893,5.922
1894,5.783
1895,5.878
1896,6.378
1897,5.890
1898,5.494
1899,5.579
1900,5.782
1901,6.292
1902,5.207
1903,5.690
1904,5.615
1905,5.435
1906,5.530
1907,5.539
1908,6.201
1909,6.149
1910,6.063
1911,5.993
1912,5.695
1913,5.877
1914,5.902
1915,5.775
1916,5.970
1917,6.793
1918,5.985
1919,5.977
1920,6.027
1921,5.726
1922,6.103
1923,5.382
1924,5.890
1925,5.708
1926,5.700
1927,5.828
1928,5.735
1929,5.888
1930,5.455
1931,5.877
1932,6.033
1933,6.135
1934,6.103
1935,5.501
1936,6.125
1937,5.847
1938,5.807
1939,5.465
1940,6.609
1941,6.479
1942,6.186
1943,6.949
1944,6.414
1945,6.461
1946,6.220
1947,6.174
1948,5.719
1949,5.974
1950,5.700
1951,6.101
1952,6.404
1953,6.411
1954,5.983
1955,6.257
1956,6.693
1957,6.349
1958,6.042
1959,5.505
1960,6.599
1961,5.926
1962,6.740
1963,6.012
1964,5.980
1965,6.387
1966,5.866
1967,6.388
1968,6.688
1969,6.135
1970,6.444
1971,6.001
1972,5.953
1973,6.264
1974,6.361
1975,6.269
1976,5.922
1977,6.443
1978,6.594
1979,6.854
1980,6.260
1981,6.470
1982,6.773
1983,6.921
1984,6.042
1985,6.955
1986,6.246
1987,6.633
1988,6.430
1989,7.331
1990,6.802
1991,6.103
1992,6.360
1993,7.104
1994,6.386
1995,6.099
1996,6.845
1997,6.305
1998,7.652
1999,6.990
2000,6.401
2001,6.648
2002,6.044
2003,6.534
2004,7.391
2005,6.602
2006,7.062
2007,6.338
2008,6.919
2009,6.560
2010,6.868
2011,7.131
2012,6.707
2013,7.346
