date,value
1743,7.397
1744,11.496
1745,4.692
1750,11.086
1751,11.231
1752,6.854
1753,11.392
1754,10.236
1755,10.972
1756,10.227
1757,10.954
1758,10.424
1759,10.601
1760,10.471
1761,10.540
1762,11.136
1763,10.913
1764,10.382
1765,10.267
1766,11.177
1767,11.175
1768,10.006
1769,10.165
1770,10.004
1771,10.240
1772,11.232
1773,10.229
1774,10.399
1775,10.835
1776,11.292
1777,10.169
1778,10.771
1779,12.189
1780,10.770
1781,11.282
1782,9.624
1783,10.880
1784,9.701
1785,9.692
1786,9.927
1787,10.559
1788,10.678
1789,9.828
1790,10.682
1791,10.741
1792,10.589
1793,10.646
1794,10.966
1795,11.512
1796,10.311
1797,10.514
1798,10.514
1799,10.168
1800,10.662
1801,10.737
1802,11.752
1803,10.182
1804,10.708
1805,9.301
1806,10.994
1807,10.260
1808,9.338
1809,9.814
1810,10.789
1811,11.900
1812,10.154
1813,9.729
1814,10.039
1815,10.954
1816,8.935
1817,10.129
1818,10.664
1819,10.538
1820,9.808
1821,10.597
1822,11.393
1823,9.986
1824,10.475
1825,10.823
1826,11.569
1827,10.177
1828,11.021
1829,10.980
1830,10.933
1831,10.647
1832,10.160
1833,10.294
1834,11.402
1835,10.034
1836,10.132
1837,9.762
1838,10.586
1839,10.260
1840,9.755
1841,10.229
1842,10.975
1843,10.302
1844,9.930
1845,10.552
1846,12.187
1847,9.996
1848,11.205
1849,10.315
1850,10.739
1851,9.616
1852,10.816
1853,10.194
1854,10.084
1855,10.105
1856,10.342
1857,10.621
1858,10.964
1859,10.880
1860,9.255
1861,11.336
1862,10.762
1863,10.684
1864,9.660
1865,10.690
1866,10.773
1867,10.275
1868,11.078
1869,10.330
1870,10.877
1871,11.621
1872,10.799
1873,10.362
1874,10.232
1875,10.209
1876,10.515
1877,10.502
1878,10.114
1879,9.977
1880,11.473
1881,11.097
1882,10.259
1883,9.853
1884,10.444
1885,9.903
1886,10.105
1887,9.139
1888,9.257
1889,9.428
1890,10.369
1891,10.511
1892,10.015
1893,11.767
1894,10.211
1895,12.217
1896,9.687
1897,10.606
1898,10.710
1899,10.914
1900,10.673
1901,10.732
1902,9.987
1903,10.200
1904,10.588
1905,10.014
1906,10.386
1907,10.152
1908,10.056
1909,9.625
1910,10.137
1911,10.942
1912,10.139
1913,10.628
1914,11.238
1915,10.140
1916,10.310
1917,9.468
1918,10.347
1919,9.769
1920,10.748
1921,11.210
1922,9.969
1923,10.516
1924,10.231
1925,10.052
1926,10.861
1927,10.463
1928,11.004
1929,12.413
1930,10.876
1931,10.020
1932,10.240
1933,11.290
1934,10.887
1935,10.419
1936,10.522
1937,10.978
1938,10.576
1939,10.352
1940,10.873
1941,9.758
1942,12.401
1943,11.314
1944,10.413
1945,12.319
1946,10.432
1947,11.390
1948,11.058
1949,11.526
1950,10.922
1951,10.534
1952,10.687
1953,10.768
1954,10.176
1955,10.673
1956,10.674
1957,10.734
1958,10.628
1959,11.436
1960,10.658
1961,11.469
1962,9.887
1963,11.624
1964,10.605
1965,10.044
1966,10.868
1967,10.756
1968,10.409
1969,10.340
1970,10.465
1971,10.516
1972,10.147
1973,10.439
1974,10.720
1975,10.607
1976,10.976
1977,10.631
1978,10.175
1979,10.361
1980,10.011
1981,10.669
1982,11.421
1983,11.131
1984,10.486
1985,11.241
1986,11.450
1987,11.512
1988,11.244
1989,11.732
1990,11.806
1991,10.730
1992,11.112
1993,10.753
1994,11.990
1995,11.578
1996,10.526
1997,11.817
1998,11.262
1999,11.619
2000,11.738
2001,11.362
2002,11.768
2003,12.077
2004,11.266
2005,11.229
2006,11.871
2007,11.572
2008,11.201
2009,11.608
2010,10.532
2011,12.273
2012,11.332
2013,11.196
