date,value
1849,26.125
1850,26.049
1851,26.232
1856,26.929
1857,25.672
1858,26.024
1859,26.464
1860,26.006
1861,26.217
1862,26.973
1873,26.229
1874,26.228
1875,25.830
1876,25.771
1877,26.415
1878,26.460
1879,25.940
1880,26.400
1881,26.643
1882,26.237
1883,26.677
1884,26.897
1885,26.167
1886,25.984
1887,25.437
1888,25.499
1889,25.680
1890,25.266
1891,25.588
1892,25.685
1893,25.898
1894,25.589
1895,26.033
1896,25.905
1897,26.319
1898,25.961
1899,26.762
1900,26.633
1901,26.433
1902,26.215
1903,25.867
1904,25.726
1905,26.243
1906,26.527
1907,26.110
1908,26.366
1909,26.077
1910,26.199
1911,25.862
1912,26.740
1913,26.927
1914,26.967
1915,26.903
1916,26.597
1917,27.040
1918,26.598
1919,26.797
1920,26.836
1921,26.941
1922,26.851
1923,26.690
1924,26.819
1925,26.716
1926,27.175
1927,26.666
1928,26.719
1929,26.863
1930,27.060
1931,27.076
1932,26.560
1933,26.943
1934,26.901
1935,26.790
1936,26.607
1937,27.125
1938,27.089
1939,26.516
1940,27.149
1941,27.390
1942,27.011
1943,26.710
1944,27.167
1945,27.062
1946,26.866
1947,27.124
1948,26.744
1949,27.092
1950,26.692
1951,26.930
1952,26.784
1953,26.755
1954,26.502
1955,26.452
1956,26.433
1957,26.722
1958,26.846
1959,26.885
1960,26.825
1961,26.683
1962,26.664
1963,26.915
1964,26.534
1965,26.607
1966,26.910
1967,26.583
1968,26.732
1969,27.125
1970,27.143
1971,26.610
1972,26.857
1973,27.372
1974,26.699
1975,26.570
1976,26.380
1977,27.020
1978,26.814
1979,27.145
1980,27.079
1981,27.018
1982,26.801
1983,27.318
1984,27.177
1985,26.939
1986,26.892
1987,27.783
1988,27.244
1989,27.001
1990,27.245
1991,26.969
1992,26.833
1993,27.089
1994,26.966
1995,27.212
1996,27.131
1997,27.073
1998,27.664
1999,27.120
2000,27.246
2001,27.279
2002,27.401
2003,27.534
2004,27.416
2005,27.601
2006,27.582
2007,27.628
2008,27.368
2009,27.558
2010,27.935
2011,27.600
2012,27.280
2013,27.718
