date,value
1743,10.806
1744,16.202
1745,7.716
1750,15.188
1751,15.686
1752,10.415
1753,14.713
1754,14.795
1755,14.555
1756,15.257
1757,14.999
1758,13.491
1759,14.535
1760,14.086
1761,15.025
1762,14.899
1763,14.108
1764,15.021
1765,14.923
1766,14.833
1767,14.463
1768,13.443
1769,14.564
1770,14.528
1771,14.594
1772,15.726
1773,14.865
1774,15.190
1775,15.448
1776,14.415
1777,14.408
1778,15.225
1779,15.249
1780,15.220
1781,15.028
1782,14.374
1783,14.650
1784,14.584
1785,13.975
1786,14.413
1787,14.876
1788,14.990
1789,14.789
1790,14.888
1791,15.274
1792,14.692
1793,14.396
1794,15.001
1795,14.826
1796,14.897
1797,15.364
1798,15.108
1799,14.668
1800,15.114
1801,15.566
1802,15.662
1803,14.703
1804,15.016
1805,14.227
1806,15.051
1807,15.216
1808,13.895
1809,13.932
1810,14.258
1811,14.555
1812,13.677
1813,13.933
1814,13.843
1815,13.940
1816,13.541
1817,14.044
1818,14.525
1819,14.395
1820,14.492
1821,14.283
1822,14.815
1823,14.504
1824,15.159
1825,14.446
1826,14.311
1827,15.025
1828,14.604
1829,13.971
1830,14.573
1831,14.330
1832,13.586
1833,14.386
1834,14.645
1835,13.809
1836,14.386
1837,13.599
1838,13.779
1839,14.237
1840,13.937
1841,15.079
1842,14.215
1843,14.593
1844,14.232
1845,14.629
1846,15.450
1847,14.371
1848,14.807
1849,14.380
1850,13.875
1851,14.571
1852,14.824
1853,15.174
1854,14.115
1855,14.541
1856,14.161
1857,13.986
1858,13.810
1859,14.736
1860,15.208
1861,14.646
1862,15.043
1863,15.173
1864,14.136
1865,14.610
1866,14.994
1867,14.794
1868,14.808
1869,14.832
1870,14.482
1871,14.345
1872,15.444
1873,15.031
1874,14.224
1875,13.660
1876,14.873
1877,14.604
1878,14.911
1879,14.763
1880,14.366
1881,14.297
1882,14.253
1883,14.196
1884,14.043
1885,14.781
1886,14.800
1887,14.873
1888,14.165
1889,14.471
1890,14.495
1891,14.278
1892,15.042
1893,13.914
1894,14.416
1895,14.715
1896,14.431
1897,14.377
1898,14.973
1899,14.839
1900,15.108
1901,14.829
1902,14.699
1903,14.599
1904,14.572
1905,14.397
1906,14.426
1907,14.143
1908,14.342
1909,14.890
1910,14.731
1911,14.434
1912,14.423
1913,14.402
1914,14.283
1915,15.024
1916,15.760
1917,15.011
1918,15.012
1919,14.681
1920,14.448
1921,14.479
1922,15.109
1923,15.406
1924,14.923
1925,15.011
1926,15.433
1927,15.771
1928,15.003
1929,14.348
1930,15.249
1931,14.903
1932,14.938
1933,14.145
1934,15.553
1935,15.306
1936,15.267
1937,15.583
1938,14.887
1939,15.305
1940,14.143
1941,14.608
1942,14.549
1943,15.076
1944,14.735
1945,15.066
1946,15.616
1947,15.637
1948,14.638
1949,14.382
1950,15.639
1951,15.572
1952,15.864
1953,14.531
1954,14.775
1955,15.443
1956,14.422
1957,15.043
1958,15.370
1959,14.407
1960,15.506
1961,15.348
1962,15.454
1963,15.323
1964,14.645
1965,14.616
1966,15.658
1967,14.859
1968,15.115
1969,15.039
1970,15.165
1971,14.664
1972,14.704
1973,14.696
1974,14.686
1975,14.729
1976,14.209
1977,15.298
1978,14.620
1979,15.157
1980,14.557
1981,14.947
1982,14.762
1983,14.610
1984,14.879
1985,15.218
1986,15.137
1987,14.907
1988,15.092
1989,14.879
1990,15.499
1991,14.413
1992,14.785
1993,15.041
1994,16.045
1995,15.102
1996,14.847
1997,14.763
1998,15.506
1999,15.992
2000,15.673
2001,15.932
2002,15.622
2003,15.473
2004,15.456
2005,15.175
2006,15.213
2007,16.083
2008,16.055
2009,15.956
2010,16.371
2011,15.261
2012,16.040
2013,17.154
