date,value
1825,23.041
1826,23.149
1827,23.646
1828,22.947
1829,22.595
1830,23.129
1831,22.357
1832,22.889
1835,21.742
1836,21.621
1837,22.304
1838,21.982
1839,22.382
1840,22.504
1841,22.421
1842,22.701
1843,22.814
1844,22.221
1845,22.139
1846,23.031
1847,22.680
1848,22.686
1849,23.230
1850,23.011
1851,22.743
1852,22.754
1853,22.318
1854,22.263
1855,22.351
1856,22.481
1857,22.530
1858,22.887
1859,22.689
1860,22.353
1861,22.769
1862,22.657
1863,22.732
1864,22.450
1865,22.855
1866,22.606
1867,23.080
1868,22.497
1869,23.591
1870,22.917
1871,22.687
1872,22.960
1873,22.653
1874,22.924
1875,22.712
1876,22.726
1877,23.048
1878,23.596
1879,22.693
1880,23.017
1881,23.051
1882,22.943
1883,22.705
1884,22.476
1885,22.450
1886,22.649
1887,22.378
1888,22.397
1889,22.787
1890,22.353
1891,22.955
1892,22.511
1893,22.678
1894,22.885
1895,22.945
1896,23.248
1897,23.613
1898,22.998
1899,22.691
1900,22.861
1901,22.327
1902,22.867
1903,22.640
1904,22.309
1905,22.633
1906,22.770
1907,22.798
1908,22.746
1909,23.123
1910,22.233
1911,23.101
1912,23.127
1913,22.700
1914,22.887
1915,23.289
1916,22.780
1917,22.603
1918,23.072
1919,23.260
1920,23.008
1921,23.183
1922,23.292
1923,23.196
1924,23.241
1925,23.040
1926,23.282
1927,23.134
1928,23.112
1929,23.304
1930,23.488
1931,23.200
1932,23.332
1933,23.418
1934,23.401
1935,23.175
1936,23.389
1937,23.257
1938,22.889
1939,23.021
1940,23.074
1941,23.505
1942,23.405
1943,23.050
1944,23.235
1945,23.463
1946,23.768
1947,23.806
1948,23.598
1949,23.374
1950,22.902
1951,23.493
1952,23.527
1953,23.835
1954,23.078
1955,23.189
1956,23.008
1957,23.461
1958,23.683
1959,23.473
1960,23.356
1961,23.440
1962,23.142
1963,23.211
1964,23.450
1965,23.385
1966,23.150
1967,23.150
1968,23.018
1969,23.737
1970,23.306
1971,23.323
1972,23.722
1973,23.636
1974,23.115
1975,23.419
1976,22.983
1977,23.510
1978,23.508
1979,23.565
1980,23.679
1981,23.376
1982,23.777
1983,23.889
1984,23.290
1985,23.323
1986,23.397
1987,23.681
1988,23.647
1989,23.310
1990,23.600
1991,23.878
1992,23.791
1993,23.776
1994,24.022
1995,23.961
1996,23.450
1997,24.077
1998,24.307
1999,23.418
2000,23.429
2001,23.584
2002,23.834
2003,23.994
2004,23.798
2005,23.948
2006,23.808
2007,23.819
2008,23.482
2009,23.940
2010,23.688
2011,23.821
2012,23.848
2013,24.291
