date,value
1825,24.625
1826,24.735
1827,25.237
1828,24.563
1829,24.186
1830,24.726
1831,23.951
1832,24.744
1835,23.438
1836,23.054
1837,23.664
1838,23.623
1839,24.010
1840,24.094
1841,23.960
1842,24.252
1843,24.335
1844,23.720
1845,23.703
1846,24.611
1847,24.275
1848,24.278
1849,24.809
1850,24.557
1851,24.320
1852,24.273
1853,23.984
1854,23.923
1855,24.065
1856,24.295
1857,24.042
1858,24.326
1859,24.174
1860,23.964
1861,24.339
1862,24.204
1863,24.308
1864,24.038
1865,24.412
1866,24.080
1867,24.538
1868,24.154
1869,25.252
1870,24.491
1871,24.191
1872,24.543
1873,24.143
1874,24.446
1875,24.281
1876,24.367
1877,24.693
1878,25.275
1879,24.329
1880,24.564
1881,24.575
1882,24.488
1883,24.360
1884,24.073
1885,24.008
1886,24.203
1887,23.972
1888,23.963
1889,24.430
1890,23.952
1891,24.642
1892,24.038
1893,24.248
1894,24.366
1895,24.494
1896,24.782
1897,25.178
1898,24.591
1899,24.321
1900,24.384
1901,23.806
1902,24.434
1903,24.364
1904,23.984
1905,24.204
1906,24.366
1907,24.401
1908,24.312
1909,24.536
1910,23.775
1911,24.725
1912,24.771
1913,24.311
1914,24.563
1915,24.937
1916,24.372
1917,24.072
1918,24.548
1919,24.843
1920,24.617
1921,24.786
1922,24.827
1923,24.739
1924,24.822
1925,24.688
1926,24.943
1927,24.727
1928,24.684
1929,24.680
1930,25.034
1931,24.929
1932,24.916
1933,24.932
1934,24.975
1935,24.683
1936,24.790
1937,24.736
1938,24.397
1939,24.700
1940,24.718
1941,25.252
1942,24.903
1943,24.782
1944,24.712
1945,24.747
1946,25.274
1947,25.463
1948,25.146
1949,24.673
1950,24.371
1951,24.980
1952,24.935
1953,25.276
1954,24.795
1955,24.859
1956,24.512
1957,25.057
1958,25.376
1959,25.142
1960,24.902
1961,24.972
1962,24.708
1963,24.795
1964,24.983
1965,25.041
1966,24.790
1967,24.763
1968,24.586
1969,25.187
1970,24.788
1971,24.752
1972,25.199
1973,25.112
1974,24.646
1975,24.871
1976,24.674
1977,25.195
1978,25.127
1979,25.185
1980,25.169
1981,24.896
1982,25.177
1983,25.625
1984,24.882
1985,25.022
1986,24.950
1987,25.314
1988,25.271
1989,24.916
1990,25.210
1991,25.338
1992,25.462
1993,25.292
1994,25.676
1995,25.832
1996,25.179
1997,25.840
1998,26.099
1999,25.219
2000,25.154
2001,25.155
2002,25.433
2003,25.549
2004,25.464
2005,25.626
2006,25.590
2007,25.383
2008,25.108
2009,25.519
2010,25.246
2011,25.474
2012,25.261
2013,25.732
