date,value
1824,26.273
1825,26.338
1826,26.262
1827,26.733
1828,26.623
1829,25.916
1830,26.595
1831,25.615
1832,25.365
1834,22.953
1835,25.472
1836,24.236
1837,26.574
1838,25.549
1839,25.767
1840,25.771
1841,25.475
1842,25.879
1843,25.751
1844,25.289
1845,25.381
1846,26.163
1847,25.886
1848,25.824
1849,26.140
1850,26.062
1851,26.005
1852,25.626
1853,25.970
1854,25.923
1855,26.145
1856,26.551
1857,25.432
1858,25.466
1859,25.663
1860,25.683
1861,25.989
1862,25.929
1863,25.998
1864,25.718
1865,26.069
1866,25.612
1867,25.911
1868,26.141
1869,26.477
1870,25.917
1871,26.023
1872,26.151
1873,25.722
1874,25.886
1875,26.002
1876,26.187
1877,26.495
1878,26.815
1879,26.159
1880,26.002
1881,25.783
1882,25.667
1883,26.006
1884,25.637
1885,25.999
1886,25.665
1887,25.592
1888,25.955
1889,26.098
1890,25.789
1891,26.008
1892,25.746
1893,25.642
1894,25.684
1895,25.968
1896,26.180
1897,26.479
1898,26.119
1899,26.174
1900,26.521
1901,26.187
1902,26.066
1903,26.253
1904,25.829
1905,26.281
1906,26.050
1907,26.020
1908,26.102
1909,25.845
1910,25.659
1911,26.083
1912,26.276
1913,25.818
1914,26.227
1915,26.468
1916,25.772
1917,25.529
1918,25.791
1919,26.355
1920,26.283
1921,26.013
1922,25.988
1923,26.158
1924,26.423
1925,26.175
1926,26.653
1927,26.369
1928,26.385
1929,26.244
1930,26.384
1931,26.457
1932,26.367
1933,26.239
1934,26.104
1935,26.077
1936,26.492
1937,26.496
1938,26.262
1939,26.285
1940,26.716
1941,26.874
1942,26.730
1943,26.343
1944,26.284
1945,26.152
1946,26.352
1947,26.654
1948,26.859
1949,26.342
1950,25.961
1951,26.196
1952,26.540
1953,26.721
1954,26.381
1955,26.010
1956,26.169
1957,26.564
1958,26.685
1959,26.841
1960,26.782
1961,26.530
1962,26.471
1963,26.514
1964,26.549
1965,26.335
1966,26.513
1967,26.568
1968,26.533
1969,26.792
1970,26.448
1971,26.214
1972,26.443
1973,26.581
1974,26.198
1975,26.405
1976,26.322
1977,26.759
1978,26.707
1979,26.527
1980,27.031
1981,26.756
1982,26.763
1983,27.052
1984,26.512
1985,26.519
1986,26.663
1987,26.952
1988,26.885
1989,26.657
1990,26.943
1991,26.854
1992,26.672
1993,26.620
1994,27.105
1995,27.104
1996,26.656
1997,27.546
1998,27.395
1999,26.850
2000,26.599
2001,27.014
2002,27.250
2003,27.334
2004,27.178
2005,27.181
2006,27.222
2007,27.288
2008,26.927
2009,27.145
2010,27.002
2011,26.944
2012,27.045
2013,27.032
