date,value
1796,23.675
1797,24.840
1798,23.273
1799,23.949
1800,23.912
1801,23.175
1802,24.384
1803,24.146
1804,24.492
1805,24.026
1806,23.926
1807,23.500
1813,23.271
1814,22.657
1815,22.808
1816,22.424
1817,22.596
1818,22.953
1819,22.654
1820,22.841
1821,23.528
1822,23.597
1823,23.471
1824,24.050
1825,23.796
1826,23.859
1827,23.956
1828,23.624
1829,23.444
1830,23.672
1831,23.242
1832,23.459
1833,23.548
1834,23.530
1835,22.658
1836,23.259
1837,23.183
1838,23.193
1839,23.245
1840,23.445
1841,23.261
1842,23.414
1843,23.312
1844,23.094
1845,23.343
1846,23.803
1847,23.318
1848,23.228
1849,23.224
1850,23.505
1851,23.485
1852,23.378
1853,23.665
1854,23.759
1855,23.759
1856,23.292
1857,22.965
1858,23.600
1859,23.671
1860,23.397
1861,23.299
1862,18.660
1865,23.790
1866,23.823
1867,23.898
1868,23.684
1869,23.733
1870,23.535
1871,23.615
1872,23.627
1873,23.702
1874,23.643
1875,23.756
1876,23.726
1877,23.883
1878,24.131
1879,23.601
1880,23.861
1881,23.678
1882,23.589
1883,23.341
1884,23.241
1885,23.390
1886,23.645
1887,23.422
1888,23.703
1889,23.988
1890,23.698
1891,23.648
1892,23.990
1893,22.890
1894,23.692
1895,23.800
1896,24.404
1897,24.220
1898,24.064
1899,24.172
1900,24.368
1901,24.084
1902,24.319
1903,23.767
1904,23.759
1905,23.515
1906,23.888
1907,23.677
1908,23.742
1909,23.661
1910,23.544
1911,23.869
1912,24.007
1913,23.701
1914,23.826
1915,24.290
1916,23.826
1917,23.081
1918,23.772
1919,23.825
1920,23.955
1921,24.249
1922,23.904
1923,23.909
1924,24.046
1925,23.663
1926,23.847
1927,23.774
1928,24.139
1929,23.971
1930,23.837
1931,24.249
1932,24.079
1933,23.560
1934,23.767
1935,23.762
1936,23.835
1937,23.708
1938,23.892
1939,23.993
1940,23.902
1941,24.674
1942,24.211
1943,23.905
1944,23.848
1945,23.672
1946,24.134
1947,24.280
1948,24.190
1949,24.047
1950,23.659
1951,24.221
1952,24.366
1953,24.562
1954,24.167
1955,23.952
1956,23.900
1957,24.026
1958,24.676
1959,24.267
1960,24.287
1961,23.815
1962,23.885
1963,24.096
1964,24.071
1965,24.091
1966,24.439
1967,23.992
1968,23.865
1969,24.501
1970,24.074
1971,23.634
1972,24.272
1973,24.387
1974,24.176
1975,23.862
1976,24.200
1977,24.289
1978,24.007
1979,24.554
1980,24.593
1981,24.228
1982,24.218
1983,23.938
1984,24.185
1985,24.486
1986,24.295
1987,24.789
1988,24.728
1989,24.162
1990,24.178
1991,24.312
1992,24.223
1993,24.409
1994,24.296
1995,24.430
1996,24.437
1997,24.047
1998,24.755
1999,24.660
2000,24.498
2001,24.582
2002,24.913
2003,24.650
2004,24.635
2005,24.495
2006,24.732
2007,24.650
2008,24.406
2009,25.147
2010,25.051
2011,24.416
2012,24.641
2013,25.413
