date,value
1743,7.730
1744,9.962
1745,5.276
1750,9.989
1751,9.798
1752,7.204
1753,9.369
1754,9.356
1755,9.050
1756,9.501
1757,9.463
1758,8.507
1759,9.498
1760,8.829
1761,9.658
1762,9.093
1763,8.665
1764,9.032
1765,8.878
1766,9.016
1767,9.170
1768,8.941
1769,9.069
1770,8.835
1771,8.953
1772,9.038
1773,8.995
1774,9.075
1775,9.820
1776,9.072
1777,9.237
1778,9.615
1779,10.405
1780,9.835
1781,10.184
1782,8.235
1783,9.337
1784,8.496
1785,8.853
1786,8.712
1787,9.556
1788,9.619
1789,9.419
1790,9.684
1791,9.561
1792,9.553
1793,9.502
1794,9.835
1795,9.229
1796,9.403
1797,9.329
1798,9.830
1799,8.418
1800,9.270
1801,9.616
1802,9.430
1803,9.269
1804,9.606
1805,9.316
1806,9.501
1807,8.730
1808,8.885
1809,8.717
1810,8.575
1811,9.241
1812,8.449
1813,9.024
1814,8.214
1815,8.780
1816,7.906
1817,8.701
1818,9.587
1819,9.054
1820,8.829
1821,9.674
1822,9.785
1823,8.716
1824,9.453
1825,9.796
1826,9.883
1827,9.496
1828,10.104
1829,8.572
1830,9.023
1831,9.710
1832,9.221
1833,9.203
1834,10.087
1835,9.329
1836,8.694
1837,8.951
1838,8.333
1839,8.762
1840,8.834
1841,8.884
1842,9.433
1843,9.282
1844,9.093
1845,8.766
1846,10.139
1847,9.460
1848,9.138
1849,9.281
1850,9.362
1851,9.399
1852,9.819
1853,8.797
1854,9.553
1855,8.428
1856,9.234
1857,10.029
1858,9.382
1859,9.483
1860,8.349
1861,9.451
1862,9.044
1863,9.608
1864,9.142
1865,9.783
1866,9.284
1867,9.194
1868,9.997
1869,9.643
1870,9.259
1871,9.496
1872,9.476
1873,9.139
1874,9.485
1875,9.547
1876,9.484
1877,9.269
1878,9.485
1879,8.044
1880,9.309
1881,8.694
1882,9.318
1883,8.928
1884,9.495
1885,8.649
1886,8.739
1887,8.907
1888,8.716
1889,9.260
1890,9.257
1891,8.865
1892,8.405
1893,9.918
1894,9.281
1895,8.709
1896,9.481
1897,9.535
1898,10.027
1899,9.878
1900,9.327
1901,9.119
1902,9.110
1903,9.150
1904,9.148
1905,9.324
1906,9.303
1907,8.976
1908,9.627
1909,8.929
1910,9.213
1911,9.721
1912,9.273
1913,9.548
1914,9.722
1915,9.048
1916,9.380
1917,8.760
1918,9.574
1919,8.807
1920,9.631
1921,10.517
1922,9.050
1923,9.250
1924,9.422
1925,9.185
1926,9.828
1927,9.415
1928,9.619
1929,9.475
1930,9.319
1931,9.536
1932,9.757
1933,10.042
1934,10.001
1935,9.670
1936,9.648
1937,9.539
1938,10.012
1939,9.875
1940,9.681
1941,9.314
1942,9.483
1943,10.057
1944,9.798
1945,10.444
1946,9.598
1947,9.503
1948,10.074
1949,10.577
1950,9.462
1951,9.230
1952,9.377
1953,10.020
1954,9.438
1955,9.630
1956,9.405
1957,10.062
1958,9.700
1959,10.413
1960,9.673
1961,9.811
1962,9.064
1963,8.788
1964,9.751
1965,9.069
1966,9.631
1967,9.491
1968,9.589
1969,9.333
1970,9.604
1971,10.087
1972,9.240
1973,9.817
1974,9.479
1975,10.064
1976,9.862
1977,9.612
1978,9.649
1979,8.893
1980,9.545
1981,9.591
1982,9.847
1983,10.080
1984,9.785
1985,9.111
1986,8.733
1987,9.439
1988,9.865
1989,10.296
1990,10.313
1991,9.825
1992,9.789
1993,9.642
1994,9.885
1995,10.519
1996,9.591
1997,10.684
1998,10.460
1999,10.458
2000,10.131
2001,10.023
2002,10.421
2003,10.522
2004,10.439
2005,10.576
2006,10.654
2007,10.843
2008,10.159
2009,10.157
2010,9.258
2011,10.345
2012,10.036
2013,9.975
