date,value
1837,17.730
1838,16.490
1839,16.712
1840,16.810
1841,16.672
1842,17.286
1843,17.238
1844,16.830
1845,16.912
1846,17.554
1847,17.154
1848,16.862
1849,17.170
1850,16.778
1851,17.467
1852,17.241
1853,17.264
1854,16.982
1855,17.457
1856,16.975
1857,16.595
1858,17.301
1859,17.461
1860,17.261
1861,16.547
1862,16.312
1863,16.814
1864,16.953
1865,17.251
1866,16.976
1867,17.372
1868,17.331
1869,17.547
1870,17.459
1871,17.248
1872,17.515
1873,17.667
1874,17.394
1875,17.452
1876,17.323
1877,17.663
1878,17.694
1879,17.666
1880,17.037
1881,17.763
1882,16.971
1883,17.475
1884,17.081
1885,17.002
1886,16.974
1887,17.253
1888,17.812
1889,17.490
1890,17.295
1891,17.180
1892,17.628
1893,17.365
1894,17.016
1895,17.249
1896,17.151
1897,17.182
1898,16.832
1899,17.887
1900,17.122
1901,17.894
1902,17.993
1903,16.859
1904,17.290
1905,17.090
1906,17.226
1907,16.837
1908,17.364
1909,17.760
1910,17.008
1911,16.204
1912,17.540
1913,17.333
1914,17.750
1915,18.186
1916,16.990
1917,17.692
1918,16.994
1919,17.735
1920,16.475
1921,17.261
1922,17.993
1923,17.156
1924,17.703
1925,17.615
1926,17.597
1927,17.584
1928,17.189
1929,17.179
1930,17.182
1931,17.136
1932,17.074
1933,17.221
1934,16.913
1935,17.592
1936,17.518
1937,17.501
1938,17.712
1939,17.648
1940,18.206
1941,18.412
1942,18.026
1943,17.262
1944,17.964
1945,17.292
1946,17.605
1947,18.312
1948,17.553
1949,16.776
1950,16.909
1951,17.576
1952,17.552
1953,17.730
1954,17.666
1955,18.224
1956,17.568
1957,16.864
1958,18.205
1959,17.493
1960,17.894
1961,17.739
1962,17.798
1963,18.259
1964,18.445
1965,17.753
1966,18.403
1967,17.280
1968,17.548
1969,17.523
1970,18.452
1971,17.901
1972,16.424
1973,17.787
1974,16.989
1975,17.442
1976,17.353
1977,18.283
1978,18.151
1979,18.209
1980,18.329
1981,18.418
1982,17.327
1983,17.960
1984,17.628
1985,18.111
1986,17.701
1987,18.396
1988,18.512
1989,17.993
1990,18.426
1991,18.029
1992,16.950
1993,17.741
1994,18.386
1995,18.408
1996,18.206
1997,18.303
1998,19.170
1999,19.158
2000,18.892
2001,19.474
2002,19.142
2003,18.915
2004,19.150
2005,18.807
2006,19.212
2007,18.740
2008,18.905
2009,19.110
2010,20.090
2011,18.915
2012,18.960
2013,20.541
