date,value
1819,19.326
1820,20.803
1821,21.982
1822,20.048
1823,18.143
1824,22.129
1825,21.513
1826,21.427
1827,22.297
1828,21.388
1829,21.436
1830,21.758
1831,20.935
1832,20.448
1833,21.293
1834,21.112
1835,20.686
1836,21.116
1837,20.926
1838,20.651
1839,20.875
1840,20.935
1841,21.076
1842,21.494
1843,21.354
1844,21.096
1845,21.221
1846,21.848
1847,21.501
1848,21.307
1849,21.516
1850,20.919
1851,21.892
1852,21.512
1853,21.867
1854,21.121
1855,21.677
1856,21.123
1857,20.706
1858,21.567
1859,21.636
1860,21.791
1861,20.521
1862,20.398
1863,20.818
1864,21.450
1865,21.775
1866,21.436
1867,21.588
1868,21.530
1869,21.888
1870,21.739
1871,21.355
1872,21.841
1873,22.074
1874,21.520
1875,21.102
1876,21.752
1877,22.193
1878,22.100
1879,22.245
1880,20.921
1881,21.837
1882,21.090
1883,21.793
1884,21.211
1885,21.557
1886,21.266
1887,21.638
1888,22.029
1889,22.021
1890,21.400
1891,21.724
1892,21.953
1893,21.525
1894,20.875
1895,21.251
1896,20.977
1897,21.082
1898,21.116
1899,21.850
1900,21.705
1901,22.740
1902,22.211
1903,21.283
1904,21.414
1905,21.248
1906,21.357
1907,20.749
1908,21.369
1909,22.221
1910,21.351
1911,20.296
1912,21.829
1913,21.152
1914,21.330
1915,22.056
1916,21.862
1917,22.044
1918,21.406
1919,22.015
1920,20.770
1921,21.276
1922,22.101
1923,21.812
1924,22.052
1925,21.576
1926,21.724
1927,21.887
1928,21.792
1929,21.951
1930,22.258
1931,21.815
1932,21.552
1933,21.076
1934,21.498
1935,22.459
1936,21.907
1937,22.282
1938,21.715
1939,21.780
1940,22.332
1941,22.098
1942,22.117
1943,21.594
1944,22.063
1945,21.325
1946,21.725
1947,22.807
1948,21.326
1949,21.055
1950,21.312
1951,22.278
1952,22.301
1953,21.429
1954,22.283
1955,22.501
1956,21.480
1957,21.555
1958,22.276
1959,21.290
1960,22.728
1961,21.939
1962,23.152
1963,22.331
1964,21.373
1965,22.182
1966,23.078
1967,21.078
1968,22.016
1969,22.391
1970,22.603
1971,21.820
1972,21.177
1973,22.040
1974,21.654
1975,21.813
1976,21.570
1977,22.218
1978,22.407
1979,23.286
1980,22.378
1981,22.419
1982,21.185
1983,21.535
1984,21.842
1985,22.203
1986,22.324
1987,22.608
1988,22.059
1989,22.338
1990,22.542
1991,22.280
1992,20.686
1993,21.903
1994,22.642
1995,22.431
1996,23.014
1997,21.921
1998,23.455
1999,23.493
2000,22.989
2001,23.517
2002,22.896
2003,22.959
2004,22.779
2005,22.696
2006,22.904
2007,23.015
2008,23.118
2009,22.998
2010,24.650
2011,22.593
2012,23.429
2013,24.241
