date,value
1744,4.445
1750,6.690
1751,6.907
1752,0.459
1753,5.771
1754,5.150
1755,4.932
1756,4.276
1757,8.316
1758,5.360
1759,5.226
1760,5.664
1761,8.008
1762,4.740
1763,6.098
1764,4.566
1765,4.216
1766,4.150
1767,4.474
1768,5.904
1769,5.872
1770,4.996
1771,5.503
1772,4.415
1773,4.831
1774,5.460
1775,5.715
1776,5.214
1777,5.710
1778,5.440
1779,5.403
1780,5.677
1781,5.469
1782,6.022
1783,5.156
1784,6.061
1785,6.504
1786,5.776
1787,5.165
1788,5.481
1789,6.083
1790,5.275
1791,5.176
1792,6.401
1793,5.259
1794,4.826
1795,4.545
1796,5.058
1797,4.405
1798,5.371
1799,5.285
1800,4.328
1801,5.722
1802,5.257
1803,5.060
1804,6.082
1805,6.235
1806,5.480
1807,5.141
1808,5.690
1809,5.017
1810,5.104
1811,4.524
1812,5.487
1813,6.557
1814,5.441
1815,4.994
1816,5.033
1817,4.704
1818,5.675
1819,5.209
1820,5.931
1821,4.957
1822,5.950
1823,4.945
1824,5.936
1825,5.732
1826,5.181
1827,5.392
1828,6.586
1829,6.419
1830,6.045
1831,5.839
1832,4.381
1833,4.897
1834,5.838
1835,5.941
1836,5.223
1837,4.902
1838,4.830
1839,4.790
1840,4.585
1841,5.584
1842,4.966
1843,6.488
1844,5.205
1845,4.734
1846,5.341
1847,5.459
1848,4.664
1849,5.059
1850,3.844
1851,4.774
1852,5.230
1853,5.659
1854,6.269
1855,6.070
1856,4.744
1857,5.222
1858,6.036
1859,6.045
1860,5.546
1861,4.926
1862,4.930
1863,5.134
1864,4.581
1865,5.870
1866,4.522
1867,4.234
1868,4.856
1869,4.406
1870,5.568
1871,5.600
1872,5.580
1873,4.954
1874,5.443
1875,4.213
1876,4.711
1877,4.763
1878,5.948
1879,4.844
1880,5.581
1881,5.006
1882,4.275
1883,4.221
1884,4.586
1885,5.268
1886,4.488
1887,5.307
1888,4.991
1889,6.703
1890,4.793
1891,4.932
1892,4.509
1893,5.732
1894,5.569
1895,6.723
1896,5.988
1897,4.471
1898,5.412
1899,6.553
1900,6.560
1901,5.865
1902,4.206
1903,4.567
1904,5.817
1905,6.444
1906,4.930
1907,4.780
1908,5.251
1909,5.641
1910,5.445
1911,5.441
1912,5.043
1913,4.926
1914,5.197
1915,5.542
1916,5.782
1917,6.042
1918,4.945
1919,5.330
1920,4.971
1921,4.322
1922,4.462
1923,3.676
1924,4.039
1925,5.496
1926,5.993
1927,5.659
1928,5.558
1929,4.364
1930,5.283
1931,4.559
1932,5.499
1933,5.556
1934,5.389
1935,5.097
1936,6.036
1937,4.603
1938,5.126
1939,5.848
1940,6.013
1941,5.766
1942,4.763
1943,4.902
1944,5.845
1945,4.797
1946,5.571
1947,5.774
1948,4.324
1949,5.474
1950,5.926
1951,5.888
1952,5.102
1953,6.336
1954,4.428
1955,4.376
1956,4.195
1957,4.281
1958,4.576
1959,5.373
1960,4.986
1961,6.154
1962,4.707
1963,4.375
1964,4.416
1965,4.744
1966,5.547
1967,4.836
1968,5.102
1969,5.312
1970,5.133
1971,5.448
1972,5.128
1973,5.293
1974,4.210
1975,5.204
1976,5.415
1977,5.725
1978,5.043
1979,5.126
1980,5.918
1981,5.085
1982,4.297
1983,4.650
1984,5.258
1985,5.552
1986,4.373
1987,4.477
1988,5.665
1989,5.458
1990,5.237
1991,6.456
1992,5.304
1993,4.172
1994,5.630
1995,5.511
1996,5.000
1997,4.554
1998,5.455
1999,6.339
2000,6.435
2001,6.254
2002,4.753
2003,5.024
2004,5.573
2005,4.082
2006,6.312
2007,5.527
2008,6.439
2009,4.840
2010,7.011
2011,4.716
2012,3.917
2013,5.627
