date,value
1808,15.944
1809,18.258
1810,18.290
1811,18.344
1812,18.310
1813,18.901
1814,18.909
1815,19.407
1817,20.719
1818,9.714
1819,18.711
1820,18.910
1821,19.037
1822,18.965
1823,19.166
1824,19.943
1825,19.379
1826,19.307
1827,20.106
1828,19.350
1829,19.313
1830,19.628
1831,18.900
1832,18.429
1833,19.194
1834,19.067
1835,18.580
1836,19.014
1837,18.714
1838,18.549
1839,18.787
1840,18.867
1841,19.257
1842,19.302
1843,19.217
1844,19.044
1845,19.255
1846,19.929
1847,19.477
1848,19.326
1849,19.357
1850,18.793
1851,19.663
1852,19.450
1853,19.964
1854,19.077
1855,19.465
1856,18.934
1857,18.628
1858,19.324
1859,19.440
1860,19.820
1861,18.341
1862,18.284
1863,18.803
1864,19.610
1865,19.965
1866,19.715
1867,19.796
1868,19.336
1869,19.912
1870,19.626
1871,18.844
1872,19.579
1873,19.914
1874,19.194
1875,18.143
1876,19.598
1877,20.102
1878,20.024
1879,20.223
1880,19.262
1881,19.831
1882,18.977
1883,19.330
1884,18.883
1885,19.636
1886,18.977
1887,19.609
1888,19.604
1889,19.729
1890,19.617
1891,19.609
1892,19.856
1893,19.097
1894,18.821
1895,19.193
1896,19.521
1897,18.906
1898,19.392
1899,19.514
1900,19.860
1901,20.344
1902,19.916
1903,19.119
1904,19.124
1905,19.233
1906,19.510
1907,18.812
1908,18.934
1909,19.984
1910,19.062
1911,18.852
1912,19.353
1913,18.844
1914,19.141
1915,19.758
1916,19.912
1917,19.616
1918,19.430
1919,19.701
1920,19.019
1921,18.978
1922,19.903
1923,19.958
1924,19.870
1925,19.742
1926,19.691
1927,20.012
1928,20.185
1929,19.682
1930,20.210
1931,19.935
1932,19.794
1933,19.404
1934,19.924
1935,20.328
1936,20.318
1937,20.383
1938,19.494
1939,20.187
1940,20.015
1941,20.186
1942,19.905
1943,19.486
1944,19.756
1945,19.249
1946,19.979
1947,20.606
1948,19.201
1949,18.877
1950,19.710
1951,20.277
1952,20.391
1953,19.451
1954,20.083
1955,20.564
1956,19.778
1957,19.809
1958,20.235
1959,19.205
1960,20.723
1961,19.617
1962,20.791
1963,20.605
1964,19.325
1965,19.935
1966,20.509
1967,19.081
1968,19.983
1969,20.336
1970,20.069
1971,19.649
1972,19.530
1973,19.784
1974,19.693
1975,19.666
1976,19.609
1977,19.936
1978,20.192
1979,20.658
1980,20.041
1981,20.019
1982,19.318
1983,19.201
1984,19.730
1985,20.216
1986,19.998
1987,19.952
1988,20.060
1989,19.902
1990,20.130
1991,20.022
1992,19.029
1993,19.975
1994,20.500
1995,20.043
1996,20.528
1997,19.823
1998,20.966
1999,20.892
2000,20.230
2001,20.930
2002,20.728
2003,20.614
2004,20.491
2005,20.438
2006,20.409
2007,20.702
2008,20.930
2009,20.831
2010,22.311
2011,20.331
2012,21.006
2013,21.222
