date,value
1812,14.575
1813,15.267
1814,15.220
1816,13.451
1817,13.177
1818,15.265
1819,14.060
1820,14.686
1821,14.316
1822,14.376
1823,14.547
1824,15.017
1825,14.818
1826,15.031
1827,15.317
1828,14.970
1829,14.715
1830,14.976
1831,13.781
1832,14.834
1833,14.248
1834,14.419
1835,13.477
1836,14.130
1837,13.986
1838,14.068
1839,14.237
1840,14.749
1841,14.480
1842,14.261
1843,15.458
1844,14.259
1845,14.934
1846,14.163
1847,15.069
1848,15.094
1849,14.616
1850,14.206
1851,14.932
1852,15.067
1853,14.925
1854,15.254
1855,15.512
1856,14.440
1857,14.112
1858,14.892
1859,15.763
1860,15.435
1861,14.627
1862,14.248
1863,15.272
1864,15.572
1865,14.669
1866,14.561
1867,13.567
1868,14.998
1869,15.353
1870,15.303
1871,15.422
1872,15.214
1873,14.782
1874,15.527
1875,15.046
1876,15.179
1877,15.427
1878,15.465
1879,15.600
1880,14.734
1881,15.371
1882,14.297
1883,15.225
1884,14.072
1885,14.949
1886,13.898
1887,15.407
1888,16.655
1889,14.963
1890,15.396
1891,14.726
1892,15.090
1893,16.052
1894,14.411
1895,14.912
1896,14.516
1897,15.159
1898,13.861
1899,15.932
1900,15.373
1901,14.544
1902,15.022
1903,14.128
1904,14.082
1905,14.706
1906,15.439
1907,14.419
1908,14.223
1909,13.691
1910,15.189
1911,14.779
1912,14.625
1913,14.415
1914,14.754
1915,15.703
1916,15.430
1917,15.319
1918,15.133
1919,15.118
1920,15.001
1921,15.051
1922,15.396
1923,13.734
1924,15.172
1925,15.523
1926,14.424
1927,16.430
1928,14.579
1929,15.529
1930,14.960
1931,15.995
1932,15.619
1933,15.469
1934,13.587
1935,16.065
1936,15.099
1937,15.377
1938,15.783
1939,15.246
1940,15.954
1941,15.392
1942,15.025
1943,15.791
1944,14.058
1945,15.736
1946,14.981
1947,11.649
1948,15.806
1949,14.790
1950,15.354
1951,16.330
1952,15.712
1953,15.617
1954,15.197
1955,15.972
1956,15.449
1957,15.766
1958,14.203
1959,14.969
1960,14.072
1961,15.763
1962,14.300
1963,13.492
1964,14.481
1965,15.791
1966,15.740
1967,15.950
1968,15.151
1969,14.848
1970,15.590
1971,13.972
1972,15.051
1973,13.414
1974,16.535
1975,16.431
1976,15.149
1977,14.660
1978,15.828
1979,15.455
1980,15.976
1981,16.008
1982,16.485
1983,16.367
1984,15.996
1985,15.491
1986,15.671
1987,15.140
1988,16.301
1989,15.624
1990,13.914
1991,16.760
1992,14.596
1993,14.767
1994,15.731
1995,14.978
1996,15.434
1997,17.482
1998,16.672
1999,16.492
2000,16.119
2001,12.648
2002,12.457
2003,15.782
2004,14.473
2005,17.039
2006,14.639
2007,16.697
2008,13.726
2009,15.792
2010,15.067
2011,16.931
2012,18.084
2013,15.256
