date,value
1832,10.549
1833,10.103
1834,10.374
1835,9.381
1836,10.028
1837,9.831
1838,10.011
1839,9.935
1840,10.604
1841,10.094
1842,10.208
1843,10.977
1844,9.975
1845,10.733
1846,10.349
1847,10.492
1848,10.439
1849,10.295
1850,10.144
1851,10.334
1852,10.811
1853,10.597
1854,10.845
1855,10.999
1856,10.344
1857,10.026
1858,10.724
1859,11.240
1860,10.985
1861,10.589
1862,10.313
1863,10.799
1864,10.834
1865,10.685
1866,10.354
1867,10.949
1868,10.879
1869,10.737
1870,11.373
1871,11.226
1872,10.842
1873,10.796
1874,11.393
1875,11.210
1876,10.647
1877,10.913
1878,10.817
1879,11.487
1880,9.855
1881,11.424
1882,10.548
1883,11.111
1884,10.576
1885,11.016
1886,9.994
1887,10.903
1888,10.262
1889,10.922
1890,10.741
1891,10.536
1892,10.755
1893,11.778
1894,10.903
1895,9.631
1896,10.504
1897,10.346
1898,10.009
1899,10.160
1900,11.275
1901,8.564
1902,10.582
1903,9.417
1904,9.924
1905,10.397
1906,10.679
1907,9.713
1908,10.522
1909,11.172
1910,10.878
1911,10.913
1912,11.397
1913,10.565
1914,11.286
1915,12.048
1916,11.831
1917,11.711
1918,11.718
1919,11.286
1920,10.002
1921,10.119
1922,11.107
1923,10.729
1924,10.774
1925,11.606
1926,10.860
1927,11.934
1928,10.669
1929,10.904
1930,10.605
1931,11.078
1932,9.656
1933,11.580
1934,9.407
1935,10.862
1936,11.085
1937,10.759
1938,11.572
1939,11.299
1940,11.686
1941,10.866
1942,11.215
1943,11.059
1944,10.469
1945,11.683
1946,11.647
1947,9.075
1948,11.061
1949,10.277
1950,11.282
1951,11.272
1952,10.986
1953,11.032
1954,10.835
1955,11.127
1956,11.891
1957,10.457
1958,9.259
1959,11.564
1960,10.408
1961,11.750
1962,9.976
1963,9.924
1964,10.394
1965,11.587
1966,10.904
1967,10.769
1968,9.430
1969,10.569
1970,11.294
1971,11.352
1972,10.407
1973,11.609
1974,11.461
1975,11.530
1976,10.931
1977,11.864
1978,12.106
1979,10.982
1980,10.582
1981,9.824
1982,11.553
1983,11.685
1984,11.810
1985,11.786
1986,11.423
1987,10.369
1988,10.066
1989,10.713
1990,11.972
1991,11.450
1992,10.589
1993,10.540
1994,9.833
1995,11.659
1996,10.942
1997,12.709
1998,11.778
1999,11.731
2000,12.312
2001,10.799
2002,10.476
2003,11.081
2004,10.329
2005,10.884
2006,11.119
2007,12.330
2008,11.736
2009,9.936
2010,11.661
2011,12.544
2012,12.513
2013,11.381
