date,value
1841,13.346
1842,13.784
1843,12.632
1844,15.267
1845,13.869
1846,12.913
1847,14.248
1848,12.801
1849,13.895
1850,13.429
1851,14.497
1852,13.507
1853,13.863
1854,14.407
1855,14.597
1856,14.287
1857,12.743
1858,14.032
1859,14.168
1860,14.811
1861,15.498
1862,15.208
1863,12.756
1864,15.316
1865,15.611
1866,13.826
1867,14.469
1868,14.102
1869,14.264
1870,15.795
1871,16.026
1872,14.292
1873,13.684
1874,12.944
1875,15.672
1876,14.456
1877,14.386
1878,15.963
1879,13.118
1880,14.196
1881,14.154
1882,13.929
1883,15.602
1884,14.594
1885,13.728
1886,14.349
1887,14.105
1888,14.354
1889,13.676
1890,13.858
1891,12.866
1892,15.322
1893,15.375
1894,14.065
1895,14.058
1896,14.085
1897,15.775
1898,12.554
1899,13.299
1900,14.257
1901,15.434
1902,14.322
1903,14.176
1904,12.819
1905,12.898
1906,13.813
1907,14.200
1908,13.855
1909,15.548
1910,15.227
1911,14.107
1912,13.740
1913,13.535
1914,13.736
1915,14.372
1916,11.904
1917,15.495
1918,12.654
1919,16.031
1920,14.889
1921,12.627
1922,14.829
1923,14.204
1924,13.991
1925,14.060
1926,15.599
1927,14.420
1928,14.424
1929,14.707
1930,13.634
1931,14.040
1932,13.067
1933,14.557
1934,14.175
1935,14.921
1936,13.956
1937,14.935
1938,14.773
1939,15.088
1940,14.582
1941,14.357
1942,14.805
1943,14.909
1944,16.278
1945,14.263
1946,14.822
1947,14.974
1948,13.694
1949,13.222
1950,12.340
1951,13.493
1952,16.304
1953,14.921
1954,12.255
1955,13.811
1956,15.447
1957,13.974
1958,13.676
1959,14.253
1960,14.016
1961,14.325
1962,13.351
1963,14.539
1964,13.879
1965,13.025
1966,14.719
1967,16.750
1968,14.827
1969,15.568
1970,13.048
1971,13.126
1972,12.134
1973,13.666
1974,13.913
1975,13.855
1976,12.975
1977,15.424
1978,15.475
1979,12.676
1980,15.504
1981,14.284
1982,13.759
1983,14.948
1984,14.760
1985,15.086
1986,14.401
1987,13.554
1988,14.707
1989,12.952
1990,14.558
1991,13.609
1992,12.604
1993,13.127
1994,14.709
1995,13.508
1996,14.696
1997,14.132
1998,14.922
1999,13.033
2000,15.157
2001,14.189
2002,12.817
2003,13.954
2004,14.645
2005,16.927
2006,12.903
2007,13.293
2008,15.665
2009,14.208
2010,13.957
2011,13.925
2012,16.934
2013,16.005
